model,split,side,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,SUPPORT,mae_5,5,1658,1050,-0.0635835925621,-0.0671544575025,-0.0605150442519
ACTIVE_STICKY,discovery,SUPPORT,cross_probability_5,5,1658,1050,0.301801587302,0.275903373016,0.324893452381
ACTIVE_STICKY,discovery,SUPPORT,future_return_10,10,1631,1039,0.0315175785512,0.0244661218813,0.0383369878742
ACTIVE_STICKY,discovery,SUPPORT,mfe_10,10,1631,1039,0.0945538427243,0.0888672195621,0.0999532512936
ACTIVE_STICKY,discovery,SUPPORT,mae_10,10,1631,1039,-0.0746467362973,-0.0781465867261,-0.0711378860505
ACTIVE_STICKY,discovery,SUPPORT,cross_probability_10,10,1631,1039,0.356520692974,0.329884303818,0.381225938402
ACTIVE_STICKY,discovery,SUPPORT,future_return_20,20,1568,1017,0.0523344292674,0.0412557567251,0.0613727753556
ACTIVE_STICKY,discovery,SUPPORT,mfe_20,20,1568,1017,0.158760615418,0.149312228633,0.170034772898
ACTIVE_STICKY,discovery,SUPPORT,mae_20,20,1568,1017,-0.0931418431421,-0.0975806978163,-0.0888723336102
ACTIVE_STICKY,discovery,SUPPORT,cross_probability_20,20,1568,1017,0.452155031137,0.424647656506,0.482866683055
ACTIVE_STICKY,discovery,SUPPORT,future_return_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,mfe_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,mae_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,future_return_1,1,2050,1245,0.00145245879706,1.14248821763e-05,0.00300413039388
ACTIVE_STICKY,holdout,RESISTANCE,mfe_1,1,2050,1245,0.0222145884556,0.0207412077552,0.0236635467539
ACTIVE_STICKY,holdout,RESISTANCE,mae_1,1,2050,1245,-0.0200616435284,-0.0211012561856,-0.0189477415094
ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_1,1,2050,1245,0.0611111111111,0.0504651941098,0.0719561579652
ACTIVE_STICKY,holdout,RESISTANCE,future_return_3,3,2018,1235,-0.00765762836894,-0.0101129152412,-0.00495984869665
ACTIVE_STICKY,holdout,RESISTANCE,mfe_3,3,2018,1235,0.036817813504,0.0345921464974,0.0393805713229
ACTIVE_STICKY,holdout,RESISTANCE,mae_3,3,2018,1235,-0.0368695515142,-0.0389079977456,-0.035143485941
ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_3,3,2018,1235,0.101821862348,0.0879740215924,0.115832321188
ACTIVE_STICKY,holdout,RESISTANCE,future_return_5,5,1994,1228,-0.0110015724061,-0.0150312352912,-0.00772917912392
ACTIVE_STICKY,holdout,RESISTANCE,mfe_5,5,1994,1228,0.0467686478747,0.0440042634298,0.0499417568341
ACTIVE_STICKY,holdout,RESISTANCE,mae_5,5,1994,1228,-0.0485741406696,-0.0508477749853,-0.0465185276147
ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_5,5,1994,1228,0.136672095548,0.120877103692,0.152436549946
ACTIVE_STICKY,holdout,RESISTANCE,future_return_10,10,1883,1187,-0.0184061966937,-0.02351312455,-0.0140857392594
ACTIVE_STICKY,holdout,RESISTANCE,mfe_10,10,1883,1187,0.0652072010742,0.060875257241,0.0697718963669
ACTIVE_STICKY,holdout,RESISTANCE,mae_10,10,1883,1187,-0.0703050420594,-0.0735291716019,-0.0673281133409
ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_10,10,1883,1187,0.195366470093,0.178366329683,0.214047318169
ACTIVE_STICKY,holdout,RESISTANCE,future_return_20,20,1658,1106,-0.0242646418374,-0.0323778314141,-0.0161114630679
ACTIVE_STICKY,holdout,RESISTANCE,mfe_20,20,1658,1106,0.0899002850825,0.0830651371364,0.0966066228696
ACTIVE_STICKY,holdout,RESISTANCE,mae_20,20,1658,1106,-0.10121099603,-0.105364218056,-0.0975273805512
ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_20,20,1658,1106,0.265235081374,0.241647453285,0.288145720313
ACTIVE_STICKY,holdout,RESISTANCE,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,mfe_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,SUPPORT,future_return_1,1,1084,752,0.000758935797087,-0.00109355165455,0.00236729339266
ACTIVE_STICKY,holdout,SUPPORT,mfe_1,1,1084,752,0.0185470145101,0.0168797439389,0.0199305567591
ACTIVE_STICKY,holdout,SUPPORT,mae_1,1,1084,752,-0.0194329396025,-0.0207364015751,-0.0182445201927
ACTIVE_STICKY,holdout,SUPPORT,cross_probability_1,1,1084,752,0.0220079787234,0.0134519060284,0.0310965203901
ACTIVE_STICKY,holdout,SUPPORT,future_return_3,3,1069,745,-0.000869833331395,-0.00400647164229,0.00261152871493
ACTIVE_STICKY,holdout,SUPPORT,mfe_3,3,1069,745,0.033951071752,0.0314310018747,0.0366368640391
ACTIVE_STICKY,holdout,SUPPORT,mae_3,3,1069,745,-0.034184038291,-0.0363068452077,-0.0320975187284
