representation,feature,model,split,side,metric,N_low,N_high,independent_event_count,low_mean,high_mean,high_minus_low
PEAK,peak_mass,ACTIVE_STICKY,discovery,RESISTANCE,reaction_probability,496,797,1671,0.477822580645,0.391468005019,-0.0863545756263
PEAK,peak_mass,ACTIVE_STICKY,discovery,RESISTANCE,cross_probability_10,465,765,1618,0.462365591398,0.158169934641,-0.304195656757
PEAK,peak_mass,ACTIVE_STICKY,discovery,RESISTANCE,future_return_5,488,794,1661,-0.00254322990795,0.00146707617632,0.00401030608426
PEAK,peak_mass,ACTIVE_STICKY,discovery,RESISTANCE,mae_10,465,765,1618,-0.0891489447685,-0.0726472910851,0.0165016536834
PEAK,peak_mass,ACTIVE_STICKY,discovery,RESISTANCE,mfe_10,465,765,1618,0.0953806775845,0.0844561876756,-0.0109244899088
PEAK,peak_mass,ACTIVE_STICKY,discovery,SUPPORT,reaction_probability,402,241,1053,0.393034825871,0.435684647303,0.0426498214323
PEAK,peak_mass,ACTIVE_STICKY,discovery,SUPPORT,cross_probability_10,397,237,1039,0.521410579345,0.181434599156,-0.339975980189
PEAK,peak_mass,ACTIVE_STICKY,discovery,SUPPORT,future_return_5,400,239,1050,0.0123981167248,0.0154538811217,0.00305576439687
PEAK,peak_mass,ACTIVE_STICKY,discovery,SUPPORT,mae_10,397,237,1039,-0.0753247605793,-0.0774931931021,-0.0021684325228
PEAK,peak_mass,ACTIVE_STICKY,discovery,SUPPORT,mfe_10,397,237,1039,0.0867933416506,0.101240720072,0.0144473784218
PEAK,peak_mass,ACTIVE_STICKY,holdout,RESISTANCE,reaction_probability,345,605,1235,0.524637681159,0.371900826446,-0.152736854713
PEAK,peak_mass,ACTIVE_STICKY,holdout,RESISTANCE,cross_probability_10,316,574,1187,0.439873417722,0.0766550522648,-0.363218365457
PEAK,peak_mass,ACTIVE_STICKY,holdout,RESISTANCE,future_return_5,342,599,1228,-0.010210031396,-0.00497002731676,0.00524000407925
PEAK,peak_mass,ACTIVE_STICKY,holdout,RESISTANCE,mae_10,316,574,1187,-0.0782217825073,-0.056048167093,0.0221736154143
PEAK,peak_mass,ACTIVE_STICKY,holdout,RESISTANCE,mfe_10,316,574,1187,0.081141775012,0.0654612302146,-0.0156805447974
PEAK,peak_mass,ACTIVE_STICKY,holdout,SUPPORT,reaction_probability,219,147,745,0.429223744292,0.408163265306,-0.0210604789861
PEAK,peak_mass,ACTIVE_STICKY,holdout,SUPPORT,cross_probability_10,208,141,723,0.4375,0.141843971631,-0.295656028369
PEAK,peak_mass,ACTIVE_STICKY,holdout,SUPPORT,future_return_5,218,146,742,-0.00959860341028,-0.012942923648,-0.00334432023775
PEAK,peak_mass,ACTIVE_STICKY,holdout,SUPPORT,mae_10,208,141,723,-0.0678477342218,-0.071516131821,-0.00366839759927
PEAK,peak_mass,ACTIVE_STICKY,holdout,SUPPORT,mfe_10,208,141,723,0.0644348728306,0.0737703109698,0.00933543813918
PEAK,peak_mass,ACTIVE_STICKY,validation,RESISTANCE,reaction_probability,466,470,1241,0.427038626609,0.28085106383,-0.14618756278
PEAK,peak_mass,ACTIVE_STICKY,validation,RESISTANCE,cross_probability_10,456,467,1231,0.543859649123,0.256959314775,-0.286900334348
PEAK,peak_mass,ACTIVE_STICKY,validation,RESISTANCE,future_return_5,463,470,1239,0.0132434538774,0.0245338913751,0.0112904374977
PEAK,peak_mass,ACTIVE_STICKY,validation,RESISTANCE,mae_10,456,467,1231,-0.0638086261593,-0.0448753954654,0.0189332306939
PEAK,peak_mass,ACTIVE_STICKY,validation,RESISTANCE,mfe_10,456,467,1231,0.107891645248,0.0993106176601,-0.0085810275874
PEAK,peak_mass,ACTIVE_STICKY,validation,SUPPORT,reaction_probability,232,216,814,0.461206896552,0.462962962963,0.00175606641124
PEAK,peak_mass,ACTIVE_STICKY,validation,SUPPORT,cross_probability_10,217,207,786,0.304147465438,0.0531400966184,-0.251007368819
PEAK,peak_mass,ACTIVE_STICKY,validation,SUPPORT,future_return_5,227,214,807,0.00372179217602,0.00215473931071,-0.00156705286531
PEAK,peak_mass,ACTIVE_STICKY,validation,SUPPORT,mae_10,217,207,786,-0.0566198580374,-0.0598798734193,-0.00326001538192
PEAK,peak_mass,ACTIVE_STICKY,validation,SUPPORT,mfe_10,217,207,786,0.0749229084686,0.0722634294528,-0.00265947901585
PEAK,peak_mass,DISPOSITION,discovery,RESISTANCE,reaction_probability,536,828,1727,0.457089552239,0.394927536232,-0.0621620160069
PEAK,peak_mass,DISPOSITION,discovery,RESISTANCE,cross_probability_10,503,795,1674,0.508946322068,0.168553459119,-0.340392862948
PEAK,peak_mass,DISPOSITION,discovery,RESISTANCE,future_return_5,531,823,1715,-0.000668275124556,0.00113677176025,0.00180504688481
PEAK,peak_mass,DISPOSITION,discovery,RESISTANCE,mae_10,503,795,1674,-0.0853645712428,-0.0759780742063,0.00938649703647
PEAK,peak_mass,DISPOSITION,discovery,RESISTANCE,mfe_10,503,795,1674,0.10357192518,0.0828856987547,-0.0206862264255
PEAK,peak_mass,DISPOSITION,discovery,SUPPORT,reaction_probability,400,236,994,0.38,0.427966101695,0.0479661016949
PEAK,peak_mass,DISPOSITION,discovery,SUPPORT,cross_probability_10,388,232,982,0.536082474227,0.258620689655,-0.277461784572
PEAK,peak_mass,DISPOSITION,discovery,SUPPORT,future_return_5,395,235,991,0.0151491574902,0.0134038918691,-0.00174526562104
PEAK,peak_mass,DISPOSITION,discovery,SUPPORT,mae_10,388,232,982,-0.0745206656752,-0.0792374612106,-0.00471679553549
