model,split,side,source,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,volume_response_ratio,3,145,132,1.99243559829,1.80036982118,2.1885779943
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,turnover_response_ratio,3,145,132,1.98610491047,1.79158545294,2.17591519597
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,range_response_ratio,3,145,132,1.55452779668,1.4367839423,1.67317193729
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,volume_response_ratio,3,2170,1093,2.38320878661,2.28840079113,2.50548369914
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,turnover_response_ratio,3,2170,1093,2.38445701101,2.28953670983,2.48814967622
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,range_response_ratio,3,2170,1093,1.63260658058,1.59005054959,1.6784324562
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,volume_response_ratio,3,3078,1698,2.00112752667,1.93716621359,2.06615823048
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,turnover_response_ratio,3,3078,1698,1.99899494712,1.93301702839,2.0693453599
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,range_response_ratio,3,3078,1698,1.46736842464,1.43507743287,1.50460789683
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,volume_response_ratio,3,393,393,2.21205981473,2.06088881511,2.39916271642
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,turnover_response_ratio,3,393,393,2.20761500167,2.04483037779,2.37759024013
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,range_response_ratio,3,393,393,1.6260603344,1.54213447982,1.70807455514
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,volume_response_ratio,3,214,209,1.11197638114,1.01133044697,1.20943948432
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,turnover_response_ratio,3,214,209,1.10629504687,1.00975460781,1.20769369057
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,range_response_ratio,3,214,209,1.57076021079,1.48312537002,1.66915594527
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,volume_response_ratio,3,1137,664,1.02728943052,0.982671906492,1.07486229821
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,turnover_response_ratio,3,1137,664,1.02400142316,0.978640417343,1.07249723601
