model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,REAL_CHIP,MATURING_AGE_6_19,future_return_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,MATURING_AGE_6_19,mae_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,MATURING_AGE_6_19,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,reaction_probability,3,11,11,0.454545454545,0.181818181818,0.727272727273
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,close_favorable_probability,0,11,11,0.454545454545,0.181818181818,0.727272727273
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,future_return_5,5,11,11,0.0204286745613,-0.0194939284601,0.0659839671814
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,mae_5,5,11,11,-0.0447912061542,-0.0724921189291,-0.0194544837736
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,cross_probability_5,5,11,11,0.0909090909091,0,0.272727272727
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,future_return_10,10,11,11,-0.0588514349758,-0.100627892353,-0.0138152870159
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,mae_10,10,11,11,-0.0943982900149,-0.140273825428,-0.0580301634737
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,cross_probability_10,10,11,11,0.0909090909091,0,0.272727272727
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,future_return_20,20,11,11,-0.113117308657,-0.171056158423,-0.0528347904666
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,mae_20,20,11,11,-0.155818063865,-0.22271405619,-0.0907046630976
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,cross_probability_20,20,11,11,0.181818181818,0,0.454545454545
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,future_return_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,mae_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,NEW_AGE_1_5,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,reaction_probability,3,638,638,0.434169278997,0.398119122257,0.474921630094
ACTIVE_STICKY,discovery,REAL_CHIP,PERSISTENT_AGE_20_PLUS,close_favorable_probability,0,650,650,0.487692307692,0.450769230769,0.530807692308
