model,split,migration_state,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,STABLE_BASE,mfe_10,10,1233,448,0.074971148825,0.0670632179566,0.0831346491024
ACTIVE_STICKY,discovery,STABLE_BASE,mae_10,10,1233,448,-0.0708019726015,-0.0745516134576,-0.0675062525955
ACTIVE_STICKY,discovery,STABLE_BASE,future_volatility_10,10,1233,448,0.024852671073,0.0239628498391,0.0257500822463
ACTIVE_STICKY,discovery,STABLE_BASE,future_return_20,20,1233,448,0.00375182297745,-0.0034168619018,0.0115983235802
ACTIVE_STICKY,discovery,STABLE_BASE,mfe_20,20,1233,448,0.119331283151,0.10962437667,0.131156223139
ACTIVE_STICKY,discovery,STABLE_BASE,mae_20,20,1233,448,-0.0939677034187,-0.0978352492313,-0.0901567446401
ACTIVE_STICKY,discovery,STABLE_BASE,future_volatility_20,20,1233,448,0.0262380187521,0.0253491713074,0.0270776846118
ACTIVE_STICKY,discovery,STABLE_BASE,future_return_40,40,1232,447,0.0188227156751,0.00764306976733,0.0331833502281
ACTIVE_STICKY,discovery,STABLE_BASE,mfe_40,40,1232,447,0.174099300782,0.160918765654,0.188614368088
ACTIVE_STICKY,discovery,STABLE_BASE,mae_40,40,1232,447,-0.108226051895,-0.11401089851,-0.103673605559
ACTIVE_STICKY,discovery,STABLE_BASE,future_volatility_40,40,1232,447,0.0261301455047,0.0252591389249,0.0269736177739
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,median_shift_fraction,0,287,167,0.10253866318,0.0872890575027,0.121984850159
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,width_change_fraction,0,287,167,0.110347164961,0.0653448404121,0.16721832045
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_return_5,5,287,167,0.0254953975928,0.014382553705,0.0363714286728
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mfe_5,5,287,167,0.0683839666506,0.0566694319684,0.0813676162022
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mae_5,5,287,167,-0.0667103759735,-0.0763350357948,-0.0571624528691
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_volatility_5,5,287,167,0.031635047171,0.0295411700879,0.0343046656357
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_return_10,10,287,167,0.0129755367032,0.00117261135551,0.0262555311462
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mfe_10,10,287,167,0.111555075669,0.0967939411711,0.126086430002
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mae_10,10,287,167,-0.0907277178669,-0.0993885341401,-0.081816227279
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_volatility_10,10,287,167,0.0341971346371,0.0322579001831,0.0363705212763
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_return_20,20,287,167,-0.0107351544542,-0.0271374039486,0.00809549603724
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mfe_20,20,287,167,0.16602925292,0.151439665308,0.183295840328
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mae_20,20,287,167,-0.123445985332,-0.132459840093,-0.113695434857
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_volatility_20,20,287,167,0.0352007322577,0.0335268049499,0.0368704334135
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_return_40,40,286,167,-0.00853378092042,-0.0289103842089,0.0131348071099
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mfe_40,40,286,167,0.207606142298,0.188673601355,0.230378704861
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,mae_40,40,286,167,-0.145724515305,-0.157637734998,-0.134996701364
ACTIVE_STICKY,discovery,UPWARD_MIGRATION,future_volatility_40,40,286,167,0.0330615711469,0.0315783035437,0.0343500082796
ACTIVE_STICKY,holdout,DISPERSION,median_shift_fraction,0,44,38,-0.0132168567533,-0.0174018265346,-0.00811812970549
ACTIVE_STICKY,holdout,DISPERSION,width_change_fraction,0,44,38,0.361612169763,0.329723623714,0.399688459516
ACTIVE_STICKY,holdout,DISPERSION,future_return_5,5,44,38,0.0121044758827,-0.0105997242165,0.032421937972
ACTIVE_STICKY,holdout,DISPERSION,mfe_5,5,44,38,0.0590678938864,0.0423270550363,0.0762780188906
ACTIVE_STICKY,holdout,DISPERSION,mae_5,5,44,38,-0.0380115316999,-0.0526325108991,-0.0248006570152
ACTIVE_STICKY,holdout,DISPERSION,future_volatility_5,5,44,38,0.0237508334037,0.0201023530445,0.0286358217139
ACTIVE_STICKY,holdout,DISPERSION,future_return_10,10,44,38,0.00297882390281,-0.0197359139366,0.0289619235753
ACTIVE_STICKY,holdout,DISPERSION,mfe_10,10,44,38,0.0858935205637,0.058895573153,0.116953810924
ACTIVE_STICKY,holdout,DISPERSION,mae_10,10,44,38,-0.0564449465973,-0.0738489834705,-0.0383390887123
ACTIVE_STICKY,holdout,DISPERSION,future_volatility_10,10,44,38,0.0246712493781,0.0210886549747,0.0278168949503
ACTIVE_STICKY,holdout,DISPERSION,future_return_20,20,44,38,-0.00446254214765,-0.0352426386829,0.0312046883591
ACTIVE_STICKY,holdout,DISPERSION,mfe_20,20,44,38,0.101212105903,0.0732746836937,0.134376452945
ACTIVE_STICKY,holdout,DISPERSION,mae_20,20,44,38,-0.0811788377483,-0.101198225989,-0.0597306682884
