control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,55,53,0.0943396226415,-0.0943396226415,0.264150943396
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,273,262,-0.196564885496,-0.253864503817,-0.135496183206
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,114,110,-0.0318181818182,-0.145454545455,0.0909090909091
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,67,65,0,-0.153846153846,0.138461538462
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,214,209,-0.0191387559809,-0.0885167464115,0.0598086124402
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,86,85,-0.123529411765,-0.270588235294,0.0176470588235
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,65,61,0.147540983607,-0.00819672131148,0.295491803279
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,262,253,-0.098814229249,-0.173913043478,-0.0177865612648
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,118,113,-0.119469026549,-0.247898230088,0.000110619469026
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,102,98,0.015306122449,-0.137882653061,0.158163265306
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,185,181,-0.0580110497238,-0.149240331492,0.0249309392265
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,65,64,-0.15625,-0.328125,0.015625
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,73,70,0.0714285714286,-0.100178571429,0.264285714286
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,279,268,-0.0578358208955,-0.12322761194,0.0186567164179
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,117,112,0.0223214285714,-0.107366071429,0.151785714286
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,93,89,-0.0561797752809,-0.168679775281,0.0786516853933
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,214,209,-0.0528882632238,-0.0942007220269,-0.00906894837141
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,volume_response_ratio,3,POSITIVE_IS_CHIP_BETTER,86,85,-0.0463935491901,-0.181534182656,0.0759535035367
