model,split,side,source,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,sessions_beyond_10,10,2859,1618,1.36791306139,1.2425025752,1.47652940874
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,cross_probability_20,20,2518,1490,0.31029082774,0.289187919463,0.330751957494
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,time_to_cross_20,20,2664,1532,15.9340839861,15.6058463882,16.2363212576
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,sessions_beyond_20,20,2518,1490,2.78054809843,2.53944519016,3.02372762864
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,time_to_cross_40,40,1339,776,9.62815721649,9.02420049399,10.2851863187
ACTIVE_STICKY,discovery,RESISTANCE,REAL_CHIP,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_1,1,390,390,0.0282051282051,0.0128205128205,0.0435897435897
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_1,1,390,390,1.97179487179,1.95384615385,1.98717948718
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_1,1,390,390,0.0512820512821,0.0307692307692,0.071858974359
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_5,5,377,377,0.10875331565,0.0769230769231,0.140583554377
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_5,5,380,380,5.60263157895,5.47894736842,5.71052631579
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_5,5,377,377,0.395225464191,0.294297082228,0.530636604775
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_10,10,363,363,0.146005509642,0.115702479339,0.187327823691
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_10,10,367,367,9.86648501362,9.56641689373,10.1501362398
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_10,10,363,363,0.807162534435,0.600275482094,1.05247933884
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_20,20,317,317,0.214511041009,0.173501577287,0.258675078864
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_20,20,327,327,17.5412844037,16.8314220183,18.2478593272
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_20,20,317,317,1.70662460568,1.2679022082,2.261829653
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_40,40,99,99,10.6161616162,8.82803030303,12.5371212121
ACTIVE_STICKY,discovery,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,cross_probability_1,1,212,207,0.345410628019,0.287379227053,0.413043478261
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,time_to_cross_1,1,212,207,1.65458937198,1.5893115942,1.71998792271
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,sessions_beyond_1,1,212,207,0.446859903382,0.386473429952,0.521799516908
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,cross_probability_5,5,208,203,0.460591133005,0.389162561576,0.529618226601
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,time_to_cross_5,5,208,203,3.8842364532,3.55615763547,4.21921182266
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,sessions_beyond_5,5,208,203,1.91133004926,1.65,2.18251231527
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,cross_probability_10,10,200,196,0.497448979592,0.431058673469,0.561224489796
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,time_to_cross_10,10,200,196,6.33163265306,5.68341836735,7.01033163265
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,sessions_beyond_10,10,200,196,3.20153061224,2.74234693878,3.71428571429
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,cross_probability_20,20,189,185,0.505405405405,0.42972972973,0.573040540541
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,time_to_cross_20,20,194,190,11.0315789474,9.59381578947,12.3021052632
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,sessions_beyond_20,20,189,185,4.67837837838,3.82831081081,5.56006756757
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,time_to_cross_40,40,105,104,3.03846153846,1.94206730769,4.32716346154
ACTIVE_STICKY,discovery,SUPPORT,MATCHED_PLACEBO,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,cross_probability_1,1,1135,662,0.255085599194,0.225667799597,0.28505601712
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,time_to_cross_1,1,1135,662,1.74491440081,1.71293366062,1.77525490937
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,sessions_beyond_1,1,1135,662,0.31724572004,0.286351963746,0.350202039275
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,cross_probability_5,5,1110,651,0.397670250896,0.361019585253,0.435410906298
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,time_to_cross_5,5,1112,652,4.25823108384,4.06887908998,4.4228093047
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,sessions_beyond_5,5,1110,651,1.5907578085,1.44354710701,1.73021953405
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,cross_probability_10,10,1085,641,0.449557982319,0.410664976599,0.486921476859
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,time_to_cross_10,10,1091,645,7.03552971576,6.70409560724,7.36406976744
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,sessions_beyond_10,10,1085,641,3.02384295372,2.74648855954,3.30839443578
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,cross_probability_20,20,1034,613,0.493529091898,0.457354540511,0.531460712344
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,time_to_cross_20,20,1062,626,11.9980031949,11.2322417465,12.6244375666
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,sessions_beyond_20,20,1034,613,5.0901576944,4.54101141925,5.60455546493
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,time_to_cross_40,40,565,361,5.38781163435,4.57524815328,6.21730147738
ACTIVE_STICKY,discovery,SUPPORT,PRICE_ONLY_20_SWING,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,cross_probability_1,1,1673,1055,0.182314375987,0.161159755134,0.205380331754
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,time_to_cross_1,1,1673,1055,1.81768562401,1.79556852291,1.83621386256
ACTIVE_STICKY,discovery,SUPPORT,REAL_CHIP,sessions_beyond_1,1,1673,1055,0.244415481833,0.22135485782,0.265999802528
