model,split,base_integrity,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,11,11,2.18181818182,0.454545454545,4.54545454545
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,future_return_20,20,8,8,-0.116939740467,-0.176633929906,-0.0628991213611
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,mae_20,20,8,8,-0.167288057505,-0.215937666493,-0.121761458978
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,cross_probability_20,20,8,8,0.625,0.25,0.875
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,8,8,8.25,3.25,12.75
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_INTACT,reaction_probability,3,138,93,0.396953405018,0.313597670251,0.488418458781
ACTIVE_STICKY,holdout,BASE_INTACT,close_favorable_probability,0,145,95,0.507894736842,0.415789473684,0.586951754386
ACTIVE_STICKY,holdout,BASE_INTACT,future_return_5,5,138,93,-0.0089134762907,-0.0239976846647,0.00628809367606
ACTIVE_STICKY,holdout,BASE_INTACT,mae_5,5,138,93,-0.0492763077686,-0.0587246756394,-0.040718680755
ACTIVE_STICKY,holdout,BASE_INTACT,cross_probability_5,5,138,93,0.0537634408602,0.0179211469534,0.0986559139785
ACTIVE_STICKY,holdout,BASE_INTACT,sessions_beyond_5,5,138,93,0.293010752688,0.130734767025,0.479502688172
ACTIVE_STICKY,holdout,BASE_INTACT,future_return_10,10,132,92,-0.0129429671224,-0.0296358266932,0.00252706452869
ACTIVE_STICKY,holdout,BASE_INTACT,mae_10,10,132,92,-0.0664505875401,-0.0789846676402,-0.0569387486966
ACTIVE_STICKY,holdout,BASE_INTACT,cross_probability_10,10,132,92,0.0978260869565,0.0489130434783,0.152173913043
ACTIVE_STICKY,holdout,BASE_INTACT,sessions_beyond_10,10,132,92,0.773550724638,0.422010869565,1.19230072464
ACTIVE_STICKY,holdout,BASE_INTACT,future_return_20,20,115,84,-0.0381459273846,-0.0590147373627,-0.0170131626993
ACTIVE_STICKY,holdout,BASE_INTACT,mae_20,20,115,84,-0.101755597512,-0.118330357229,-0.0862491130346
ACTIVE_STICKY,holdout,BASE_INTACT,cross_probability_20,20,115,84,0.289682539683,0.204365079365,0.378968253968
ACTIVE_STICKY,holdout,BASE_INTACT,sessions_beyond_20,20,115,84,2.70238095238,1.86299603175,3.61443452381
ACTIVE_STICKY,holdout,BASE_INTACT,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_INTACT,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_INTACT,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,BASE_INTACT,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,reaction_probability,3,28,28,0.321428571429,0.177678571429,0.5
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,close_favorable_probability,0,31,31,0.483870967742,0.322580645161,0.645161290323
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,future_return_5,5,28,28,-0.0178483891517,-0.0364822528129,0.000652213323894
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,mae_5,5,28,28,-0.0507494043287,-0.0631512991784,-0.0398468777647
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,cross_probability_5,5,28,28,0,0,0
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_5,5,28,28,0.0714285714286,0,0.178571428571
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,future_return_10,10,28,28,-0.0129891500504,-0.0305477695322,0.00994516177816
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,mae_10,10,28,28,-0.0674718545607,-0.0796861139057,-0.0543060021889
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,cross_probability_10,10,28,28,0.0714285714286,0,0.178571428571
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,28,28,0.464285714286,0.107142857143,0.928571428571
ACTIVE_STICKY,validation,BASE_DAMAGED_OR_LOST,future_return_20,20,21,21,-0.0231586292412,-0.0583718874052,0.0123412332629
