control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,84,84,0.0119047619048,-0.107142857143,0.142857142857
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,121,121,0.00826446280992,-0.0911157024793,0.0909090909091
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,36,36,0.0555555555556,-0.194444444444,0.277777777778
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,76,76,0.0526315789474,-0.0921052631579,0.197697368421
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,130,130,0.00769230769231,-0.0771153846154,0.107884615385
TIME_SHIFTED_FUTURE_STATE,UNIFORM,holdout,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,49,49,0.244897959184,0.101530612245,0.388265306122
TIME_SHIFTED_FUTURE_STATE,UNIFORM,validation,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,96,96,0.0208333333333,-0.114583333333,0.15625
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,128,128,-0.015625,-0.109375,0.109375
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,52,52,0.0192307692308,-0.153846153846,0.173076923077
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,103,103,-0.0485436893204,-0.174757281553,0.0776699029126
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,close_favorable_probability,0,POSITIVE_IS_CHIP_BETTER,105,105,0.0190476190476,-0.0952380952381,0.152619047619
