model,split,distribution_shape,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_return_5,5,899,404,0.02287052661,0.0179168799786,0.0274303593241
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mfe_5,5,899,404,0.0552485355633,0.048873441656,0.0621426626828
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mae_5,5,899,404,-0.0412247150506,-0.0449314311954,-0.0374068768877
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volatility_5,5,899,404,0.0225212189777,0.0212820715552,0.0237036643192
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volume_ratio_5,5,899,404,1.21302136923,1.14891382582,1.28162030917
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_return_10,10,899,404,0.0128580304774,0.00763829077612,0.0185719080989
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mfe_10,10,899,404,0.0832335171174,0.0769084291389,0.0903184101285
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mae_10,10,899,404,-0.0548094171766,-0.058785040628,-0.0513069996978
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volatility_10,10,899,404,0.0243882588758,0.0233615785487,0.0255201525919
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volume_ratio_10,10,899,404,1.18292545819,1.12392359714,1.23745009745
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_return_20,20,898,403,-0.0147034558458,-0.0228145746325,-0.00563906503345
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mfe_20,20,898,403,0.12108543451,0.110947280476,0.131097460014
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mae_20,20,898,403,-0.110412124332,-0.117235524084,-0.104844093711
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volatility_20,20,898,403,0.0287012596364,0.0276784920239,0.0295912740114
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volume_ratio_20,20,898,403,1.26019353731,1.19808970416,1.33524488175
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_return_40,40,897,402,0.0144522793996,0.00318443062561,0.0261296047527
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mfe_40,40,897,402,0.168485974143,0.155011375948,0.182560531501
ACTIVE_STICKY,discovery,DOUBLE_PEAK,mae_40,40,897,402,-0.124675648052,-0.130447411666,-0.118615304185
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volatility_40,40,897,402,0.0279945694901,0.0270345848715,0.0289193756461
ACTIVE_STICKY,discovery,DOUBLE_PEAK,future_volume_ratio_40,40,897,402,1.3137275084,1.24560129677,1.38611480236
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_return_5,5,1514,470,0.0231515199742,0.0187881837001,0.0274712885988
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mfe_5,5,1514,470,0.0537325447449,0.0494639484069,0.0588527025315
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mae_5,5,1514,470,-0.0468668937464,-0.0495035700512,-0.0440259583367
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volatility_5,5,1514,470,0.02316893572,0.0223306178017,0.0240117729347
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volume_ratio_5,5,1514,470,1.24397996524,1.20028103107,1.2867850946
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_return_10,10,1514,470,0.0106008424001,0.00537726795121,0.0163939969491
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mfe_10,10,1514,470,0.0808076496951,0.0742898867423,0.0874230984228
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mae_10,10,1514,470,-0.0593513998057,-0.0621897969864,-0.0568102223602
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volatility_10,10,1514,470,0.0245865389959,0.0237099783748,0.0254292999211
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volume_ratio_10,10,1514,470,1.20416517412,1.15826521924,1.24555606191
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_return_20,20,1514,470,-0.00984977932804,-0.0201689685958,0.00420518075074
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mfe_20,20,1514,470,0.128322579789,0.115635094776,0.142612174807
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mae_20,20,1514,470,-0.114480153988,-0.118801552234,-0.11009844285
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volatility_20,20,1514,470,0.0285891477258,0.0277412229429,0.0293909693905
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volume_ratio_20,20,1514,470,1.24494632467,1.19528578483,1.30156940659
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_return_40,40,1513,470,0.0251229509829,0.0120069898456,0.0406669043646
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mfe_40,40,1513,470,0.181504084024,0.163328023929,0.200245916936
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,mae_40,40,1513,470,-0.125870429701,-0.130637786691,-0.120904129073
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volatility_40,40,1513,470,0.0278659401851,0.0270597700988,0.0288029008369
ACTIVE_STICKY,discovery,SINGLE_DOMINANT,future_volume_ratio_40,40,1513,470,1.34399289439,1.27118506492,1.42192352593
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_return_5,5,708,354,0.0124594055419,0.00680536562647,0.0182712287809
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mfe_5,5,708,354,0.0620002718397,0.0571461492231,0.0673445345813
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mae_5,5,708,354,-0.0309405279857,-0.0351950362097,-0.0273320732439
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volatility_5,5,708,354,0.0230535124269,0.0217033429405,0.0242004654708
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volume_ratio_5,5,708,354,1.22582412786,1.15892232354,1.31272417838
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_return_10,10,708,354,-0.0019821201405,-0.00987262179849,0.00673952723424
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mfe_10,10,708,354,0.0817495009641,0.0751971813183,0.0879854596561
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mae_10,10,708,354,-0.0549245170623,-0.0615269873552,-0.0500244007874
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volatility_10,10,708,354,0.0238397951481,0.0227469304669,0.0249427794606
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volume_ratio_10,10,708,354,1.20370406525,1.14338292905,1.26285368269
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_return_20,20,708,354,-0.00927678044186,-0.0208478476821,0.00230279158633
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mfe_20,20,708,354,0.112077013963,0.1023982605,0.121584716069
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mae_20,20,708,354,-0.0843045255973,-0.0912673557574,-0.077725446383
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volatility_20,20,708,354,0.0247336244661,0.0238340586657,0.025757331543
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volume_ratio_20,20,708,354,1.24970838569,1.16670684387,1.3333254574
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_return_40,40,707,353,0.0093784749268,-0.00795591762789,0.0267859322797
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mfe_40,40,707,353,0.170311521171,0.151376492824,0.191701503319
ACTIVE_STICKY,holdout,DOUBLE_PEAK,mae_40,40,707,353,-0.117132445202,-0.125774516513,-0.108178680264
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volatility_40,40,707,353,0.0260088876602,0.0250517693746,0.0270802827192
ACTIVE_STICKY,holdout,DOUBLE_PEAK,future_volume_ratio_40,40,707,353,1.34822905088,1.26118748103,1.44988677165
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_return_5,5,1227,449,0.0117584257899,0.00799055255488,0.01538642411
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mfe_5,5,1227,449,0.0582640726374,0.0545814163214,0.0615396401647
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mae_5,5,1227,449,-0.0276319237176,-0.0300537551584,-0.0252943685928
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volatility_5,5,1227,449,0.0215289002459,0.0207123106789,0.0223670377502
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volume_ratio_5,5,1227,449,1.31523593202,1.18578615221,1.5170147677
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_return_10,10,1227,449,-0.000732242059259,-0.00588020748928,0.00458961644809
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mfe_10,10,1227,449,0.0770565991348,0.0718291812078,0.0823165963813
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mae_10,10,1227,449,-0.0501629020349,-0.0538164903412,-0.0467825557141
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volatility_10,10,1227,449,0.0223483864647,0.0214521313462,0.0232490905945
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volume_ratio_10,10,1227,449,1.28701804164,1.17441609734,1.46240186703
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_return_20,20,1226,448,-0.00188200827608,-0.0113608692774,0.00830642726384
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mfe_20,20,1226,448,0.110103694673,0.101904602961,0.119031575358
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mae_20,20,1226,448,-0.081072069734,-0.0858010621766,-0.0767940860684
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volatility_20,20,1226,448,0.0232875462424,0.0224941580437,0.0240856484875
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volume_ratio_20,20,1226,448,1.27919996799,1.21736951504,1.34678650909
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_return_40,40,1226,448,0.010130267965,-0.00218180972376,0.0244892529676
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mfe_40,40,1226,448,0.166734903633,0.152105989453,0.180994838303
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,mae_40,40,1226,448,-0.112543019908,-0.118624535216,-0.106081590847
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volatility_40,40,1226,448,0.0248739601147,0.0240346724569,0.0257012367617
ACTIVE_STICKY,holdout,SINGLE_DOMINANT,future_volume_ratio_40,40,1226,448,1.42291754313,1.34045362962,1.51294691182
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_return_5,5,735,396,0.0299353957481,0.0243457480685,0.035804453674
ACTIVE_STICKY,validation,DOUBLE_PEAK,mfe_5,5,735,396,0.0806594567733,0.0754344601911,0.0861223129804
ACTIVE_STICKY,validation,DOUBLE_PEAK,mae_5,5,735,396,-0.0248509440943,-0.027254469926,-0.0225622606387
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volatility_5,5,735,396,0.0214167241192,0.0203794699801,0.0226072996755
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volume_ratio_5,5,735,396,1.33104432452,1.25580735752,1.4145254354
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_return_10,10,735,396,0.0393638021348,0.0306575541147,0.0495121835598
ACTIVE_STICKY,validation,DOUBLE_PEAK,mfe_10,10,735,396,0.114769619539,0.107188098845,0.123602332288
ACTIVE_STICKY,validation,DOUBLE_PEAK,mae_10,10,735,396,-0.0418893468735,-0.0459506876161,-0.0381364834776
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volatility_10,10,735,396,0.0248519552673,0.0240055159529,0.0259491054485
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volume_ratio_10,10,735,396,1.37226218471,1.29521881936,1.45765576672
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_return_20,20,735,396,0.0159076456325,0.00648240894436,0.0240006529964
ACTIVE_STICKY,validation,DOUBLE_PEAK,mfe_20,20,735,396,0.140712879219,0.131621538553,0.150031156686
ACTIVE_STICKY,validation,DOUBLE_PEAK,mae_20,20,735,396,-0.0583307010731,-0.0639153468494,-0.0533005441334
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volatility_20,20,735,396,0.0260849407066,0.0251960952483,0.0270849650363
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volume_ratio_20,20,735,396,1.2774964398,1.2040133714,1.34999400665
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_return_40,40,735,396,0.0365894130332,0.0234771824172,0.0508423233619
ACTIVE_STICKY,validation,DOUBLE_PEAK,mfe_40,40,735,396,0.219397601406,0.203049281922,0.238703899369
ACTIVE_STICKY,validation,DOUBLE_PEAK,mae_40,40,735,396,-0.0831713332119,-0.0900630470606,-0.0764756875888
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volatility_40,40,735,396,0.0269471243835,0.026044699796,0.0278627633444
ACTIVE_STICKY,validation,DOUBLE_PEAK,future_volume_ratio_40,40,735,396,1.40106916763,1.29238224339,1.49819084677
ACTIVE_STICKY,validation,SINGLE_DOMINANT,future_return_5,5,1204,470,0.0327784888262,0.0285684813186,0.0366075642002
ACTIVE_STICKY,validation,SINGLE_DOMINANT,mfe_5,5,1204,470,0.081653692552,0.0769240968317,0.0854914147739
ACTIVE_STICKY,validation,SINGLE_DOMINANT,mae_5,5,1204,470,-0.0223561509458,-0.0240184065396,-0.0207311058099
ACTIVE_STICKY,validation,SINGLE_DOMINANT,future_volatility_5,5,1204,470,0.0211847583713,0.0202617836172,0.0222025819065
ACTIVE_STICKY,validation,SINGLE_DOMINANT,future_volume_ratio_5,5,1204,470,1.30224131603,1.24227808022,1.35106898324
ACTIVE_STICKY,validation,SINGLE_DOMINANT,future_return_10,10,1204,470,0.0466663702373,0.0409288992739,0.0534482043135
ACTIVE_STICKY,validation,SINGLE_DOMINANT,mfe_10,10,1204,470,0.117843904771,0.111590041752,0.125128335403
