split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
discovery,MODEL_BASE_MISSING,mae_10,10,38,36,-0.0382651159033,-0.0539102820492,-0.0251931547764
discovery,MODEL_BASE_MISSING,future_volatility_10,10,38,36,0.0302792903098,0.0245094628313,0.037254578768
discovery,MODEL_BASE_MISSING,future_volume_ratio_10,10,38,36,1.32205863107,1.02731159103,1.65317177858
discovery,MODEL_BASE_MISSING,future_return_20,20,38,36,-0.0246563010212,-0.0734289068417,0.0337523542643
discovery,MODEL_BASE_MISSING,mfe_20,20,38,36,0.171032948078,0.125608183508,0.227449001886
discovery,MODEL_BASE_MISSING,mae_20,20,38,36,-0.113423355427,-0.139251480807,-0.084573352146
discovery,MODEL_BASE_MISSING,future_volatility_20,20,38,36,0.0335165288623,0.0288088516098,0.0385280592753
discovery,MODEL_BASE_MISSING,future_volume_ratio_20,20,38,36,1.19728687323,0.967235698581,1.50833808311
discovery,MODE_COUNT_DISAGREEMENT,model_base_level_spread,0,23,22,0.00910342353616,0.00390994413185,0.0164869153711
discovery,MODE_COUNT_DISAGREEMENT,model_base_mass_cv,0,23,22,0.182276160819,0.137606668532,0.229933863767
discovery,MODE_COUNT_DISAGREEMENT,model_mode_count_range,0,23,22,1.54545454545,1.27272727273,1.81818181818
discovery,MODE_COUNT_DISAGREEMENT,future_chop_10,10,23,22,0.573863636364,0.482954545455,0.653551136364
discovery,MODE_COUNT_DISAGREEMENT,future_return_5,5,23,22,0.0196818611541,-0.00622131830139,0.0437978848571
discovery,MODE_COUNT_DISAGREEMENT,mfe_5,5,23,22,0.050491920087,0.0142393903073,0.0820434145299
discovery,MODE_COUNT_DISAGREEMENT,mae_5,5,23,22,-0.0557455181491,-0.0836180947704,-0.0288074194951
discovery,MODE_COUNT_DISAGREEMENT,future_volatility_5,5,23,22,0.0262388776758,0.0199974569105,0.0328254824703
discovery,MODE_COUNT_DISAGREEMENT,future_volume_ratio_5,5,23,22,1.34467934905,1.10829836652,1.62313935452
discovery,MODE_COUNT_DISAGREEMENT,future_return_10,10,23,22,0.00224787380646,-0.0274835851898,0.0332959938183
discovery,MODE_COUNT_DISAGREEMENT,mfe_10,10,23,22,0.0810886569573,0.0467890506706,0.117660850424
discovery,MODE_COUNT_DISAGREEMENT,mae_10,10,23,22,-0.0670571173492,-0.0941748635743,-0.0389476819847
discovery,MODE_COUNT_DISAGREEMENT,future_volatility_10,10,23,22,0.0260662799308,0.0212274322057,0.0306745493849
