model,split,side,strength_feature,outcome,N,independent_event_count,low_bin_mean,high_bin_mean,high_minus_low,spearman_bin_mean,directionally_coherent_step_fraction
DISPOSITION,holdout,SUPPORT,peak_mass,future_return_5,997,659,-0.000722969530597,-0.0134805924577,-0.0127576229271,-0.6,0.5
DISPOSITION,holdout,SUPPORT,peak_mass,mae_10,957,641,-0.0579852128652,-0.076611358309,-0.0186261454438,-0.3,0.5
DISPOSITION,validation,RESISTANCE,peak_mass,reaction_probability,2584,1290,0.454365079365,0.286806883365,-0.167558196,-1,0
DISPOSITION,validation,RESISTANCE,peak_mass,cross_probability_10,2521,1281,0.562372188139,0.296511627907,-0.265860560232,-1,1
DISPOSITION,validation,RESISTANCE,peak_mass,future_return_5,2563,1288,0.0109771439159,0.0264568599456,0.0154797160297,0.9,0.25
DISPOSITION,validation,RESISTANCE,peak_mass,mae_10,2521,1281,-0.0678813056807,-0.0452875320486,0.0225937736321,0.9,0.25
DISPOSITION,validation,SUPPORT,peak_mass,reaction_probability,1345,796,0.447368421053,0.480952380952,0.0335839598997,0.1,0.5
DISPOSITION,validation,SUPPORT,peak_mass,cross_probability_10,1284,769,0.372,0.107317073171,-0.264682926829,-1,1
DISPOSITION,validation,SUPPORT,peak_mass,future_return_5,1330,789,-0.000208237532802,0.00586206715362,0.00607030468642,0.7,0.75
DISPOSITION,validation,SUPPORT,peak_mass,mae_10,1284,769,-0.0606396352576,-0.0615904720445,-0.000950836786817,-0.6,0.5
ENSEMBLE,discovery,RESISTANCE,peak_mass,reaction_probability,2558,1551,0.467741935484,0.408682634731,-0.0590593007533,-0.9,0.25
ENSEMBLE,discovery,RESISTANCE,peak_mass,cross_probability_10,2430,1496,0.486419753086,0.176012461059,-0.310407292027,-1,1
ENSEMBLE,discovery,RESISTANCE,peak_mass,future_return_5,2527,1542,-0.000334555448112,0.00183396744169,0.0021685228898,0.2,0.25
ENSEMBLE,discovery,RESISTANCE,peak_mass,mae_10,2430,1496,-0.0868970619078,-0.0745912391424,0.0123058227654,1,0
ENSEMBLE,discovery,SUPPORT,peak_mass,reaction_probability,1256,852,0.384364820847,0.438202247191,0.0538374263441,0.5,0.25
ENSEMBLE,discovery,SUPPORT,peak_mass,cross_probability_10,1229,839,0.546357615894,0.222857142857,-0.323500473037,-1,1
ENSEMBLE,discovery,SUPPORT,peak_mass,future_return_5,1247,849,0.0129721597698,0.0111410542593,-0.00183110551058,-0.1,0.5
ENSEMBLE,discovery,SUPPORT,peak_mass,mae_10,1229,839,-0.0756292237155,-0.0813482589588,-0.0057190352433,0,0.5
ENSEMBLE,holdout,RESISTANCE,peak_mass,reaction_probability,1687,1111,0.471544715447,0.388257575758,-0.0832871396896,-0.7,0.25
ENSEMBLE,holdout,RESISTANCE,peak_mass,cross_probability_10,1563,1055,0.431111111111,0.111561866126,-0.319549244985,-0.9,0.75
ENSEMBLE,holdout,RESISTANCE,peak_mass,future_return_5,1663,1098,-0.00736660409765,-0.00487599787536,0.00249060622228,0.6,0.5
ENSEMBLE,holdout,RESISTANCE,peak_mass,mae_10,1563,1055,-0.0745976238488,-0.0552893906116,0.0193082332372,0.7,0.25
ENSEMBLE,holdout,SUPPORT,peak_mass,reaction_probability,725,545,0.377483443709,0.443181818182,0.0656983744732,0.7,0.75
ENSEMBLE,holdout,SUPPORT,peak_mass,cross_probability_10,695,529,0.427586206897,0.180722891566,-0.24686331533,-1,1
ENSEMBLE,holdout,SUPPORT,peak_mass,future_return_5,722,545,-0.00821079515156,-0.00767261919458,0.000538175956982,0.6,0.5
ENSEMBLE,holdout,SUPPORT,peak_mass,mae_10,695,529,-0.0647933109012,-0.0751953869771,-0.0104020760759,0.2,0.5
ENSEMBLE,validation,RESISTANCE,peak_mass,reaction_probability,1885,1112,0.435013262599,0.296089385475,-0.138923877125,-0.9,0.25
ENSEMBLE,validation,RESISTANCE,peak_mass,cross_probability_10,1843,1102,0.540760869565,0.252124645892,-0.288636223673,-1,1
ENSEMBLE,validation,RESISTANCE,peak_mass,future_return_5,1870,1109,0.0122483064585,0.0209941830229,0.00874587656432,0.9,0.25
ENSEMBLE,validation,RESISTANCE,peak_mass,mae_10,1843,1102,-0.0624334223173,-0.0461865363868,0.0162468859306,0.9,0.25
ENSEMBLE,validation,SUPPORT,peak_mass,reaction_probability,1009,688,0.454545454545,0.470198675497,0.0156532209512,0.3,0.5
ENSEMBLE,validation,SUPPORT,peak_mass,cross_probability_10,962,660,0.308108108108,0.0680272108844,-0.240080897224,-1,1
ENSEMBLE,validation,SUPPORT,peak_mass,future_return_5,995,678,0.00329335172778,0.00675534297135,0.00346199124357,0.5,0.5
ENSEMBLE,validation,SUPPORT,peak_mass,mae_10,962,660,-0.0591123562676,-0.0595674781715,-0.000455121903824,-0.5,0.75
UNIFORM,discovery,RESISTANCE,peak_mass,reaction_probability,3147,1703,0.487903225806,0.396181384248,-0.0917218415582,-1,0
UNIFORM,discovery,RESISTANCE,peak_mass,cross_probability_10,2988,1649,0.489270386266,0.166666666667,-0.322603719599,-1,1
UNIFORM,discovery,RESISTANCE,peak_mass,future_return_5,3105,1690,-0.00443294806599,-0.000162907515712,0.00427004055028,0.7,0.25
UNIFORM,discovery,RESISTANCE,peak_mass,mae_10,2988,1649,-0.0892347147374,-0.0747225124599,0.0145122022775,0.8,0.5
UNIFORM,discovery,SUPPORT,peak_mass,reaction_probability,1761,1055,0.404761904762,0.415019762846,0.0102578580839,0.5,0.25
UNIFORM,discovery,SUPPORT,peak_mass,cross_probability_10,1714,1041,0.525423728814,0.22,-0.305423728814,-1,1
UNIFORM,discovery,SUPPORT,peak_mass,future_return_5,1746,1054,0.011961054821,0.0156728052015,0.0037117503805,0.8,0.5
UNIFORM,discovery,SUPPORT,peak_mass,mae_10,1714,1041,-0.074852645761,-0.0783532767851,-0.00350063102405,-0.3,0.5
UNIFORM,holdout,RESISTANCE,peak_mass,reaction_probability,2191,1264,0.48275862069,0.394894894895,-0.0878637257948,-0.7,0.25
UNIFORM,holdout,RESISTANCE,peak_mass,cross_probability_10,2023,1207,0.446202531646,0.123993558776,-0.322208972869,-1,1
UNIFORM,holdout,RESISTANCE,peak_mass,future_return_5,2156,1253,-0.00795713797848,-0.00507139892886,0.00288573904962,0.6,0.5
UNIFORM,holdout,RESISTANCE,peak_mass,mae_10,2023,1207,-0.0739649717277,-0.0573553991346,0.0166095725931,0.7,0.25
UNIFORM,holdout,SUPPORT,peak_mass,reaction_probability,1084,723,0.424489795918,0.455223880597,0.0307340846786,0.1,0.5
UNIFORM,holdout,SUPPORT,peak_mass,cross_probability_10,1031,698,0.4,0.149606299213,-0.250393700787,-1,1
UNIFORM,holdout,SUPPORT,peak_mass,future_return_5,1078,721,0.00207758175273,-0.00618592379405,-0.00826350554679,-0.3,0.5
UNIFORM,holdout,SUPPORT,peak_mass,mae_10,1031,698,-0.0600985754361,-0.0706016878453,-0.0105031124092,-0.4,0.25
UNIFORM,validation,RESISTANCE,peak_mass,reaction_probability,2466,1258,0.447154471545,0.29296875,-0.154185721545,-0.9,0.25
UNIFORM,validation,RESISTANCE,peak_mass,cross_probability_10,2411,1250,0.566037735849,0.306324110672,-0.259713625177,-1,1
UNIFORM,validation,RESISTANCE,peak_mass,future_return_5,2447,1256,0.00836143200212,0.0254056908274,0.0170442588253,0.7,0.25
UNIFORM,validation,RESISTANCE,peak_mass,mae_10,2411,1250,-0.0677274316302,-0.0440396360553,0.0236877955749,0.9,0.25
UNIFORM,validation,SUPPORT,peak_mass,reaction_probability,1394,831,0.459770114943,0.447368421053,-0.0124016938899,-0.3,0.5
UNIFORM,validation,SUPPORT,peak_mass,cross_probability_10,1320,798,0.360655737705,0.0639269406393,-0.296728797066,-1,1
UNIFORM,validation,SUPPORT,peak_mass,future_return_5,1373,821,0.000243566897535,0.00659883938034,0.00635527248281,0.8,0.5
UNIFORM,validation,SUPPORT,peak_mass,mae_10,1320,798,-0.0613446240065,-0.0549749894725,0.00636963453405,0.5,0.75
ACTIVE_STICKY,discovery,RESISTANCE,peak_prominence,reaction_probability,3008,1671,0.525198938992,0.366666666667,-0.158532272325,-0.9,0.25
ACTIVE_STICKY,discovery,RESISTANCE,peak_prominence,cross_probability_10,2859,1618,0.387005649718,0.23264781491,-0.154357834807,-1,1
ACTIVE_STICKY,discovery,RESISTANCE,peak_prominence,future_return_5,2972,1661,-0.0030509012388,0.00498068459522,0.00803158583402,0.3,0.5
ACTIVE_STICKY,discovery,RESISTANCE,peak_prominence,mae_10,2859,1618,-0.0903887908542,-0.0744242034876,0.0159645873665,0.9,0.25
ACTIVE_STICKY,discovery,SUPPORT,peak_prominence,reaction_probability,1669,1053,0.421545667447,0.433460076046,0.0119144085983,0.1,0.5
ACTIVE_STICKY,discovery,SUPPORT,peak_prominence,cross_probability_10,1631,1039,0.370460048426,0.319230769231,-0.0512292791954,-0.3,0.5
ACTIVE_STICKY,discovery,SUPPORT,peak_prominence,future_return_5,1658,1050,0.0181888203817,0.0121338429615,-0.00605497742021,-0.6,0.5
ACTIVE_STICKY,discovery,SUPPORT,peak_prominence,mae_10,1631,1039,-0.0753267196126,-0.0779203398063,-0.00259362019369,-0.5,0.75
ACTIVE_STICKY,holdout,RESISTANCE,peak_prominence,reaction_probability,2018,1235,0.496478873239,0.373684210526,-0.122794662713,-0.8,0.5
ACTIVE_STICKY,holdout,RESISTANCE,peak_prominence,cross_probability_10,1883,1187,0.385496183206,0.126605504587,-0.258890678619,-1,1
ACTIVE_STICKY,holdout,RESISTANCE,peak_prominence,future_return_5,1994,1228,-0.00660514968992,-0.00838479786513,-0.00177964817521,-0.5,0.25
ACTIVE_STICKY,holdout,RESISTANCE,peak_prominence,mae_10,1883,1187,-0.0799759323458,-0.0566891689991,0.0232867633467,1,0
ACTIVE_STICKY,holdout,SUPPORT,peak_prominence,reaction_probability,1069,745,0.455974842767,0.416666666667,-0.0393081761006,0,0.75
ACTIVE_STICKY,holdout,SUPPORT,peak_prominence,cross_probability_10,1025,723,0.248366013072,0.344086021505,0.0957200084335,0.5,0.5
ACTIVE_STICKY,holdout,SUPPORT,peak_prominence,future_return_5,1063,742,0.00226113245981,-0.021150970141,-0.0234121026008,-0.9,0.25
ACTIVE_STICKY,holdout,SUPPORT,peak_prominence,mae_10,1025,723,-0.0619278685925,-0.0878249799939,-0.0258971114014,-0.8,0.5
ACTIVE_STICKY,validation,RESISTANCE,peak_prominence,reaction_probability,2303,1241,0.465882352941,0.274074074074,-0.191808278867,-1,0
ACTIVE_STICKY,validation,RESISTANCE,peak_prominence,cross_probability_10,2256,1231,0.410628019324,0.350877192982,-0.0597508263412,-0.6,0.5
ACTIVE_STICKY,validation,RESISTANCE,peak_prominence,future_return_5,2288,1239,0.0055014946617,0.0266932937708,0.0211917991091,1,0
ACTIVE_STICKY,validation,RESISTANCE,peak_prominence,mae_10,2256,1231,-0.0672177238387,-0.0442201873042,0.0229975365345,1,0
ACTIVE_STICKY,validation,SUPPORT,peak_prominence,reaction_probability,1277,814,0.408560311284,0.538461538462,0.129901227177,1,1
ACTIVE_STICKY,validation,SUPPORT,peak_prominence,cross_probability_10,1207,786,0.2,0.173913043478,-0.0260869565217,0,0.25
ACTIVE_STICKY,validation,SUPPORT,peak_prominence,future_return_5,1259,807,0.000105623074698,0.00833802060728,0.00823239753258,0.9,0.75
ACTIVE_STICKY,validation,SUPPORT,peak_prominence,mae_10,1207,786,-0.0568584612327,-0.0602979831271,-0.00343952189437,-0.7,0.25
DISPOSITION,discovery,RESISTANCE,peak_prominence,reaction_probability,3254,1727,0.463519313305,0.388821385176,-0.0746979281285,-0.8,0.5
DISPOSITION,discovery,RESISTANCE,peak_prominence,cross_probability_10,3095,1674,0.420689655172,0.245235069886,-0.175454585287,-1,1
DISPOSITION,discovery,RESISTANCE,peak_prominence,future_return_5,3215,1715,0.000185197632439,0.00304731955791,0.00286212192547,0.3,0.5
DISPOSITION,discovery,RESISTANCE,peak_prominence,mae_10,3095,1674,-0.0858111426042,-0.0790106162652,0.00680052633896,0.8,0.5
DISPOSITION,discovery,SUPPORT,peak_prominence,reaction_probability,1626,994,0.393719806763,0.454212454212,0.0604926474492,0.3,0.5
DISPOSITION,discovery,SUPPORT,peak_prominence,cross_probability_10,1587,982,0.441102756892,0.355555555556,-0.0855472013367,-0.7,0.75
DISPOSITION,discovery,SUPPORT,peak_prominence,future_return_5,1612,991,0.0155750761064,0.0169715676573,0.0013964915509,-0.1,0.75
