role,coordinate,block,index_symbol,n,baseline_adjusted_r2,full_adjusted_r2,increment,support_pass
below_level_close_fraction,absolute,A,csi000300,215,0.42019787616028792,0.42139404720085161,0.0011961710405636872,True
below_level_close_fraction,absolute,A,csi000852,215,0.42019787616028792,0.42124742464963072,0.0010495484893427998,True
below_level_close_fraction,absolute,A,csi000905,215,0.42019787616028792,0.42226687335567425,0.0020689971953863351,True
below_level_close_fraction,absolute,A,sh000001,215,0.42019787616028792,0.42204768353537914,0.001849807375091217,True
below_level_close_fraction,absolute,A,sz399001,215,0.42019787616028792,0.42045934776363836,0.00026147160335043829,True
below_level_close_fraction,absolute,A,sz399006,215,0.42019787616028792,0.42209110234542579,0.0018932261851378751,True
below_level_close_fraction,absolute,B,csi000300,265,0.37393140935382996,0.38641872444688885,0.012487315093058893,True
below_level_close_fraction,absolute,B,csi000852,265,0.37393140935382996,0.39039983675314238,0.016468427399312424,True
below_level_close_fraction,absolute,B,csi000905,265,0.37393140935382996,0.38941764136096557,0.015486232007135614,True
below_level_close_fraction,absolute,B,sh000001,265,0.37393140935382996,0.3865328675523606,0.012601458198530646,True
below_level_close_fraction,absolute,B,sz399001,265,0.37393140935382996,0.38670208355125868,0.012770674197428722,True
below_level_close_fraction,absolute,B,sz399006,265,0.37393140935382996,0.38889173307924318,0.014960323725413227,True
below_level_close_fraction,pit,A,csi000300,50,0.37376680029796361,0.35454863573182416,-0.019218164566139451,False
below_level_close_fraction,pit,A,csi000852,50,0.37376680029796361,0.34368307039663104,-0.030083729901332568,False
below_level_close_fraction,pit,A,csi000905,50,0.37376680029796361,0.37027721404899461,-0.003489586248969001,False
below_level_close_fraction,pit,A,sh000001,50,0.37376680029796361,0.37433039725104167,0.00056359695307806046,False
below_level_close_fraction,pit,A,sz399001,50,0.37376680029796361,0.37457394268479205,0.00080714238682844108,False
below_level_close_fraction,pit,A,sz399006,50,0.37376680029796361,0.35488942786143907,-0.018877372436524542,False
below_level_close_fraction,pit,B,csi000300,265,0.37393140935382996,0.38904540901703655,0.01511399966320659,True
below_level_close_fraction,pit,B,csi000852,265,0.37393140935382996,0.39359807245043721,0.019666663096607251,True
below_level_close_fraction,pit,B,csi000905,265,0.37393140935382996,0.39257042153939481,0.018639012185564852,True
below_level_close_fraction,pit,B,sh000001,265,0.37393140935382996,0.38942472089253388,0.015493311538703924,True
below_level_close_fraction,pit,B,sz399001,265,0.37393140935382996,0.38933621669988816,0.015404807346058202,True
below_level_close_fraction,pit,B,sz399006,265,0.37393140935382996,0.38971498525960746,0.015783575905777503,True
below_level_close_fraction,relative,A,csi000300,215,0.42019787616028792,0.41901811320836102,-0.0011797629519268993,True
below_level_close_fraction,relative,A,csi000852,215,0.42019787616028792,0.41858337421741298,-0.0016145019428749352,True
below_level_close_fraction,relative,A,csi000905,215,0.42019787616028792,0.41869157941953283,-0.0015062967407550865,True
below_level_close_fraction,relative,A,sh000001,215,0.42019787616028792,0.41993255022232612,-0.00026532593796180226,True
below_level_close_fraction,relative,A,sz399001,215,0.42019787616028792,0.41990417240300393,-0.00029370375728399178,True
below_level_close_fraction,relative,A,sz399006,215,0.42019787616028792,0.41899963788310179,-0.0011982382771861255,True
below_level_close_fraction,relative,B,csi000300,265,0.37393140935382996,0.3737837142762277,-0.00014769507760226119,True
below_level_close_fraction,relative,B,csi000852,265,0.37393140935382996,0.37500025263808212,0.0010688432842521634,True
below_level_close_fraction,relative,B,csi000905,265,0.37393140935382996,0.37288429340314388,-0.0010471159506860728,True
below_level_close_fraction,relative,B,sh000001,265,0.37393140935382996,0.37291429966583589,-0.0010171096879940666,True
below_level_close_fraction,relative,B,sz399001,265,0.37393140935382996,0.37734285878913376,0.0034114494353038038,True
below_level_close_fraction,relative,B,sz399006,265,0.37393140935382996,0.37302560412588293,-0.00090580522794703189,True
continuation30_log_return,absolute,A,csi000300,215,0.40837281444824503,0.40275320541903603,-0.005619609029208994,True
continuation30_log_return,absolute,A,csi000852,215,0.40837281444824503,0.40318531227347121,-0.005187502174773817,True
continuation30_log_return,absolute,A,csi000905,215,0.40837281444824503,0.4040556149954353,-0.0043171994528097279,True
continuation30_log_return,absolute,A,sh000001,215,0.40837281444824503,0.40521530808853634,-0.0031575063597086839,True
continuation30_log_return,absolute,A,sz399001,215,0.40837281444824503,0.40362106551444843,-0.0047517489337965957,True
continuation30_log_return,absolute,A,sz399006,215,0.40837281444824503,0.40205604191430122,-0.0063167725339438041,True
continuation30_log_return,absolute,B,csi000300,265,0.33776522266580267,0.3368729600697995,-0.00089226259600316826,True
continuation30_log_return,absolute,B,csi000852,265,0.33776522266580267,0.33345804909398868,-0.0043071735718139825,True
continuation30_log_return,absolute,B,csi000905,265,0.33776522266580267,0.33385966098387443,-0.0039055616819282379,True
continuation30_log_return,absolute,B,sh000001,265,0.33776522266580267,0.33755686739301693,-0.00020835527278573185,True
continuation30_log_return,absolute,B,sz399001,265,0.33776522266580267,0.33845099750819008,0.00068577484238740993,True
continuation30_log_return,absolute,B,sz399006,265,0.33776522266580267,0.33523863936951004,-0.0025265832962926282,True
continuation30_log_return,pit,A,csi000300,50,0.32833556813814413,0.32298928051251696,-0.0053462876256271663,False
continuation30_log_return,pit,A,csi000852,50,0.32833556813814413,0.32009816871582752,-0.0082373994223166047,False
continuation30_log_return,pit,A,csi000905,50,0.32833556813814413,0.32262078366155555,-0.0057147844765885747,False
continuation30_log_return,pit,A,sh000001,50,0.32833556813814413,0.3152941223325102,-0.013041445805633933,False
continuation30_log_return,pit,A,sz399001,50,0.32833556813814413,0.31966327381836135,-0.0086722943197827806,False
continuation30_log_return,pit,A,sz399006,50,0.32833556813814413,0.32433282442095457,-0.0040027437171895608,False
continuation30_log_return,pit,B,csi000300,265,0.33776522266580267,0.33725498616237826,-0.00051023650342441051,True
continuation30_log_return,pit,B,csi000852,265,0.33776522266580267,0.33342468171049533,-0.0043405409553073371,True
continuation30_log_return,pit,B,csi000905,265,0.33776522266580267,0.33460099494285922,-0.0031642277229434468,True
continuation30_log_return,pit,B,sh000001,265,0.33776522266580267,0.3369623675986565,-0.00080285506714616872,True
continuation30_log_return,pit,B,sz399001,265,0.33776522266580267,0.33852100208626756,0.0007557794204648971,True
continuation30_log_return,pit,B,sz399006,265,0.33776522266580267,0.33593304462628715,-0.0018321780395155196,True
continuation30_log_return,relative,A,csi000300,215,0.40837281444824503,0.40387360297016373,-0.0044992114780812997,True
continuation30_log_return,relative,A,csi000852,215,0.40837281444824503,0.40363999013747165,-0.0047328243107733758,True
continuation30_log_return,relative,A,csi000905,215,0.40837281444824503,0.4046913234818722,-0.0036814909663728246,True
continuation30_log_return,relative,A,sh000001,215,0.40837281444824503,0.40643961344398927,-0.0019332010042557579,True
continuation30_log_return,relative,A,sz399001,215,0.40837281444824503,0.41078156771352992,0.0024087532652848909,True
continuation30_log_return,relative,A,sz399006,215,0.40837281444824503,0.4036488340212171,-0.0047239804270279295,True
continuation30_log_return,relative,B,csi000300,265,0.33776522266580267,0.33265455746982309,-0.0051106651959795801,True
continuation30_log_return,relative,B,csi000852,265,0.33776522266580267,0.33344184338640659,-0.0043233792793960779,True
continuation30_log_return,relative,B,csi000905,265,0.33776522266580267,0.33421194218306249,-0.0035532804827401732,True
continuation30_log_return,relative,B,sh000001,265,0.33776522266580267,0.33518216804976264,-0.0025830546160400258,True
continuation30_log_return,relative,B,sz399001,265,0.33776522266580267,0.33934251379297442,0.0015772911271717538,True
continuation30_log_return,relative,B,sz399006,265,0.33776522266580267,0.33455190715858207,-0.0032133155072205932,True
loss_episode_count,absolute,A,csi000300,215,0.10021334487496647,0.09092822525158728,-0.0092851196233791899,True
loss_episode_count,absolute,A,csi000852,215,0.10021334487496647,0.08926285739355555,-0.01095048748141092,True
loss_episode_count,absolute,A,csi000905,215,0.10021334487496647,0.089361630936658387,-0.010851713938308083,True
