sequence_id,target_year,block_id,market_view,market_sequence_rank,symbol,level_horizon,path,tested_day_count,first_state,last_state,transition_category,adjacent_R_R,adjacent_R_F,adjacent_F_R,adjacent_F_F
2018|01|ALL_A|01|000420.SZ,2018,1,ALL_A,1,000420.SZ,10,auction,2,R,R,R_TO_R,1,0,0,0
2018|01|ALL_A|01|000420.SZ,2018,1,ALL_A,1,000420.SZ,10,cont,2,R,R,R_TO_R,1,0,0,0
2018|01|ALL_A|01|000420.SZ,2018,1,ALL_A,1,000420.SZ,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|01|000420.SZ,2018,1,ALL_A,1,000420.SZ,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|01|000420.SZ,2018,1,ALL_A,1,000420.SZ,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|01|000420.SZ,2018,1,ALL_A,1,000420.SZ,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|02|600576.SH,2018,1,ALL_A,2,600576.SH,10,auction,0,,,,0,0,0,0
2018|01|ALL_A|02|600576.SH,2018,1,ALL_A,2,600576.SH,10,cont,0,,,,0,0,0,0
2018|01|ALL_A|02|600576.SH,2018,1,ALL_A,2,600576.SH,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|02|600576.SH,2018,1,ALL_A,2,600576.SH,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|02|600576.SH,2018,1,ALL_A,2,600576.SH,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|02|600576.SH,2018,1,ALL_A,2,600576.SH,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|03|601882.SH,2018,1,ALL_A,3,601882.SH,10,auction,1,,,,0,0,0,0
2018|01|ALL_A|03|601882.SH,2018,1,ALL_A,3,601882.SH,10,cont,1,,,,0,0,0,0
2018|01|ALL_A|03|601882.SH,2018,1,ALL_A,3,601882.SH,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|03|601882.SH,2018,1,ALL_A,3,601882.SH,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|03|601882.SH,2018,1,ALL_A,3,601882.SH,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|03|601882.SH,2018,1,ALL_A,3,601882.SH,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|04|300691.SZ,2018,1,ALL_A,4,300691.SZ,10,auction,0,,,,0,0,0,0
2018|01|ALL_A|04|300691.SZ,2018,1,ALL_A,4,300691.SZ,10,cont,0,,,,0,0,0,0
2018|01|ALL_A|04|300691.SZ,2018,1,ALL_A,4,300691.SZ,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|04|300691.SZ,2018,1,ALL_A,4,300691.SZ,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|04|300691.SZ,2018,1,ALL_A,4,300691.SZ,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|04|300691.SZ,2018,1,ALL_A,4,300691.SZ,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|05|600481.SH,2018,1,ALL_A,5,600481.SH,10,auction,0,,,,0,0,0,0
2018|01|ALL_A|05|600481.SH,2018,1,ALL_A,5,600481.SH,10,cont,0,,,,0,0,0,0
2018|01|ALL_A|05|600481.SH,2018,1,ALL_A,5,600481.SH,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|05|600481.SH,2018,1,ALL_A,5,600481.SH,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|05|600481.SH,2018,1,ALL_A,5,600481.SH,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|05|600481.SH,2018,1,ALL_A,5,600481.SH,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|06|300055.SZ,2018,1,ALL_A,6,300055.SZ,10,auction,0,,,,0,0,0,0
2018|01|ALL_A|06|300055.SZ,2018,1,ALL_A,6,300055.SZ,10,cont,0,,,,0,0,0,0
2018|01|ALL_A|06|300055.SZ,2018,1,ALL_A,6,300055.SZ,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|06|300055.SZ,2018,1,ALL_A,6,300055.SZ,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|06|300055.SZ,2018,1,ALL_A,6,300055.SZ,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|06|300055.SZ,2018,1,ALL_A,6,300055.SZ,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|07|603507.SH,2018,1,ALL_A,7,603507.SH,10,auction,0,,,,0,0,0,0
2018|01|ALL_A|07|603507.SH,2018,1,ALL_A,7,603507.SH,10,cont,0,,,,0,0,0,0
2018|01|ALL_A|07|603507.SH,2018,1,ALL_A,7,603507.SH,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|07|603507.SH,2018,1,ALL_A,7,603507.SH,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|07|603507.SH,2018,1,ALL_A,7,603507.SH,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|07|603507.SH,2018,1,ALL_A,7,603507.SH,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|08|603890.SH,2018,1,ALL_A,8,603890.SH,10,auction,1,,,,0,0,0,0
2018|01|ALL_A|08|603890.SH,2018,1,ALL_A,8,603890.SH,10,cont,1,,,,0,0,0,0
2018|01|ALL_A|08|603890.SH,2018,1,ALL_A,8,603890.SH,20,auction,0,,,,0,0,0,0
2018|01|ALL_A|08|603890.SH,2018,1,ALL_A,8,603890.SH,20,cont,0,,,,0,0,0,0
2018|01|ALL_A|08|603890.SH,2018,1,ALL_A,8,603890.SH,40,auction,0,,,,0,0,0,0
2018|01|ALL_A|08|603890.SH,2018,1,ALL_A,8,603890.SH,40,cont,0,,,,0,0,0,0
2018|01|ALL_A|09|300546.SZ,2018,1,ALL_A,9,300546.SZ,10,auction,0,,,,0,0,0,0
2018|01|ALL_A|09|300546.SZ,2018,1,ALL_A,9,300546.SZ,10,cont,0,,,,0,0,0,0
