state,period,decision_dates,cohorts,trades,mean_cohort_payoff,pooled_absolute_return,winner_fraction,severe_fraction,selected_industry_return,broad_proxy_return
HIGH,full,92,92,918,0.01039932525,0.005834013484,0.4662309368,0.1437908497,-0.0007978124983,-0.05363867495
HIGH,early,43,43,428,0.02356280389,0.0218360619,0.5070093458,0.191588785,0.003576607879,-0.05315165847
HIGH,late,49,49,490,-0.001152298855,-0.002682768341,0.4306122449,0.1020408163,-0.004636589564,-0.05406605675
LOW,full,94,94,939,0.01382331507,0.01530241484,0.5037273695,0.1341853035,-0.006998101694,-0.04025182934
LOW,early,50,50,500,0.008469475898,0.01149260116,0.492,0.142,-0.01093530851,-0.04192400071
LOW,late,44,44,439,0.01990722322,0.01759408179,0.5170842825,0.125284738,-0.00252400304,-0.03835163461
MEDIUM,full,77,77,768,0.02124500201,0.01439289799,0.5013020833,0.1471354167,0.01520547265,-0.04953735061
MEDIUM,early,29,29,290,0.04033123196,0.0318232692,0.5379310345,0.1379310345,0.03476797629,-0.04713977265
MEDIUM,late,48,48,478,0.009713738092,0.007634422409,0.4790794979,0.1527196653,0.003386460024,-0.0509858873
