audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,ALL_A,ALL_STATUS,pit,3,107,-0.3130660016277072,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,ALL_A,NON_ST,pit,3,107,-0.3040669250066152,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,107,-0.09793551427267605,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,NON_ST,pit,3,107,-0.093690388535472249,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SH_A,ALL_STATUS,pit,3,107,-0.1545808363418523,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SH_A,NON_ST,pit,3,107,-0.16484233000387408,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SZ_A,ALL_STATUS,pit,3,107,-0.30925273915703577,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SZ_A,NON_ST,pit,3,107,-0.29085046704917955,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,ALL_A,ALL_STATUS,pit,3,722,-0.40602715463732836,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,ALL_A,NON_ST,pit,3,722,-0.4088863927335028,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,719,-0.31259161191196605,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,NON_ST,pit,3,720,-0.30587769544162241,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SH_A,ALL_STATUS,pit,3,722,-0.39049977798674401,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SH_A,NON_ST,pit,3,722,-0.3936124628891064,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SZ_A,ALL_STATUS,pit,3,722,-0.3646173039942962,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SZ_A,NON_ST,pit,3,722,-0.36849784248544898,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,829,-0.41880663983410005,,,
partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,829,-0.38195354792034508,,,
