trade_date,market_view,denominator,event_year,cal_idx,horizon,anchor_count,analysis_count,retention,supported,raw_rho,partial_rho,target_rank_r2,low_n,high_n,controlled_tail_gap
2018-03-07,ALL_A,ALL_STATUS,2018,41,1,238,234,0.98319327731092432,True,-0.26718863633076051,0.15137589205553109,0.5800871195668762,47,47,0.0039153395231991787
2018-03-07,ALL_A,ALL_STATUS,2018,41,3,238,234,0.98319327731092432,True,-0.25077928922828979,0.11313833464249949,0.5800871195668762,47,47,0.0023512949936772389
2018-03-07,ALL_A,ALL_STATUS,2018,41,5,238,234,0.98319327731092432,True,-0.24887330011616263,0.059137627014273504,0.5800871195668762,47,47,0.00099080275676149531
2018-03-07,CHINEXT_BOARD,ALL_STATUS,2018,41,1,60,60,1,True,-0.39622117254793005,0.048846420080599057,0.62758465928653229,12,12,-0.0011215890287867808
2018-03-07,CHINEXT_BOARD,ALL_STATUS,2018,41,3,60,60,1,True,-0.38066129480411237,0.0843734911073869,0.62758465928653229,12,12,-0.0013368140994566872
2018-03-07,CHINEXT_BOARD,ALL_STATUS,2018,41,5,60,60,1,True,-0.33337038066129493,-0.013754818915775227,0.62758465928653229,12,12,-0.0052942642673187747
2018-03-07,SH_A,ALL_STATUS,2018,41,1,87,85,0.97701149425287359,True,-0.22508525586531039,0.25780081768691487,0.61951870412775401,17,17,0.0014022318353120841
2018-03-07,SH_A,ALL_STATUS,2018,41,3,87,85,0.97701149425287359,True,-0.18676073266166157,0.18483100111890088,0.61951870412775401,17,17,0.00016565859734907033
2018-03-07,SH_A,ALL_STATUS,2018,41,5,87,85,0.97701149425287359,True,-0.20947923333860202,0.1075022821753764,0.61951870412775401,17,17,-0.00078706621951638023
2018-03-07,SZ_A,ALL_STATUS,2018,41,1,151,149,0.98675496688741726,True,-0.29338253833219363,0.10977916603862023,0.57927002952154338,30,30,0.0048239737971006265
2018-03-07,SZ_A,ALL_STATUS,2018,41,3,151,149,0.98675496688741726,True,-0.29633193602745517,0.11167943705844074,0.57927002952154338,30,30,0.0044498833869720238
2018-03-07,SZ_A,ALL_STATUS,2018,41,5,151,149,0.98675496688741726,True,-0.28229962325344321,0.058354706995458354,0.57927002952154338,30,30,0.0025858977716205728
2018-03-07,ALL_A,NON_ST,2018,41,1,234,230,0.98290598290598286,True,-0.25927931393293385,0.15880047932781183,0.58278813224295467,46,46,0.0042989063624650986
2018-03-07,ALL_A,NON_ST,2018,41,3,234,230,0.98290598290598286,True,-0.25673621448380901,0.11141493423202169,0.58278813224295467,46,46,0.0031334153427284672
2018-03-07,ALL_A,NON_ST,2018,41,5,234,230,0.98290598290598286,True,-0.25343255465312609,0.055883225873152371,0.58278813224295467,46,46,0.0020609292617481171
2018-03-07,CHINEXT_BOARD,NON_ST,2018,41,1,60,60,1,True,-0.39622117254793005,0.048846420080599057,0.62758465928653229,12,12,-0.0011215890287867808
2018-03-07,CHINEXT_BOARD,NON_ST,2018,41,3,60,60,1,True,-0.38066129480411237,0.0843734911073869,0.62758465928653229,12,12,-0.0013368140994566872
2018-03-07,CHINEXT_BOARD,NON_ST,2018,41,5,60,60,1,True,-0.33337038066129493,-0.013754818915775227,0.62758465928653229,12,12,-0.0052942642673187747
2018-03-07,SH_A,NON_ST,2018,41,1,84,82,0.97619047619047616,True,-0.20552783235049452,0.2713927296093937,0.62023841059070162,16,16,0.0017039755019566253
2018-03-07,SH_A,NON_ST,2018,41,3,84,82,0.97619047619047616,True,-0.20267630237401549,0.1518129126423057,0.62023841059070162,16,16,-0.0033206921531480828
2018-03-07,SH_A,NON_ST,2018,41,5,84,82,0.97619047619047616,True,-0.223518592087593,0.076987655858781659,0.62023841059070162,16,16,-0.0025570069637379836
2018-03-07,SZ_A,NON_ST,2018,41,1,150,148,0.98666666666666669,True,-0.2919958983698982,0.12168960938065941,0.58405220484041842,30,30,0.0049651291681040459
2018-03-07,SZ_A,NON_ST,2018,41,3,150,148,0.98666666666666669,True,-0.29560888661843182,0.12321471599261952,0.58405220484041842,30,30,0.0046190962972753238
2018-03-07,SZ_A,NON_ST,2018,41,5,150,148,0.98666666666666669,True,-0.28159374982647661,0.067593868400439891,0.58405220484041842,30,30,0.0027502110761201039
2018-03-08,ALL_A,ALL_STATUS,2018,42,1,325,321,0.98769230769230765,True,-0.28466386830916018,-0.092239758671114891,0.528234126779488,64,64,-0.0016802243079722496
2018-03-08,ALL_A,ALL_STATUS,2018,42,3,325,321,0.98769230769230765,True,-0.35102443675343731,-0.10804130572801515,0.528234126779488,64,64,-0.0036420883285535905
2018-03-08,ALL_A,ALL_STATUS,2018,42,5,325,321,0.98769230769230765,True,-0.25955227614215692,0.0011470110269998438,0.528234126779488,64,64,-0.0026002084273938457
2018-03-08,CHINEXT_BOARD,ALL_STATUS,2018,42,1,103,103,1,True,-0.30461714185300709,-0.17299072224838213,0.5231131267572976,21,21,0.0027578603459673962
2018-03-08,CHINEXT_BOARD,ALL_STATUS,2018,42,3,103,103,1,True,-0.38782234327636961,-0.17934394444858973,0.5231131267572976,21,21,0.0029224564322498387
2018-03-08,CHINEXT_BOARD,ALL_STATUS,2018,42,5,103,103,1,True,-0.09553881298598603,0.19666718206839012,0.5231131267572976,21,21,0.015328030439332542
2018-03-08,SH_A,ALL_STATUS,2018,42,1,95,94,0.98947368421052628,True,-0.25070259726185751,-0.010614451851231234,0.51599507492970098,19,19,-0.00148902388529098
2018-03-08,SH_A,ALL_STATUS,2018,42,3,95,94,0.98947368421052628,True,-0.27617671495141422,0.00040247464879050981,0.51599507492970098,19,19,-0.001878556344684772
2018-03-08,SH_A,ALL_STATUS,2018,42,5,95,94,0.98947368421052628,True,-0.17912076003323338,0.0143072508310271,0.51599507492970098,19,19,-0.0034821789981440148
2018-03-08,SZ_A,ALL_STATUS,2018,42,1,230,227,0.9869565217391304,True,-0.28821862296263051,-0.12021706736244049,0.48355293998076232,45,45,-0.0019530223948101954
2018-03-08,SZ_A,ALL_STATUS,2018,42,3,230,227,0.9869565217391304,True,-0.37511535156906162,-0.145497811310597,0.48355293998076232,45,45,-0.0023453537040305571
2018-03-08,SZ_A,ALL_STATUS,2018,42,5,230,227,0.9869565217391304,True,-0.24923889765196475,-0.0042233592760646107,0.48355293998076232,45,45,0.0028793759161830378
2018-03-08,ALL_A,NON_ST,2018,42,1,323,319,0.9876160990712074,True,-0.29186347330159418,-0.098278115168127581,0.5302628849933666,64,64,-0.0016990900965706893
2018-03-08,ALL_A,NON_ST,2018,42,3,323,319,0.9876160990712074,True,-0.35329862506998916,-0.1079397411665448,0.5302628849933666,64,64,-0.0036327615219644187
2018-03-08,ALL_A,NON_ST,2018,42,5,323,319,0.9876160990712074,True,-0.26286565159136671,0.00084168712793809093,0.5302628849933666,64,64,-0.0025914405351126573
2018-03-08,CHINEXT_BOARD,NON_ST,2018,42,1,103,103,1,True,-0.30461714185300709,-0.17299072224838213,0.5231131267572976,21,21,0.0027578603459673962
2018-03-08,CHINEXT_BOARD,NON_ST,2018,42,3,103,103,1,True,-0.38782234327636961,-0.17934394444858973,0.5231131267572976,21,21,0.0029224564322498387
2018-03-08,CHINEXT_BOARD,NON_ST,2018,42,5,103,103,1,True,-0.09553881298598603,0.19666718206839012,0.5231131267572976,21,21,0.015328030439332542
2018-03-08,SH_A,NON_ST,2018,42,1,94,93,0.98936170212765961,True,-0.27204500014920469,-0.022072766842199349,0.50753302019532132,19,19,-0.0013263661178974906
2018-03-08,SH_A,NON_ST,2018,42,3,94,93,0.98936170212765961,True,-0.272298648205067,0.0051602746807687914,0.50753302019532132,19,19,-0.0019347753492516902
2018-03-08,SH_A,NON_ST,2018,42,5,94,93,0.98936170212765961,True,-0.17485303333233859,0.01933212754824681,0.50753302019532132,19,19,-0.0037692926758425942
2018-03-08,SZ_A,NON_ST,2018,42,1,229,226,0.98689956331877726,True,-0.29111498764963728,-0.12308436730809046,0.48710765255329225,45,45,-0.0019351277302216252
2018-03-08,SZ_A,NON_ST,2018,42,3,229,226,0.98689956331877726,True,-0.37858608687702122,-0.14975992728888382,0.48710765255329225,45,45,-0.0023690214666147701
2018-03-08,SZ_A,NON_ST,2018,42,5,229,226,0.98689956331877726,True,-0.25280275118725293,-0.0077724195054463567,0.48710765255329225,45,45,0.0028055658593760429
2018-03-09,ALL_A,ALL_STATUS,2018,43,1,958,946,0.98747390396659707,True,-0.21007028004679917,-0.12376705338731554,0.49783749229752849,189,189,-0.0023310263706139041
2018-03-09,ALL_A,ALL_STATUS,2018,43,3,958,946,0.98747390396659707,True,-0.19167477208932485,-0.15544796738870287,0.49783749229752849,189,189,-0.0053518315089215607
2018-03-09,ALL_A,ALL_STATUS,2018,43,5,958,946,0.98747390396659707,True,-0.28441880562477179,-0.16053834551789992,0.49783749229752849,189,189,-0.0091584293420942948
2018-03-09,CHINEXT_BOARD,ALL_STATUS,2018,43,1,351,346,0.98575498575498577,True,-0.13045901882675731,-0.059159425630124413,0.41593060845544783,69,69,-0.00072598221059916963
2018-03-09,CHINEXT_BOARD,ALL_STATUS,2018,43,3,351,346,0.98575498575498577,True,-0.14657386724986343,-0.16831671174800292,0.41593060845544783,69,69,-0.0037104862965290693
2018-03-09,CHINEXT_BOARD,ALL_STATUS,2018,43,5,351,346,0.98575498575498577,True,-0.27422241613172849,-0.22116818704657487,0.41593060845544783,69,69,-0.007937557191097698
2018-03-09,SH_A,ALL_STATUS,2018,43,1,294,293,0.99659863945578231,True,-0.25211560840902775,-0.1481039890549771,0.55098442529538594,59,59,-0.0027837006698358444
2018-03-09,SH_A,ALL_STATUS,2018,43,3,294,293,0.99659863945578231,True,-0.18730048586884285,-0.098295399644165032,0.55098442529538594,59,59,-0.0016721929382215654
2018-03-09,SH_A,ALL_STATUS,2018,43,5,294,293,0.99659863945578231,True,-0.2902151201561412,-0.063983012698859587,0.55098442529538594,59,59,-0.0070505977273601535
2018-03-09,SZ_A,ALL_STATUS,2018,43,1,664,653,0.98343373493975905,True,-0.19616884105776641,-0.11011785209008387,0.4695719227405849,131,131,-0.0016094685664365665
2018-03-09,SZ_A,ALL_STATUS,2018,43,3,664,653,0.98343373493975905,True,-0.19924350255724824,-0.17201657168134657,0.4695719227405849,131,131,-0.00564826056417796
2018-03-09,SZ_A,ALL_STATUS,2018,43,5,664,653,0.98343373493975905,True,-0.2818281314639382,-0.1936506411136468,0.4695719227405849,131,131,-0.010891454386108538
2018-03-09,ALL_A,NON_ST,2018,43,1,951,939,0.98738170347003151,True,-0.20596289836905743,-0.11539445908848707,0.49805494186806665,188,188,-0.0020449895617140109
2018-03-09,ALL_A,NON_ST,2018,43,3,951,939,0.98738170347003151,True,-0.18994397387580955,-0.1492281454067606,0.49805494186806665,188,188,-0.0048595818147248865
2018-03-09,ALL_A,NON_ST,2018,43,5,951,939,0.98738170347003151,True,-0.28567205926978206,-0.15706251515804723,0.49805494186806665,188,188,-0.0088326824188524646
2018-03-09,CHINEXT_BOARD,NON_ST,2018,43,1,351,346,0.98575498575498577,True,-0.13045901882675731,-0.059159425630124413,0.41593060845544783,69,69,-0.00072598221059916963
2018-03-09,CHINEXT_BOARD,NON_ST,2018,43,3,351,346,0.98575498575498577,True,-0.14657386724986343,-0.16831671174800292,0.41593060845544783,69,69,-0.0037104862965290693
