role,market_view,denominator,scope,scope_value,coordinate,horizon,outcome,n,spearman,tail_effect,low_n,low_mean,low_median,low_positive,low_p10,low_p90,high_n,high_mean,high_median,high_positive,high_p10,high_p90
closing_acceptance,ALL_A,ALL_STATUS,block,A,pit,1,downside,187,0.12087690257983771,0.0045319021387999446,27,-0.022073361235763835,-0.020259542477533199,0,-0.030957238317391902,-0.010808152321848879,33,-0.017541459096963891,-0.016158523079048599,0,-0.027632637457895581,-0.0077389159832558776
closing_acceptance,ALL_A,ALL_STATUS,block,B,pit,1,downside,722,0.0099831086992342166,0.00027935168752474954,146,-0.0196741641900425,-0.01746679328046535,0,-0.029929168586001701,-0.01047976584291075,119,-0.01939481250251775,-0.017224897155320901,0,-0.03020131105929004,-0.01041458870497578
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,absolute,1,downside,1412,0.069370310272637806,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,pit,1,downside,909,0.031970282323372824,0.0010561656237868151,173,-0.020048605347467215,-0.017883959127953999,0,-0.029934442711297721,-0.010562361861173498,152,-0.0189924397236804,-0.016781512528483603,0,-0.03014027360341515,-0.01031718038375176
closing_acceptance,ALL_A,ALL_STATUS,phase,0,pit,1,downside,909,0.031970282323372824,0.0010561656237868151,173,-0.020048605347467215,-0.017883959127953999,0,-0.029934442711297721,-0.010562361861173498,152,-0.0189924397236804,-0.016781512528483603,0,-0.03014027360341515,-0.01031718038375176
closing_acceptance,ALL_A,ALL_STATUS,block,A,pit,1,terminal,187,-0.0014827919063051689,0.0045496838672943133,27,-0.00099926940313422642,0.00048895187877070004,0.55555555555555558,-0.0146766114143424,0.013225438831394083,33,0.0035504144641600871,-0.0008536318351833,0.48484848484848486,-0.010560942350935319,0.028295638149951001
closing_acceptance,ALL_A,ALL_STATUS,block,B,pit,1,terminal,722,-0.042294586486103118,-0.0012370243741669008,146,0.0001103812687086469,0.0016666869276838001,0.53424657534246578,-0.013975097301240649,0.0134492324130004,119,-0.001126643105458254,0.00058111637189390002,0.51260504201680668,-0.01472821065541044,0.012578881353376602
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,absolute,1,terminal,1412,-0.014736593448188007,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,pit,1,terminal,909,-0.032912851575336653,-4.8428084914000356e-05,173,-6.2801206087639979e-05,0.00084527424328339996,0.53757225433526012,-0.014209382253208079,0.013460954692187142,152,-0.00011122929100164033,0.00035086289311970001,0.50657894736842102,-0.013778873161895138,0.014428689640189601
closing_acceptance,ALL_A,ALL_STATUS,phase,0,pit,1,terminal,909,-0.032912851575336653,-4.8428084914000356e-05,173,-6.2801206087639979e-05,0.00084527424328339996,0.53757225433526012,-0.014209382253208079,0.013460954692187142,152,-0.00011122929100164033,0.00035086289311970001,0.50657894736842102,-0.013778873161895138,0.014428689640189601
closing_acceptance,ALL_A,ALL_STATUS,block,A,pit,3,downside,187,0.081749914666059867,0.0041088366219815646,27,-0.035312950848381132,-0.030006167719411399,0,-0.066406951927637584,-0.019045577640481176,33,-0.031204114226399567,-0.027821029725002101,0,-0.051772155333808183,-0.012417715747399539
closing_acceptance,ALL_A,ALL_STATUS,block,B,pit,3,downside,722,-0.02488368947275987,0.00019403918720468233,146,-0.034773293728560403,-0.028826002396827047,0,-0.058082871507202698,-0.017624851900686501,119,-0.034579254541355721,-0.030171864596827799,0,-0.054694742805683358,-0.0189377182095966
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,absolute,3,downside,1412,0.0061669430475146895,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,pit,3,downside,909,-0.0034495580580295379,0.001011023857033895,173,-0.034857517672116235,-0.029246996555389398,0,-0.058800770522184381,-0.01776881652872658,152,-0.03384649381508234,-0.030097805801073699,0,-0.054575985607361058,-0.018066232002948237
closing_acceptance,ALL_A,ALL_STATUS,phase,0,pit,3,downside,303,-0.030938523919349297,0.00402477434713399,58,-0.035571094805173266,-0.029249629429393499,0,-0.065541657684003843,-0.017402798548608798,44,-0.031546320458039276,-0.029775152342690049,0,-0.05230608013209756,-0.017779379997801336
closing_acceptance,ALL_A,ALL_STATUS,phase,1,pit,3,downside,303,-0.0021763088400182807,-0.0010611119629221621,63,-0.03344606812540224,-0.029299824635692501,0,-0.048887038727506417,-0.018773651184799657,55,-0.034507180088324402,-0.030678275233972999,0,-0.057223097756721061,-0.0188721935904048
closing_acceptance,ALL_A,ALL_STATUS,phase,2,pit,3,downside,303,0.027429498525534973,0.00070117626270096295,52,-0.035771630128379202,-0.028240006882820051,0,-0.05871962769327288,-0.017992491770000344,53,-0.035070453865678239,-0.028642312931899401,0,-0.053827377329853397,-0.017924263745231695
closing_acceptance,ALL_A,ALL_STATUS,block,A,pit,3,terminal,187,0.046680417971144285,0.0049419291712231254,27,0.0044621139241092442,0.0035895982021914999,0.55555555555555558,-0.01886144366644622,0.034747191469828881,33,0.0094040430953323696,0.0084813384921974995,0.63636363636363635,-0.02860555211732542,0.049359018532757329
closing_acceptance,ALL_A,ALL_STATUS,block,B,pit,3,terminal,722,-0.044033917789553123,-0.001249385969552053,146,7.66515623816187e-05,0.00045430123889889996,0.54109589041095896,-0.022194604017147901,0.024725296662721649,119,-0.0011727344071704342,0.00099939781592279999,0.52941176470588236,-0.028705361328976296,0.024178672557061322
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,absolute,3,terminal,1412,-0.011297941591022648,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,pit,3,terminal,909,-0.025026710668911323,0.0003624517711407646,173,0.00076108788473217297,0.0011614676796954,0.54335260115606931,-0.02219846422688802,0.028524791347791616,152,0.0011235396558729376,0.0019909793954350002,0.55263157894736847,-0.028655950329426659,0.031748012818717107
closing_acceptance,ALL_A,ALL_STATUS,phase,0,pit,3,terminal,303,-0.031908911671114162,0.0021849832795094899,58,6.8650537157755913e-05,0.00030936699410014995,0.51724137931034486,-0.022821621566212459,0.032011549822043184,44,0.0022536338166672457,0.0017368860599251499,0.56818181818181823,-0.02820234074016699,0.032837194728050627
closing_acceptance,ALL_A,ALL_STATUS,phase,1,pit,3,terminal,303,-0.072608478696800191,-0.0020038181641697829,63,0.0017725101026399583,0.0031304367259581,0.58730158730158732,-0.01629262696045182,0.023445855520289924,55,-0.00023130806152982456,0.00050026069287119996,0.50909090909090904,-0.029093515101969957,0.028240103519594464
closing_acceptance,ALL_A,ALL_STATUS,phase,2,pit,3,terminal,303,0.03322055628172222,0.001283277391977074,52,0.0003080449314845884,0.00210735232289555,0.51923076923076927,-0.028781945254274816,0.03496654265614238,53,0.0015913223234616625,0.0028293312440946,0.58490566037735847,-0.028506157217274758,0.033773056835275837
closing_acceptance,ALL_A,ALL_STATUS,block,A,pit,5,downside,187,0.051883035612697692,-0.00027033207752968913,27,-0.043819421703504023,-0.040757895065842403,0,-0.073771242277051563,-0.024990774078528916,33,-0.044089753781033712,-0.0309298716241556,0,-0.089596715845439309,-0.01876210385412462
closing_acceptance,ALL_A,ALL_STATUS,block,B,pit,5,downside,722,-0.032196982649922698,0.00067948134157693602,146,-0.044670280454539336,-0.037190993571712155,0,-0.072923446093154293,-0.0221209703382368,119,-0.0439907991129624,-0.038722616006697103,0,-0.070827292494432509,-0.024780280634882319
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,absolute,5,downside,1412,-0.016899562042083472,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,pit,5,downside,909,-0.014140727605607009,0.00052520477805898663,173,-0.044537487470273709,-0.037288097384359301,0,-0.073563804212253558,-0.022303017932775997,152,-0.044012282692214723,-0.038165187033230047,0,-0.075880185609791637,-0.02299534385747672
closing_acceptance,ALL_A,ALL_STATUS,phase,0,pit,5,downside,182,0.057044379739735002,-0.002064966582506482,38,-0.038572627382754451,-0.034108676909431646,0,-0.059138889454184919,-0.024067042238595758,32,-0.040637593965260933,-0.036413264231423749,0,-0.070925341847800263,-0.022967615517058729
closing_acceptance,ALL_A,ALL_STATUS,phase,1,pit,5,downside,182,-0.083006045456699401,-0.0026053958815417805,34,-0.041253332420471779,-0.035239823349565699,0,-0.069618000855312986,-0.021109978279986064,35,-0.04385872830201356,-0.036786523120864903,0,-0.084454765965255862,-0.023734291000862977
closing_acceptance,ALL_A,ALL_STATUS,phase,2,pit,5,downside,181,0.015805653202808068,0.00804530804189902,32,-0.053244387971056586,-0.045652246907789552,0,-0.083404089674715118,-0.023022881374058602,38,-0.045199079929157567,-0.042079448070585349,0,-0.072160679537855543,-0.022488367372103718
closing_acceptance,ALL_A,ALL_STATUS,phase,3,pit,5,downside,182,0.0033810212934094106,0.0031343591682017058,41,-0.047311065540586311,-0.037678657568896497,0,-0.076989626369914896,-0.0209262167755482,17,-0.044176706372384605,-0.041987075046947799,0,-0.065101331344479416,-0.02509482643684658
closing_acceptance,ALL_A,ALL_STATUS,phase,4,pit,5,downside,182,-0.044729585614045962,-0.0035861444202098317,28,-0.042608503117099725,-0.037913495031008201,0,-0.0697129309174047,-0.025466488947098308,30,-0.046194647537309556,-0.036740516015906055,0,-0.073638096792425389,-0.024230747509266799
closing_acceptance,ALL_A,ALL_STATUS,block,A,pit,5,terminal,187,0.013137756506483545,-0.0021180913750945517,27,0.0088711978054169787,0.0088167190351385993,0.62962962962962965,-0.02607708213480716,0.047739923327212344,33,0.006753106430322427,0.0084771412119287997,0.5757575757575758,-0.042086200010253233,0.071701526087035866
closing_acceptance,ALL_A,ALL_STATUS,block,B,pit,5,terminal,722,-0.038622308808441252,-0.00075125506189721786,146,-1.730100927265419e-05,0.0028213800656282997,0.56164383561643838,-0.038933290005333701,0.034420952006538802,119,-0.00076855607116987207,-0.0044832901257623996,0.47899159663865548,-0.026695752592456878,0.029416864526966124
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,absolute,5,terminal,1412,-0.030051551005115452,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,overall,ALL,pit,5,terminal,909,-0.029113312997460113,-0.00050548490348782953,173,0.001369921349089312,0.0034129490970358002,0.5722543352601156,-0.038766479978704756,0.039081763594786718,152,0.00086443644560148247,-7.0400613396967866e-05,0.5,-0.036370809348264109,0.03670471715153939
closing_acceptance,ALL_A,ALL_STATUS,phase,0,pit,5,terminal,182,0.044985376617868972,-0.0035877991857152778,38,0.0057193669987670621,0.0058341517868186,0.60526315789473684,-0.02535787487378512,0.040229781603212007,32,0.0021315678130517843,0.00758034514758255,0.625,-0.040909550403200309,0.024116734299814788
closing_acceptance,ALL_A,ALL_STATUS,phase,1,pit,5,terminal,182,-0.1401631496131765,-0.0045936153246304437,34,0.0067115816278453602,0.0091251301963711506,0.70588235294117652,-0.028729819662250258,0.029465036827259088,35,0.0021179663032149165,0.0017278448837789999,0.51428571428571423,-0.031404370669477676,0.035171189937786437
closing_acceptance,ALL_A,ALL_STATUS,phase,2,pit,5,terminal,181,-0.059069834274463752,0.00097607618657219084,32,-0.0012199254519554815,0.0019514238125908499,0.5625,-0.04312597222442241,0.039419420194715053,38,-0.00024384926538329065,-0.00407639764522755,0.44736842105263158,-0.03849720742436593,0.041748909173056056
closing_acceptance,ALL_A,ALL_STATUS,phase,3,pit,5,terminal,182,0.011645961187572423,0.0053158815825653065,41,-0.0027812187086997953,0.0034129490970358002,0.56097560975609762,-0.042383676879126198,0.040620858419707098,17,0.0025346628738655112,-0.0046230988569898003,0.41176470588235292,-0.0256031702582615,0.029734819324303802
closing_acceptance,ALL_A,ALL_STATUS,phase,4,pit,5,terminal,182,-0.0019876055822355934,0.00048866459153322776,28,-0.0019809195138633111,-0.0031436174093781,0.39285714285714285,-0.039301668651638845,0.029143875776244971,30,-0.0014922549223300833,-0.0060641700001830504,0.46666666666666667,-0.034360027878089255,0.043670349256866324
closing_acceptance,ALL_A,NON_ST,block,A,pit,1,downside,187,0.10992296088585805,0.0038252591008123005,30,-0.021434368971508373,-0.020052188306618351,0,-0.027895182846682725,-0.01082887460002532,33,-0.017609109870696072,-0.016343304548815302,0,-0.027907876300331379,-0.0076248381889857577
closing_acceptance,ALL_A,NON_ST,block,B,pit,1,downside,722,0.010676485379350323,0.00015788688337612516,138,-0.019850091998015237,-0.01774109593070335,0.007246376811594203,-0.030012173665564371,-0.01044322099779323,121,-0.019692205114639112,-0.0180908580343687,0,-0.030449174017335299,-0.010456053670613599
closing_acceptance,ALL_A,NON_ST,overall,ALL,absolute,1,downside,1412,0.068199922509041264,,,,,,,,,,,,,
