dimension,state,period,decision_dates,cohorts,trades,calendar_years,early_dates,late_dates,mean_cohort_payoff,absolute_trade_return,selected_industry_return,broad_proxy_return,relative_to_industry,relative_to_broad,winner_rate,severe_loss_rate
ABSOLUTE_MARKET_STATE,LOW,full,74,74,738,6,33,41,0.002922605792,0.003162951893,-0.016615354,-0.04618867779,0.01953795979,0.04911128358,0.4796747967,0.174796748
ABSOLUTE_MARKET_STATE,LOW,early,33,33,330,3,33,0,0.0227391449,0.0227391449,0.0005804842656,-0.04146258129,0.02215866064,0.06420172619,0.5454545455,0.1424242424
ABSOLUTE_MARKET_STATE,LOW,late,41,41,408,3,0,41,-0.01302729154,-0.01267073363,-0.03045590675,-0.04999260912,0.01742861521,0.03696531758,0.4264705882,0.2009803922
ABSOLUTE_MARKET_STATE,MEDIUM,full,96,96,960,6,48,48,0.02270796673,0.02270796673,0.01110370198,-0.04568733801,0.01160426474,0.06839530474,0.509375,0.1302083333
ABSOLUTE_MARKET_STATE,MEDIUM,early,48,48,480,3,48,0,0.006243256254,0.006243256254,-0.006541793153,-0.05267109397,0.01278504941,0.05891435022,0.4625,0.1625
ABSOLUTE_MARKET_STATE,MEDIUM,late,48,48,480,3,0,48,0.0391726772,0.0391726772,0.02874919712,-0.03870358206,0.01042348008,0.07787625926,0.55625,0.09791666667
ABSOLUTE_MARKET_STATE,HIGH,full,93,93,927,6,41,52,0.01608340926,0.01575097546,0.006485826777,-0.05084795102,0.009597582478,0.06693136028,0.4778856526,0.1262135922
ABSOLUTE_MARKET_STATE,HIGH,early,41,41,408,3,41,0,0.03795639041,0.03735789003,0.02219878333,-0.04517797716,0.01575760709,0.08313436757,0.5318627451,0.1666666667
ABSOLUTE_MARKET_STATE,HIGH,late,52,52,519,3,0,52,-0.001162595119,-0.001234807091,-0.005903235118,-0.05531850734,0.004740639999,0.05415591222,0.4354527938,0.09441233141
CROSS_SECTIONAL_DISPERSION,LOW,full,82,82,819,5,40,42,0.01469065368,0.01466424982,0.0001407973872,-0.03983690998,0.01454985629,0.05452756366,0.4566544567,0.1135531136
CROSS_SECTIONAL_DISPERSION,LOW,early,40,40,400,3,40,0,0.01231375923,0.01231375923,0.0002885623121,-0.04376296398,0.01202519692,0.05607672321,0.455,0.1575
