selection_hash,closing_arm,symbol,trade_date,field,expected_value,observed_value,exact_match
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,adverse_log_excursion_h1,0.0034782643763247925,0.0034782643763247925,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,adverse_log_excursion_h3,0.0034782643763247925,0.0034782643763247925,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,adverse_log_excursion_h5,0.0034782643763247925,0.0034782643763247925,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,closing_arm,accepted,accepted,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,coordinate_close_t,0.2530981135682876,0.2530981135682876,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,coordinate_close_t1,0.26544436301064306,0.26544436301064306,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,coordinate_close_t3,0.26808998789114791,0.26808998789114791,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,coordinate_close_t5,0.29366436173602717,0.29366436173602717,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,mapped_low_t1,0.25397998852845582,0.25397998852845582,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,mapped_low_t2,0.26368061309030666,0.26368061309030666,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,mapped_low_t3,0.26544436301064317,0.26544436301064317,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,mapped_low_t4,0.26015311324963369,0.26015311324963369,True
000071472c2b7f03ebc89f55656f48bcc27475d6c65fd632fa8d77f7dcc7e397,accepted,002176.SZ,2020-12-04,mapped_low_t5,0.28219998725383993,0.28219998725383993,True
