role,metric,control_or_role,scope,n,value
above_level_close_episode_count,JOINT_ADJUSTED_R2,minute_realized_volatility|intraday_log_range|first_cross_fraction,BLOCK_A,432,0.030773891993142732
above_level_close_episode_count,JOINT_ADJUSTED_R2,minute_realized_volatility|intraday_log_range|first_cross_fraction,BLOCK_B,467,0.012897307363053501
above_level_close_episode_count,JOINT_ADJUSTED_R2,minute_realized_volatility|intraday_log_range|first_cross_fraction,GLOBAL,899,0.023996305277309782
above_level_close_episode_count,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,0.12793453802771709
above_level_close_episode_count,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,0.070142919881166693
above_level_close_episode_count,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,0.099639190004169223
above_level_close_episode_count,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_A,432,-0.094552465791129997
above_level_close_episode_count,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_B,467,-0.0396779231133597
above_level_close_episode_count,PAIRWISE_SPEARMAN,intraday_log_range,GLOBAL,899,-0.066065237988278555
above_level_close_episode_count,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_A,432,-0.048001776981725336
above_level_close_episode_count,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_B,467,0.01717972169847963
above_level_close_episode_count,PAIRWISE_SPEARMAN,minute_realized_volatility,GLOBAL,899,-0.01223704165233735
above_level_close_episode_count,ROLE_PAIRWISE_SPEARMAN,below_level_close_fraction,GLOBAL,899,-0.074647971129970139
above_level_close_episode_count,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,899,0.047122373370943979
above_level_close_episode_count,ROLE_PAIRWISE_SPEARMAN,loss_episode_count,GLOBAL,899,0.96313623224998013
above_level_close_episode_count,ROLE_PAIRWISE_SPEARMAN,rejection_depth,GLOBAL,899,-0.070627415024881041
below_level_close_fraction,JOINT_ADJUSTED_R2,close_location|open_close_log_return|first_cross_fraction|minute_realized_volatility,BLOCK_A,432,0.38575288029277788
below_level_close_fraction,JOINT_ADJUSTED_R2,close_location|open_close_log_return|first_cross_fraction|minute_realized_volatility,BLOCK_B,467,0.35118888673302195
below_level_close_fraction,JOINT_ADJUSTED_R2,close_location|open_close_log_return|first_cross_fraction|minute_realized_volatility,GLOBAL,899,0.36874135768390892
below_level_close_fraction,PAIRWISE_SPEARMAN,close_location,BLOCK_A,432,-0.50880268693324704
below_level_close_fraction,PAIRWISE_SPEARMAN,close_location,BLOCK_B,467,-0.44273025928927084
below_level_close_fraction,PAIRWISE_SPEARMAN,close_location,GLOBAL,899,-0.47519053415503809
below_level_close_fraction,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,0.14662173380437404
below_level_close_fraction,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,0.07959512981902872
below_level_close_fraction,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,0.10801585292297149
below_level_close_fraction,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_A,432,-0.23776141806704681
below_level_close_fraction,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_B,467,-0.2104816072944449
below_level_close_fraction,PAIRWISE_SPEARMAN,minute_realized_volatility,GLOBAL,899,-0.21731989093258469
below_level_close_fraction,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_A,432,-0.4826108818861149
below_level_close_fraction,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_B,467,-0.50350107540398104
below_level_close_fraction,PAIRWISE_SPEARMAN,open_close_log_return,GLOBAL,899,-0.49568377379503653
below_level_close_fraction,ROLE_PAIRWISE_SPEARMAN,continuation30_log_return,GLOBAL,899,-0.66132119496080266
below_level_close_fraction,ROLE_PAIRWISE_SPEARMAN,rejection_depth,GLOBAL,899,-0.77555170357273728
closing_acceptance_margin,JOINT_ADJUSTED_R2,open_close_log_return|daily_high_margin|close_location,BLOCK_A,474,0.77899685191181911
closing_acceptance_margin,JOINT_ADJUSTED_R2,open_close_log_return|daily_high_margin|close_location,BLOCK_B,490,0.76449099125401898
closing_acceptance_margin,JOINT_ADJUSTED_R2,open_close_log_return|daily_high_margin|close_location,GLOBAL,964,0.77199652694700316
closing_acceptance_margin,PAIRWISE_SPEARMAN,close_location,BLOCK_A,474,0.6973224061029657
closing_acceptance_margin,PAIRWISE_SPEARMAN,close_location,BLOCK_B,490,0.72340173251394968
closing_acceptance_margin,PAIRWISE_SPEARMAN,close_location,GLOBAL,964,0.71106864206988396
closing_acceptance_margin,PAIRWISE_SPEARMAN,daily_high_margin,BLOCK_A,474,0.63889094295908899
closing_acceptance_margin,PAIRWISE_SPEARMAN,daily_high_margin,BLOCK_B,490,0.5882484939565118
closing_acceptance_margin,PAIRWISE_SPEARMAN,daily_high_margin,GLOBAL,964,0.61265519923407707
closing_acceptance_margin,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_A,474,0.59201035162451643
closing_acceptance_margin,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_B,490,0.68327822290868945
closing_acceptance_margin,PAIRWISE_SPEARMAN,open_close_log_return,GLOBAL,964,0.64028042076419167
continuation30_log_return,JOINT_ADJUSTED_R2,first_cross_fraction|open_close_log_return|daily_high_margin|minute_realized_volatility,BLOCK_A,432,0.35733792083675309
continuation30_log_return,JOINT_ADJUSTED_R2,first_cross_fraction|open_close_log_return|daily_high_margin|minute_realized_volatility,BLOCK_B,467,0.30863114738765252
continuation30_log_return,JOINT_ADJUSTED_R2,first_cross_fraction|open_close_log_return|daily_high_margin|minute_realized_volatility,GLOBAL,899,0.33525258773217104
continuation30_log_return,PAIRWISE_SPEARMAN,daily_high_margin,BLOCK_A,432,0.47091166210357543
continuation30_log_return,PAIRWISE_SPEARMAN,daily_high_margin,BLOCK_B,467,0.46982325193556568
continuation30_log_return,PAIRWISE_SPEARMAN,daily_high_margin,GLOBAL,899,0.47227022037437666
continuation30_log_return,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,-0.030786554736203609
continuation30_log_return,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,-0.050792223465843458
continuation30_log_return,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,-0.039860065906990184
continuation30_log_return,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_A,432,0.062177686651847738
continuation30_log_return,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_B,467,0.087603707357881352
continuation30_log_return,PAIRWISE_SPEARMAN,minute_realized_volatility,GLOBAL,899,0.071936141014548718
continuation30_log_return,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_A,432,0.39869374372308342
continuation30_log_return,PAIRWISE_SPEARMAN,open_close_log_return,BLOCK_B,467,0.34925020351113389
continuation30_log_return,PAIRWISE_SPEARMAN,open_close_log_return,GLOBAL,899,0.37543694522847526
follow_through_excursion,JOINT_ADJUSTED_R2,daily_high_margin|first_cross_fraction|intraday_log_range,BLOCK_A,432,0.97509547998604185
follow_through_excursion,JOINT_ADJUSTED_R2,daily_high_margin|first_cross_fraction|intraday_log_range,BLOCK_B,467,0.95257467186996092
follow_through_excursion,JOINT_ADJUSTED_R2,daily_high_margin|first_cross_fraction|intraday_log_range,GLOBAL,899,0.96329915828851964
follow_through_excursion,PAIRWISE_SPEARMAN,daily_high_margin,BLOCK_A,432,0.98632654599790903
follow_through_excursion,PAIRWISE_SPEARMAN,daily_high_margin,BLOCK_B,467,0.97425213242501119
follow_through_excursion,PAIRWISE_SPEARMAN,daily_high_margin,GLOBAL,899,0.97997350078351753
follow_through_excursion,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,-0.30743044179567119
follow_through_excursion,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,-0.25620707090843792
follow_through_excursion,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,-0.27829866590705943
follow_through_excursion,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_A,432,0.53201748092780843
follow_through_excursion,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_B,467,0.65778038351437906
follow_through_excursion,PAIRWISE_SPEARMAN,intraday_log_range,GLOBAL,899,0.59920294887555436
loss_episode_count,JOINT_ADJUSTED_R2,minute_realized_volatility|intraday_log_range|first_cross_fraction,BLOCK_A,432,0.068701310125476533
loss_episode_count,JOINT_ADJUSTED_R2,minute_realized_volatility|intraday_log_range|first_cross_fraction,BLOCK_B,467,0.036962027644833029
loss_episode_count,JOINT_ADJUSTED_R2,minute_realized_volatility|intraday_log_range|first_cross_fraction,GLOBAL,899,0.053847177125097012
loss_episode_count,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_A,432,0.1742746568997828
loss_episode_count,PAIRWISE_SPEARMAN,first_cross_fraction,BLOCK_B,467,0.088631678258620256
loss_episode_count,PAIRWISE_SPEARMAN,first_cross_fraction,GLOBAL,899,0.13086474060477565
loss_episode_count,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_A,432,-0.16427664978401599
loss_episode_count,PAIRWISE_SPEARMAN,intraday_log_range,BLOCK_B,467,-0.11463836521343435
loss_episode_count,PAIRWISE_SPEARMAN,intraday_log_range,GLOBAL,899,-0.13846383852217056
loss_episode_count,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_A,432,-0.10903758417371047
loss_episode_count,PAIRWISE_SPEARMAN,minute_realized_volatility,BLOCK_B,467,-0.028781784173583926
loss_episode_count,PAIRWISE_SPEARMAN,minute_realized_volatility,GLOBAL,899,-0.064049749504293554
