family,symbol,event_id,effective_date,fill_date,fill_price,shares
industry_diffusion_20,000025.SZ,cninfo:distribution:4193ac36ba16fadea18d76f9ae65816a,2019-05-15,2019-05-13,30.05,7993.332214
industry_diffusion_20,603517.SH,cninfo:distribution:d0eee38e477dd3beb15f52cef370a094,2019-06-03,2019-05-30,47.7,4776.073825
industry_diffusion_20,603045.SH,cninfo:distribution:cb5d8c25cdae879bd47b892c07139799,2019-06-05,2019-05-31,29.13,7785.772171
industry_diffusion_20,300673.SZ,cninfo:distribution:8e7bc343cf1853f8e41c2b122f7b19e8,2019-06-10,2019-06-04,33.1,6263.592129
industry_diffusion_20,300673.SZ,cninfo:distribution:8e7bc343cf1853f8e41c2b122f7b19e8,2019-06-10,2019-06-04,33.1,6280.76987
industry_diffusion_20,000848.SZ,cninfo:distribution:e06ecb11bb7334dde8805f86f12c136e,2020-04-29,2020-04-24,7.41,34317.00414
industry_diffusion_20,603288.SH,cninfo:distribution:9531fa9a2c634a904953222174b7fe59,2020-05-07,2020-04-30,126,1760.267506
industry_diffusion_20,603288.SH,cninfo:distribution:9531fa9a2c634a904953222174b7fe59,2020-05-07,2020-04-30,126,1840.801545
industry_diffusion_20,603317.SH,cninfo:distribution:2f770846be2ea21607cb4be88c22719c,2020-05-08,2020-05-06,50.96,4708.339094
industry_diffusion_20,002238.SZ,cninfo:distribution:5584fc5ac053c315368f0b8c8b44c586,2020-06-24,2020-06-18,10.92,23433.32608
industry_diffusion_20,000088.SZ,cninfo:rights:b09389bc5314ebbb141dc4f49e8b780a,2020-08-19,2020-08-10,8.4,47047.38942
industry_diffusion_20,600740.SH,cninfo:distribution:7899efc5dd3b201087334225d2881312,2021-05-28,2021-05-26,6.67,49957.4225
industry_diffusion_20,002839.SZ,cninfo:distribution:7cc96a618799f64f743f58ee9075ef1e,2022-05-05,2022-04-28,6.23,54297.3019
industry_diffusion_20,000625.SZ,cninfo:distribution:31af37a6a595e854235d965e8b44c9f1,2022-06-27,2022-06-21,18.8,23277.93123
industry_diffusion_20,002829.SZ,cninfo:distribution:12be4e465e127a4ac5f3352a65f79b7c,2023-07-04,2023-06-30,42.76,9326.65831
low_idiosyncratic_volatility_20,601200.SH,cninfo:distribution:0e3773103683385e9f8bc0814ca35ed0,2019-05-06,2019-04-29,14.93,19819.67297
low_idiosyncratic_volatility_20,600500.SH,cninfo:distribution:6b97b321a7601ddbf2b445bcf0d93152,2019-07-08,2019-07-02,7.58,38357.22401
low_idiosyncratic_volatility_20,600500.SH,cninfo:distribution:6b97b321a7601ddbf2b445bcf0d93152,2019-07-08,2019-07-02,7.58,38238.37447
low_idiosyncratic_volatility_20,603260.SH,cninfo:distribution:f85b56695354dec6d9328266525f269f,2019-07-11,2019-07-09,47.1,5722.326288
low_idiosyncratic_volatility_20,603858.SH,cninfo:distribution:a025aec798e8b3e8d04fed14d9864a02,2019-08-19,2019-08-13,26.15,10226.35171
low_idiosyncratic_volatility_20,603858.SH,cninfo:distribution:a025aec798e8b3e8d04fed14d9864a02,2019-08-19,2019-08-13,26.15,9811.559739
low_idiosyncratic_volatility_20,603458.SH,cninfo:distribution:30aaf3871083e00f5fa0f779f78c8255,2020-07-07,2020-07-03,21.36,12805.98659
low_idiosyncratic_volatility_20,600909.SH,cninfo:rights:7c8c10ea7aa274000ff28179430f56a2,2021-06-10,2021-06-01,6.29,43894.64879
low_idiosyncratic_volatility_20,600120.SH,cninfo:distribution:57233d146c443169900b33d6f20ca8ac,2021-06-09,2021-06-04,5.76,47790.33042
low_idiosyncratic_volatility_20,002414.SZ,cninfo:distribution:5d1cc2fabc3d733e2c0bfb830179c6a4,2023-06-20,2023-06-15,10.05,27495.59368
low_idiosyncratic_volatility_20,002414.SZ,cninfo:distribution:5d1cc2fabc3d733e2c0bfb830179c6a4,2023-06-20,2023-06-15,10.05,28022.08334
