year,broad_proxy_return,median_stock_return,mean_daily_market_breadth,market_realized_volatility,mean_cross_sectional_dispersion,mean_industry_return_dispersion,positive_industry_fraction,market_downside_frequency,positive_r20_stock_fraction,dimension,checkpoint,industry_return,market_return,industry_relative_return,industry_top10_fraction,mean_industry_percentile,cycle016_state_persistence,mean_eligible_industries,mean_eligible_stocks,mean_quality_candidates,mean_selected_industries,mean_diffusion_margin,mean_selected_max20,mean_selected_diffusion,normal,rich,sparse,family,candidate_trades,candidate_mean_net_return,candidate_winner_fraction,candidate_severe_fraction
2018,-0.3512953337,-0.1329369756,0.4631576993,0.2774745547,0.02375121128,0.01106608521,0.4624790084,0.5203252033,0.4165813792,market_environment,,,,,,,,,,,,,,,,,,,,,,
2019,-0.3391880414,-0.06057358757,0.4909041706,0.2476825285,0.02444009456,0.01114851851,0.5134094122,0.5204918033,0.5692010524,market_environment,,,,,,,,,,,,,,,,,,,,,,
2020,-0.4703477786,-0.1025609804,0.4843027801,0.2630572401,0.02807211825,0.01320318204,0.5118703953,0.5390946502,0.5420800878,market_environment,,,,,,,,,,,,,,,,,,,,,,
2021,-0.4231493563,-0.06873701247,0.4768479788,0.1648492403,0.03095299802,0.01497034611,0.5002861086,0.5020576132,0.5362152736,market_environment,,,,,,,,,,,,,,,,,,,,,,
2022,-0.5696278344,-0.2369733722,0.4649489461,0.2427018887,0.02786876361,0.01420688313,0.4948930211,0.5165289256,0.4697010263,market_environment,,,,,,,,,,,,,,,,,,,,,,
2023,-0.3661204031,-0.09646185945,0.4542284442,0.143525948,0.0243468335,0.01200240992,0.4701058896,0.5371900826,0.4821637943,market_environment,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,continuation_rotation,5,-0.0191461635,-0.0234508814,0.004304717895,0.511627907,0.7754476935,0.3068181818,,,,,,,,,,,,,,,
2018,,,,,,,,,,continuation_rotation,10,-0.03215470992,-0.04210724265,0.00995253273,0.4047619048,0.7012162796,0.1818181818,,,,,,,,,,,,,,,
2018,,,,,,,,,,continuation_rotation,15,-0.04604326765,-0.05986542415,0.01382215649,0.2469135802,0.5458447861,0.05681818182,,,,,,,,,,,,,,,
2018,,,,,,,,,,continuation_rotation,20,-0.05753635492,-0.0737016417,0.01616528678,0.1447368421,0.4399953496,0.03409090909,,,,,,,,,,,,,,,
2019,,,,,,,,,,continuation_rotation,5,0.003561938394,-0.006993305763,0.01055524416,0.4128440367,0.7322347189,0.2882882883,,,,,,,,,,,,,,,
2019,,,,,,,,,,continuation_rotation,10,0.005245682827,-0.01494941031,0.02019509313,0.2274881517,0.6307960779,0.2342342342,,,,,,,,,,,,,,,
2019,,,,,,,,,,continuation_rotation,15,0.01220261902,-0.02287706317,0.03507968219,0.1568627451,0.5534415606,0.1171171171,,,,,,,,,,,,,,,
2019,,,,,,,,,,continuation_rotation,20,0.01387278681,-0.03644831064,0.05032109745,0.09090909091,0.4725310534,0.04954954955,,,,,,,,,,,,,,,
2020,,,,,,,,,,continuation_rotation,5,-0.00134755463,-0.01634077938,0.01499322475,0.3911111111,0.7598249669,0.295154185,,,,,,,,,,,,,,,
2020,,,,,,,,,,continuation_rotation,10,0.0007714970853,-0.03202132851,0.0327928256,0.2600896861,0.6677117755,0.1982378855,,,,,,,,,,,,,,,
2020,,,,,,,,,,continuation_rotation,15,0.006140139152,-0.04534629113,0.05148643028,0.2036199095,0.5750009223,0.1189427313,,,,,,,,,,,,,,,
