symbol,trade_date,selection_hash,field,exact_match,aggregate_hex,scalar_hex
600743.SH,2021-08-23,000000581a674612124665138766c5a9cd76220138bd46b64551fd718bb9bdba,adverse_log_excursion_h1,True,-0x1.5f667a6f6d593p-8,-0x1.5f667a6f6d593p-8
600743.SH,2021-08-23,000000581a674612124665138766c5a9cd76220138bd46b64551fd718bb9bdba,adverse_log_excursion_h3,True,-0x1.5f667a6f6d593p-8,-0x1.5f667a6f6d593p-8
600743.SH,2021-08-23,000000581a674612124665138766c5a9cd76220138bd46b64551fd718bb9bdba,adverse_log_excursion_h5,True,-0x1.5f667a6f6d593p-8,-0x1.5f667a6f6d593p-8
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,coordinate_close_t,True,0x1.ef741836e2cf0p+0,0x1.ef741836e2cf0p+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,coordinate_close_t1,True,0x1.e91d3119f6957p+0,0x1.e91d3119f6957p+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,coordinate_close_t3,True,0x1.0699a07cd6b38p+1,0x1.0699a07cd6b38p+1
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,coordinate_close_t5,True,0x1.f9b1b4ef74186p+0,0x1.f9b1b4ef74186p+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,mapped_low_t1,True,0x1.e82383b30d518p+0,0x1.e82383b30d518p+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,mapped_low_t2,True,0x1.e91d3119f6957p+0,0x1.e91d3119f6957p+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,mapped_low_t3,True,0x1.e5b35231c627bp+0,0x1.e5b35231c627bp+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,mapped_low_t4,True,0x1.fd1b93d7a4861p+0,0x1.fd1b93d7a4861p+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,mapped_low_t5,True,0x1.f5caff53cf08ap+0,0x1.f5caff53cf08ap+0
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,terminal_log_return_h1,True,-0x1.a5fb273358c4bp-7,-0x1.a5fb273358c4bp-7
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,terminal_log_return_h3,True,0x1.dda4a5b61da07p-5,0x1.dda4a5b61da07p-5
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,terminal_log_return_h5,True,0x1.4f31811a7ce33p-6,0x1.4f31811a7ce33p-6
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,adverse_log_excursion_h1,True,-0x1.e762e32172f25p-7,-0x1.e762e32172f25p-7
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,adverse_log_excursion_h3,True,-0x1.45bc831503bafp-6,-0x1.45bc831503bafp-6
001208.SZ,2022-06-14,000000003d4e48ed4e66514543dbad8690a145daf59e24b994f0e1b51c9f1441,adverse_log_excursion_h5,True,-0x1.45bc831503bafp-6,-0x1.45bc831503bafp-6
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,coordinate_close_t,True,0x1.6f7e3e3b73da1p-1,0x1.6f7e3e3b73da1p-1
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,coordinate_close_t1,True,0x1.74fe999b626cbp-1,0x1.74fe999b626cbp-1
