section,sample_type,representation,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative,absolute_bin,relative_bin
raw,SHOCK,RECOVERY_FRACTION_3,full,10,5,10426,1129,3152,116,-0.00943439639582,-0.0228918834127,0.417801649722,-0.00571239008315,-0.00929717057514,-0.00708369592439,0.232112027623,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,full,10,Q5-Q1,9495,1129,,,-0.00699444495111,-0.00694777163628,-0.0117928737115,-0.00550705355342,-0.00616155748682,-0.00704344877475,0.0661299317833,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,full,20,1,9413,1119,3229,117,-0.00630189968395,-0.0280092297674,0.414426856475,-0.00087812980695,-0.00446827866623,-0.00120426765808,0.269308403272,-0.112781983136,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,full,20,2,9879,1119,3251,117,-0.00199802180564,-0.0238196578014,0.426460168033,0.00182991101361,-0.000792660164825,0.00288955122108,0.251138779229,-0.107249172345,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,full,20,3,9884,1118,3233,116,-0.00358008544218,-0.0244700991547,0.420477539458,0.00118083643706,-0.00341005302507,0.00107318452029,0.261230271145,-0.107865721467,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,full,20,4,9865,1118,3191,116,-0.00482530456114,-0.0272451206536,0.416928535226,-0.000861693559955,-0.00501388309299,0.000139166064111,0.27156614293,-0.11287510047,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,full,20,5,10327,1119,3139,116,-0.0171907128124,-0.041893204741,0.389174009877,-0.0107407382247,-0.014492841066,-0.0123234996769,0.335818727607,-0.130672834448,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,full,20,Q5-Q1,9413,1119,,,-0.0108888131284,-0.0138839749735,-0.0252528465981,-0.0098626084177,-0.0100245623997,-0.0111192320188,0.0665103243352,-0.017890851312,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,1,1,5869,667,2444,114,-0.00162658803906,-0.00225681042097,0.472141761799,-0.000393330201026,-0.00122866881441,-0.000300000184691,0.00408928267166,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,1,2,6137,667,2518,112,-0.00240316528234,-0.0023777404672,0.466351637608,-0.000424754779797,-0.000647693069527,-0.000999214180459,0.00293302916735,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,1,3,6146,667,2493,112,-0.00215367219307,-0.00319165080166,0.458672307192,-0.000589453276433,-0.00125813898754,-0.000776472709019,0.00292873413602,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,1,4,6135,667,2439,112,-0.00136051773106,-0.00271344345968,0.459168704156,-0.000361068957711,-0.00129273809005,4.07019018676e-05,0.00244498777506,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,1,5,6419,667,2341,113,-0.00148756873862,-0.00424603483673,0.447421716778,-0.000271547318249,-0.00175031457155,-3.09156556717e-05,0.0112167004206,,,,,,,,,,
