trade_date,calendar_year,candidate_count,top_selected,top_complete,bottom_selected,bottom_complete,control_complete,top_mean_net,top_median_net,top_positive_rate,top_severe_rate,control_mean_net,control_severe_rate,bottom_mean_net,top_minus_control,top_minus_bottom,signal_r20_rank_correlation,signal_intraday20_rank_correlation
2019-03-29,2019,1891,20,20,20,19,1798,-0.0909137665911,-0.10247936049,0.1,0.05,-0.0556620554507,0.0417130144605,-0.0909724334977,-0.0352517111404,5.86669066581e-05,0.289350990789,-0.367438147948
2019-04-30,2019,2415,20,17,20,17,1520,-0.0805735437307,-0.126244488978,0.294117647059,0.176470588235,-0.0496394507002,0.0375,-0.072194481096,-0.0309340930305,-0.00837906263477,0.260037354426,-0.319026408412
2019-05-31,2019,1594,20,17,20,16,1179,-0.0206845015062,-0.0329782244556,0.352941176471,0.117647058824,0.0378218034778,0.0101781170483,-0.0232568024249,-0.0585063049841,0.00257230091867,0.0931797628576,-0.423300328371
2019-06-28,2019,1282,20,18,20,15,1017,0.039680418331,0.0370148157673,0.555555555556,0.111111111111,-0.011015633518,0.015732546706,-0.0967194071165,0.050696051849,0.136399825447,0.159628984782,-0.387458790475
2019-07-31,2019,1084,20,14,20,16,860,0.0660397738927,-0.0185668468601,0.428571428571,0,0.0111933499632,0.0116279069767,0.0091273807963,0.0548464239295,0.0569123930964,0.263259603095,-0.226003226574
2019-09-30,2019,1287,20,17,20,16,1007,-0.0141033239103,-0.0147709750567,0.352941176471,0,0.0155104161603,0.00893743793446,-0.0617009422414,-0.0296137400706,0.0475976183311,0.376072594208,-0.147900091659
2019-10-31,2019,1234,20,19,20,11,953,-0.0288788935372,-0.112068097705,0.315789473684,0,-0.0226263039835,0.0157397691501,-0.00933465604928,-0.00625258955368,-0.0195442374879,0.30487408445,-0.230422592992
2019-11-29,2019,1042,20,18,20,17,904,0.100438223766,0.131021094024,0.722222222222,0,0.0767077376924,0.00442477876106,0.0381775587093,0.0237304860735,0.0622606650565,0.193213712367,-0.294273194295
2019-12-31,2019,1066,20,20,20,18,1042,0.0951193698124,0.0729303714592,0.6,0.1,-0.00326324259901,0.0431861804223,-0.104160496202,0.0983826124114,0.199279866014,0.212121892352,-0.308052405438
2020-01-23,2020,1434,20,19,20,18,1362,0.0370663196205,-0.0151153698735,0.421052631579,0.0526315789474,0.0158316717671,0.00587371512482,-0.0106769879992,0.0212346478534,0.0477433076197,0.288028310319,-0.207938879625
2020-02-28,2020,1873,20,20,20,19,1794,-0.144261997632,-0.18068183472,0.25,0.35,-0.0512586612705,0.0758082497213,-0.105839050725,-0.0930033363614,-0.0384229469073,0.278134705405,-0.541889880434
2020-03-31,2020,2159,20,20,20,15,1655,-0.00131252898579,-0.0255177976242,0.4,0.1,0.0181367101688,0.016918429003,-0.047208907231,-0.0194492391546,0.0458963782452,0.00841369122778,-0.38940453683
2020-04-30,2020,1769,20,17,20,17,1476,0.127100013693,0.0354311570782,0.529411764706,0,0.0478537139709,0.00542005420054,0.0580020501562,0.0792462997217,0.0690979635364,0.371610675648,-0.145649898589
2020-05-29,2020,1632,20,18,20,18,1421,0.0513853363917,0.0307654444615,0.5,0,0.0931606108315,0.00351864883885,0.0821474495771,-0.0417752744398,-0.0307621131854,0.28341756189,-0.179817423028
2020-06-30,2020,1619,20,20,20,16,1564,-0.00624722547537,-0.0709972621817,0.35,0.05,0.0858510847332,0.00895140664962,0.0405521189654,-0.0920983102086,-0.0467993444408,0.404075448077,-0.0112878991541
2020-07-31,2020,1982,20,20,20,20,1854,-0.0387011378663,-0.0309437862268,0.25,0.1,0.0181221340054,0.0199568500539,0.0148211145216,-0.0568232718717,-0.0535222523879,0.323639258115,-0.195316321849
2020-08-31,2020,2360,20,19,20,19,1954,-0.119811871067,-0.127417721519,0.0526315789474,0.157894736842,-0.0825344863048,0.068065506653,-0.0184127756207,-0.0372773847622,-0.101399095446,0.20262847332,-0.278167075906
2020-09-30,2020,2083,20,20,20,19,1693,0.122913860525,0.126193017208,0.7,0,0.0527439932321,0.00945067926757,0.11175820134,0.0701698672931,0.0111556591853,0.187145410196,-0.330465256747
2020-10-30,2020,1794,20,20,20,18,1651,-0.0175461868813,-0.0315246991349,0.35,0.05,0.0148288024434,0.0242277407632,-0.0183199518375,-0.0323749893247,0.000773764956176,0.217912679916,-0.201610990921
2020-11-30,2020,1808,20,20,20,20,1572,0.0968358154532,0.0132380008291,0.5,0.15,-0.0313552364778,0.0725190839695,-0.0678497287386,0.128191051931,0.164685544192,0.139794016062,-0.216831480814
2020-12-31,2020,1829,20,20,20,17,1673,-0.0640795545049,-0.104021949411,0.3,0.25,-0.0523965685014,0.125523012552,-0.152682739213,-0.0116829860034,0.0886031847078,0.164300085867,-0.208116079239
2021-01-29,2021,1867,20,20,20,15,1571,-0.0619714759856,-0.112177186452,0.25,0.2,0.0341328283251,0.0273711012094,0.0546342546827,-0.0961043043107,-0.116605730668,0.341596747918,-0.0583519936767
2021-02-26,2021,1737,20,20,20,19,1576,-0.110518024011,-0.151981453957,0.15,0.1,-0.0111023017437,0.0310913705584,-0.0103347044628,-0.0994157222675,-0.100183319548,0.185550948247,-0.255691876339
2021-03-31,2021,1764,20,19,20,16,1501,-0.0126592337644,0.0126666666667,0.578947368421,0.263157894737,0.0186046572204,0.0159893404397,0.0233620721838,-0.0312638909848,-0.0360213059482,0.1050983817,-0.347498894149
2021-04-30,2021,1726,20,20,20,19,1496,0.115090144468,0.114915353146,0.75,0,0.0612856335329,0.00467914438503,0.135462751253,0.0538045109349,-0.0203726067855,0.327903883936,-0.110162582157
2021-05-31,2021,1740,20,18,20,18,1595,0.0129259509961,0.0188528646745,0.555555555556,0.111111111111,0.0174327656793,0.0131661442006,-0.0701165303414,-0.0045068146832,0.0830424813375,0.130437259844,-0.274334524167
2021-06-30,2021,1894,20,20,20,20,1710,0.0396295798801,0.0168805696034,0.6,0.1,-0.0258522057256,0.0988304093567,-0.121829702267,0.0654817856057,0.161459282147,0.293378796604,-0.133134422879
