audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap,closing_arm
partial_rank,PREOPEN_PATH_DOWNSIDE,block,A,CHINEXT_BOARD,NON_ST,pit,3,107,-0.17765299426233486,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,A,SH_A,ALL_STATUS,pit,3,107,-0.17299242630825706,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,A,SH_A,NON_ST,pit,3,107,-0.16692636327385973,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,A,SZ_A,ALL_STATUS,pit,3,107,-0.21117278877334433,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,A,SZ_A,NON_ST,pit,3,107,-0.20362573303542822,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,ALL_A,ALL_STATUS,pit,3,722,-0.28587614257873512,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,ALL_A,NON_ST,pit,3,722,-0.29203275116921396,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,719,-0.26862877666697826,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,CHINEXT_BOARD,NON_ST,pit,3,720,-0.26843640368402261,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,SH_A,ALL_STATUS,pit,3,722,-0.28091659574924543,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,SH_A,NON_ST,pit,3,722,-0.28725992320250293,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,SZ_A,ALL_STATUS,pit,3,722,-0.27175984138973747,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,block,B,SZ_A,NON_ST,pit,3,722,-0.27650382952655111,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,829,-0.073661030453104487,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,829,-0.27449804971830277,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,829,-0.29892491810754418,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,1,829,-0.07381215246884533,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,829,-0.27477799379601753,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,5,829,-0.29951860227075372,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,1,829,-0.08664100595293267,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,3,829,-0.28036659157114641,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,5,829,-0.30373358578614512,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,1,829,-0.087901737505182237,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,829,-0.28066345379623819,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,5,829,-0.30433693987714205,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,1,826,-0.19614605559764167,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,3,826,-0.26919302267715978,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,5,826,-0.31040276036089753,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,1,826,-0.18071329002057801,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,3,826,-0.25494600740414103,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,5,826,-0.29819220616293268,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,1,827,-0.20174202696703508,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,3,827,-0.26838617332600012,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,5,827,-0.30590149353048479,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,1,827,-0.18686207411886577,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,3,827,-0.25361427219418925,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,5,827,-0.29378765143634944,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,1,829,-0.035198414466034514,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,3,829,-0.25151756971559747,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,5,829,-0.27864172968016143,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,1,829,-0.036584732115573927,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,829,-0.26002459540670614,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,5,829,-0.28541470836264915,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,1,829,-0.045007389368839648,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,3,829,-0.25691078310723375,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,5,829,-0.28178022945509534,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,1,829,-0.047411572697481481,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,829,-0.26547100695336179,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,5,829,-0.28813034727793407,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,1,829,-0.078166689138752771,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,3,829,-0.26696071484465977,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,5,829,-0.28140454807237425,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,1,829,-0.075838393807889107,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,829,-0.26138638506549988,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,5,829,-0.27939129175215,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,1,829,-0.089442296237397328,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,3,829,-0.27148877410970768,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,5,829,-0.28245579872743004,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,1,829,-0.088157958914584653,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,829,-0.26537073154924373,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,5,829,-0.28000277882225222,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,ALL_A,ALL_STATUS,pit,3,722,-0.28587614257873512,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,ALL_A,NON_ST,pit,3,722,-0.29203275116921396,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,719,-0.26862877666697826,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,pit,3,720,-0.26843640368402261,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,SH_A,ALL_STATUS,pit,3,722,-0.28091659574924543,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,SH_A,NON_ST,pit,3,722,-0.28725992320250293,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,SZ_A,ALL_STATUS,pit,3,722,-0.27175984138973747,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2020,SZ_A,NON_ST,pit,3,722,-0.27650382952655111,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,ALL_A,ALL_STATUS,pit,3,586,-0.35015297617241459,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,ALL_A,NON_ST,pit,3,586,-0.35126280785444175,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,586,-0.30316887834947753,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,pit,3,586,-0.30164012437568394,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,SH_A,ALL_STATUS,pit,3,586,-0.30947827679245149,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,SH_A,NON_ST,pit,3,586,-0.31420562911292027,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,SZ_A,ALL_STATUS,pit,3,586,-0.33158163721489781,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2021,SZ_A,NON_ST,pit,3,586,-0.33033228782502505,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,ALL_A,ALL_STATUS,pit,3,587,-0.29575127431584608,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,ALL_A,NON_ST,pit,3,587,-0.30253372276374441,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,584,-0.25697937741242677,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,pit,3,585,-0.25308575477617729,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,SH_A,ALL_STATUS,pit,3,587,-0.29260810502953244,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,SH_A,NON_ST,pit,3,587,-0.29931945990179837,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,SZ_A,ALL_STATUS,pit,3,587,-0.25619927601867398,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2022,SZ_A,NON_ST,pit,3,587,-0.26100659861744469,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,ALL_A,ALL_STATUS,pit,3,592,-0.18329490861548453,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,ALL_A,NON_ST,pit,3,592,-0.1916667530095838,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,589,-0.18783515769778555,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,pit,3,590,-0.1871788403723226,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,SH_A,ALL_STATUS,pit,3,592,-0.17024400167613563,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,SH_A,NON_ST,pit,3,592,-0.17443203885326461,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,SZ_A,ALL_STATUS,pit,3,592,-0.19432769080517268,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,leave_one_year_out,2023,SZ_A,NON_ST,pit,3,592,-0.20172165037883863,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,3,276,-0.29240414598251507,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,5,166,-0.25258252709631285,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,3,276,-0.29790224273667038,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,5,166,-0.26231390632851792,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,3,275,-0.30186386547172772,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.29393752306635418,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,3,275,-0.30261104239876507,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,5,166,-0.29363644697234975,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,3,276,-0.27180105743613064,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,5,166,-0.22342670420167846,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SH_A,NON_ST,pit,3,276,-0.2756993834676737,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SH_A,NON_ST,pit,5,166,-0.22460721144489917,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SZ_A,ALL_STATUS,pit,3,276,-0.2544622872397323,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SZ_A,ALL_STATUS,pit,5,166,-0.22765779404273243,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SZ_A,NON_ST,pit,3,276,-0.26502384233617626,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,0,SZ_A,NON_ST,pit,5,166,-0.23145272819759613,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,ALL_A,ALL_STATUS,pit,3,277,-0.27370185792631846,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,ALL_A,ALL_STATUS,pit,5,166,-0.36329085543011952,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,ALL_A,NON_ST,pit,3,277,-0.2821670933549234,,,,
partial_rank,PREOPEN_PATH_DOWNSIDE,phase,1,ALL_A,NON_ST,pit,5,166,-0.37388961700665913,,,,
