audit_id,sequence_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,block_id,market_sequence_rank,relative_day,daily_raw_close,minute_raw_close,coordinate_scale,coordinate_close,resistance_high10,resistance_high20,resistance_high40,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at,l10_continuous_cross,l10_continuous_first_cross_index,l10_continuous_remaining_bars,l10_continuous_closing_state,l10_continuous_close_loss,l10_continuous_reacquired,l20_continuous_cross,l20_continuous_first_cross_index,l20_continuous_remaining_bars,l20_continuous_closing_state,l20_continuous_close_loss,l20_continuous_reacquired,l40_continuous_cross,l40_continuous_first_cross_index,l40_continuous_remaining_bars,l40_continuous_closing_state,l40_continuous_close_loss,l40_continuous_reacquired,l20_auction_cross,l20_auction_first_cross_index,l20_auction_remaining_bars,l20_auction_closing_state,l20_auction_close_loss,l20_auction_reacquired,l20_auction_only_cross
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-12,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-12,2018,1,3,-5,12.23,12.229999542236328,0.078926598263614811,0.96527229676400916,1.0007892659826356,1.0007892659826356,1.0536700868192579,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-13,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-13,2018,1,3,-4,11.84,11.829999923706055,0.078926598263614811,0.93449092344119933,1.0007892659826356,1.0007892659826356,1.0536700868192579,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-14,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-14,2018,1,3,-3,11.76,11.739999771118164,0.078926598263614811,0.92817679558011013,1.0007892659826356,1.0007892659826356,1.0536700868192579,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-15,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-15,2018,1,3,-2,11.51,11.489999771118164,0.078926598263614811,0.90844514601420645,1.0007892659826356,1.0007892659826356,1.0126282557221782,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|03|601882.SH|2018-03-16,2018|01|ALL_A|03|601882.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,601882.SH,601882,2018-03-16,2018,1,3,-1,11.52,11.510000228881836,0.078926598263614811,0.90923441199684263,1.0007892659826356,1.0007892659826356,1.0007892659826356,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-12,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-12,2018,1,4,-5,66.150000000000006,66.150001525878906,0.012221950623319482,0.80848203373258376,0.78196040087998042,0.78196040087998042,0.9837448056709851,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,True,0,239,CROSS_CLOSE_ABOVE,True,True,True,0,239,CROSS_CLOSE_ABOVE,True,True,False,,,NO_CROSS,False,False,True,0,240,CROSS_CLOSE_ABOVE,True,True,False
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-13,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-13,2018,1,4,-4,66.829999999999998,66.830001831054688,0.01222195062331948,0.81679296015644087,0.80860425323881679,0.80860425323881679,0.97506722072842833,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,True,0,239,CROSS_CLOSE_ABOVE,False,False,True,0,239,CROSS_CLOSE_ABOVE,False,False,False,,,NO_CROSS,False,False,True,0,240,CROSS_CLOSE_ABOVE,False,False,False
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-14,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-14,2018,1,4,-3,64.180000000000007,64.180000305175781,0.01222195062331948,0.78440479100464433,0.84881447078953798,0.84881447078953798,0.96394524566120765,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-15,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-15,2018,1,4,-2,61.479999999999997,61.479999542236328,0.01222195062331948,0.75140552432168162,0.84881447078953798,0.84881447078953798,0.94353458812026403,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|04|300691.SZ|2018-03-16,2018|01|ALL_A|04|300691.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300691.SZ,300691,2018-03-16,2018,1,4,-1,66,66,0.01222195062331948,0.80664874113908569,0.84881447078953798,0.84881447078953798,0.92679051576631633,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
