trade_date,market_view,denominator,available_at,event_year,session_ordinal,breakout_formation_depth20,breakout_formation_depth20_pit_3y_pct,breadth_net_new_high_low60_pit_3y_pct,realized_volatility_median20_pit_3y_pct,median_signed_limit_utilization,median_signed_limit_utilization_pit_3y_pct,open_close_log_return__median,intraday_log_range__median,adverse_mean_log_excursion_h3,adverse_mean_log_excursion_h1,adverse_mean_log_excursion_h5
2018-03-06,ALL_A,ALL_STATUS,2018-03-06T15:30:00,2018,0,0.024784219014568998,,,,,,0.0080322024609500008,0.026525541200900001,-0.021219716548987001,-0.016324915713647099,-0.021845073696824001
2018-03-06,ALL_A,NON_ST,2018-03-06T15:30:00,2018,0,0.024811975831260401,,,,,,0.0079823133139999992,0.0265447192857,-0.021188259133483101,-0.0163541006388849,-0.021783414178605701
2018-03-06,CHINEXT_BOARD,ALL_STATUS,2018-03-06T15:30:00,2018,0,0.0299369333567618,,,,,,0.00412033477503,0.030401003330900001,-0.0211650855163815,-0.017456705474520402,-0.021314386887175501
2018-03-06,CHINEXT_BOARD,NON_ST,2018-03-06T15:30:00,2018,0,0.0299369333567618,,,,,,0.00412033477503,0.030401003330900001,-0.0211650855163815,-0.017456705474520402,-0.021314386887175501
2018-03-06,SH_A,ALL_STATUS,2018-03-06T15:30:00,2018,0,0.022239965273257101,,,,,,0.0094650384025200002,0.025030262507199998,-0.020613712625767801,-0.015584512047129601,-0.021462710658288
2018-03-06,SH_A,NON_ST,2018-03-06T15:30:00,2018,0,0.022403427146509301,,,,,,0.0093831185866500005,0.024993189341500001,-0.0205623181204968,-0.0155814745334764,-0.021423415993269
2018-03-06,SZ_A,ALL_STATUS,2018-03-06T15:30:00,2018,0,0.025974649664173701,,,,,,0.0064391969553999999,0.027725903436299999,-0.0216337460001545,-0.016830768748496101,-0.022106308901623899
2018-03-06,SZ_A,NON_ST,2018-03-06T15:30:00,2018,0,0.025927044666793301,,,,,,0.0064391969553999999,0.0278936460431,-0.021611316221741499,-0.0168762983279406,-0.022026727495527101
2018-03-07,ALL_A,ALL_STATUS,2018-03-07T15:30:00,2018,1,0.022318004820021099,,,,,,-0.0070495863661800004,0.0251902641599,-0.0112287922575288,-0.0098445301934747004,-0.0132305925704581
2018-03-07,ALL_A,NON_ST,2018-03-07T15:30:00,2018,1,0.022552873339051,,,,,,-0.0070719566321599996,0.025243598527500001,-0.0111560985722706,-0.0098433184716567,-0.0131251396291463
