map,first_dimension,second_dimension,first_state,second_state,support,decision_dates,cohorts,trades,calendar_years,early_dates,late_dates,mean_cohort_payoff,absolute_trade_return,selected_industry_return,broad_proxy_return,relative_to_industry,relative_to_broad,winner_rate,severe_loss_rate,early_mean_cohort_payoff,late_mean_cohort_payoff
ABSOLUTE_MARKET_STATE_X_SYNCHRONIZATION,ABSOLUTE_MARKET_STATE,SYNCHRONIZATION,MEDIUM,HIGH,INSUFFICIENT_SUPPORT,1,1,10,1,1,0,-0.07018589802,-0.07018589802,-0.08824351677,-0.05883849151,0.01805761875,-0.01134740651,0,0.2,-0.07018589802,
ABSOLUTE_MARKET_STATE_X_SYNCHRONIZATION,ABSOLUTE_MARKET_STATE,SYNCHRONIZATION,MEDIUM,LOW,SUPPORTED,76,76,760,6,37,39,0.02623723818,0.02623723818,0.01532566384,-0.04805504815,0.01091157434,0.07429228633,0.5210526316,0.1355263158,0.0156714369,0.0362612035
ABSOLUTE_MARKET_STATE_X_SYNCHRONIZATION,ABSOLUTE_MARKET_STATE,SYNCHRONIZATION,MEDIUM,MEDIUM,SUPPORTED,19,19,190,4,10,9,0.01348003168,0.01348003168,-0.000555344476,-0.0355243315,0.01403537616,0.04900436318,0.4894736842,0.1052631579,-0.02099809671,0.05178906323
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,HIGH,HIGH,SUPPORTED,54,54,538,6,22,32,0.01419570578,0.01456730731,-0.005113887406,-0.0567311359,0.01930959319,0.07092684168,0.5074349442,0.1598513011,0.02580481432,0.00621444366
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,HIGH,LOW,SUPPORTED,24,24,240,5,15,9,0.02207931279,0.02207931279,0.01926924862,-0.04391684565,0.002810064167,0.06599615844,0.5416666667,0.1666666667,0.01933412882,0.02665461941
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,HIGH,MEDIUM,SUPPORTED,37,37,368,6,20,17,0.01686358776,0.0160853982,0.006072800192,-0.04889591428,0.01079078757,0.06575950204,0.5135869565,0.1494565217,0.03404527303,-0.00335015961
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,LOW,HIGH,SUPPORTED,15,15,150,4,9,6,0.01212752512,0.01212752512,-0.02323053473,-0.04564256715,0.03535805985,0.05777009226,0.44,0.1866666667,-0.01056824653,0.04617118258
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,LOW,LOW,SUPPORTED,34,34,339,5,12,22,0.01989099174,0.0198425421,0.01392807634,-0.03432406771,0.0059629154,0.05421505945,0.4867256637,0.09144542773,0.02348744525,0.01792928983
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,LOW,MEDIUM,SUPPORTED,33,33,330,4,19,14,0.01049778806,0.01049778806,-0.003440945119,-0.04287787301,0.01393873318,0.05337566107,0.4333333333,0.103030303,0.01609553922,0.002900840058
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,MEDIUM,HIGH,SUPPORTED,21,21,210,4,11,10,0.002763807464,0.002763807464,-0.001882046498,-0.06074234064,0.004645853962,0.06350614811,0.419047619,0.1619047619,0.01876599569,-0.01483859958
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,MEDIUM,LOW,SUPPORTED,26,26,260,6,8,18,0.009905833003,0.009905833003,-0.003266045967,-0.0508793498,0.01317187897,0.0607851828,0.5038461538,0.1384615385,0.008343624941,0.0106001477
CROSS_SECTIONAL_DISPERSION_X_INDUSTRY_PERSISTENCE,CROSS_SECTIONAL_DISPERSION,INDUSTRY_PERSISTENCE,MEDIUM,MEDIUM,SUPPORTED,19,19,190,6,6,13,0.0237550059,0.0237550059,0.007446853488,-0.03900488005,0.01630815242,0.06275988595,0.5315789474,0.1421052632,0.05032190994,0.01149335789
