trade_id,signal_date,symbol,industry,final_net_return,invested_cost,profit,diffusion_score,max_return20,signal_year,cohort_order,cohort_size,intensity_bucket,intensity_rank_pct,retained_top5
2018-07-09|000697.SZ,2018-07-09,000697.SZ,航空装备Ⅱ,0.188944484155,250000,47236.1210388,0.666666666667,0.0312525435041,2018,0,10,1,0.05,True
2018-07-09|600038.SH,2018-07-09,600038.SH,航空装备Ⅱ,-0.152962162889,250000,-38240.5407223,0.666666666667,0.049185953487,2018,1,10,1,0.15,True
2018-07-09|300719.SZ,2018-07-09,300719.SZ,航空装备Ⅱ,-0.20268251182,250000,-50670.6279551,0.666666666667,0.0505226894246,2018,2,10,2,0.25,True
2018-07-09|600316.SH,2018-07-09,600316.SH,航空装备Ⅱ,-0.0825286926148,250000,-20632.1731537,0.666666666667,0.0652176383114,2018,3,10,2,0.35,True
2018-07-09|300696.SZ,2018-07-09,300696.SZ,航空装备Ⅱ,-0.258273206238,250000,-64568.3015594,0.666666666667,0.0762445348823,2018,4,10,3,0.45,True
2018-07-09|000768.SZ,2018-07-09,000768.SZ,航空装备Ⅱ,-0.110925388487,250000,-27731.3471217,0.583333333333,0.0431157570281,2018,5,10,3,0.55,False
2018-07-09|300699.SZ,2018-07-09,300699.SZ,航空装备Ⅱ,-0.118758368038,250000,-29689.5920094,0.583333333333,0.0595112283472,2018,6,10,4,0.65,False
2018-07-09|600893.SH,2018-07-09,600893.SH,航空装备Ⅱ,-0.0860259514249,250000,-21506.4878562,0.583333333333,0.0643711711246,2018,7,10,4,0.75,False
2018-07-09|600760.SH,2018-07-09,600760.SH,航空装备Ⅱ,-0.122004888331,250000,-30501.2220827,0.583333333333,0.0664529207377,2018,8,10,5,0.85,False
2018-07-09|600372.SH,2018-07-09,600372.SH,航空装备Ⅱ,-0.0814911962818,250000,-20372.7990704,0.583333333333,0.0952283500919,2018,9,10,5,0.95,False
2018-07-16|300142.SZ,2018-07-16,300142.SZ,生物制品,-0.0174956305248,249971.997351,-4373.4177072,0.875,0.0513459800386,2018,0,10,1,0.05,True
2018-07-16|600855.SH,2018-07-16,600855.SH,军工电子Ⅱ,-0.0542180596073,249971.997351,-13552.9966525,0.866666666667,0.0470279769626,2018,1,10,1,0.15,True
2018-07-16|000697.SZ,2018-07-16,000697.SZ,航空装备Ⅱ,0.163151001985,249971.997351,40783.181836,0.846153846154,0.0312525435041,2018,2,10,2,0.25,True
2018-07-16|002030.SZ,2018-07-16,002030.SZ,医疗器械,-0.0167070115089,249971.997351,-4176.28503664,0.842105263158,0.0247690681124,2018,3,10,2,0.35,True
2018-07-16|002022.SZ,2018-07-16,002022.SZ,医疗器械,-0.111604865978,249971.997351,-27898.0912626,0.842105263158,0.0408219945203,2018,4,10,3,0.45,True
2018-07-16|300326.SZ,2018-07-16,300326.SZ,医疗器械,0.00586944922037,249971.997351,1467.19794497,0.842105263158,0.0413102215999,2018,5,10,3,0.55,False
2018-07-16|002179.SZ,2018-07-16,002179.SZ,军工电子Ⅱ,-0.0487305084205,249971.997351,-12181.2625218,0.8,0.0381995111958,2018,6,10,4,0.65,False
2018-07-16|002383.SZ,2018-07-16,002383.SZ,军工电子Ⅱ,-0.0293142528502,249971.997351,-7327.74233582,0.8,0.0404522404025,2018,7,10,4,0.75,False
2018-07-16|000768.SZ,2018-07-16,000768.SZ,航空装备Ⅱ,-0.0782286358959,249971.997351,-19554.9683649,0.769230769231,0.0431157570281,2018,8,10,5,0.85,False
2018-07-16|002773.SZ,2018-07-16,002773.SZ,生物制品,-0.141088532728,249971.997351,-35268.1823293,0.75,0.0476280489893,2018,9,10,5,0.95,False
2018-07-23|300719.SZ,2018-07-23,300719.SZ,航空装备Ⅱ,-0.22095681249,249566.2749,-55143.3686069,1,0.0421183081451,2018,0,10,1,0.05,True
2018-07-23|601618.SH,2018-07-23,601618.SH,专业工程,0.0135845955149,249566.2749,3390.25689867,1,0.0466647648571,2018,1,10,1,0.15,True
