market_view,denominator,event_year,date_cells,crossing_complete_cells,closing_complete_cells,minimum_accepted_anchor,minimum_rejected_anchor,minimum_accepted_response,minimum_rejected_response,minimum_accepted_retention,minimum_rejected_retention
ALL_A,ALL_STATUS,2018,203,203,203,6,10,6,10,0.93333333333333335,0.95652173913043481
ALL_A,ALL_STATUS,2019,244,243,243,13,10,12,10,0.92307692307692313,0.96296296296296291
ALL_A,ALL_STATUS,2020,243,243,243,13,9,13,9,0.97942386831275718,0.97530864197530864
ALL_A,ALL_STATUS,2021,243,243,243,32,46,32,46,0.98351648351648346,0.98165137614678899
ALL_A,ALL_STATUS,2022,242,242,242,9,15,9,14,0.95999999999999996,0.93333333333333335
ALL_A,ALL_STATUS,2023,242,237,237,28,37,28,37,0.97402597402597402,0.97391304347826091
ALL_A,NON_ST,2018,203,203,203,6,10,6,10,0.93023255813953487,0.95652173913043481
ALL_A,NON_ST,2019,244,243,243,13,10,12,10,0.92307692307692313,0.96153846153846156
ALL_A,NON_ST,2020,243,243,243,13,9,13,9,0.97787610619469023,0.97499999999999998
ALL_A,NON_ST,2021,243,243,243,30,45,30,45,0.98412698412698407,0.98095238095238091
ALL_A,NON_ST,2022,242,242,242,8,15,8,14,0.95833333333333337,0.93333333333333335
ALL_A,NON_ST,2023,242,237,237,20,37,20,37,0.97368421052631582,0.97379912663755464
CHINEXT_BOARD,ALL_STATUS,2018,203,203,203,1,2,1,2,1,1
CHINEXT_BOARD,ALL_STATUS,2019,244,244,244,1,1,1,1,1,1
CHINEXT_BOARD,ALL_STATUS,2020,243,243,243,1,2,1,2,1,0.92307692307692313
CHINEXT_BOARD,ALL_STATUS,2021,243,243,241,2,7,2,7,0.8666666666666667,0.967741935483871
CHINEXT_BOARD,ALL_STATUS,2022,242,242,242,1,1,1,1,0.94117647058823528,0.93103448275862066
CHINEXT_BOARD,ALL_STATUS,2023,242,237,237,4,6,4,6,0.95652173913043481,0.95999999999999996
CHINEXT_BOARD,NON_ST,2018,203,203,203,1,2,1,2,1,1
CHINEXT_BOARD,NON_ST,2019,244,244,244,1,1,1,1,1,1
CHINEXT_BOARD,NON_ST,2020,243,243,243,1,2,1,2,1,0.92307692307692313
CHINEXT_BOARD,NON_ST,2021,243,243,241,2,7,2,7,0.8666666666666667,0.96666666666666667
CHINEXT_BOARD,NON_ST,2022,242,242,242,1,1,1,1,0.9642857142857143,0.9375
CHINEXT_BOARD,NON_ST,2023,242,237,237,4,6,4,6,0.95652173913043481,0.95999999999999996
SH_A,ALL_STATUS,2018,203,203,198,0,1,0,1,0.80000000000000004,0.92000000000000004
SH_A,ALL_STATUS,2019,244,242,241,4,4,4,4,0.80000000000000004,0.90909090909090906
SH_A,ALL_STATUS,2020,243,243,243,3,6,3,6,0.94444444444444442,0.94594594594594594
SH_A,ALL_STATUS,2021,243,243,243,13,18,13,18,0.96551724137931039,0.95652173913043481
SH_A,ALL_STATUS,2022,242,242,242,3,5,3,5,0.92000000000000004,0.90000000000000002
SH_A,ALL_STATUS,2023,242,237,237,7,12,7,12,0.93103448275862066,0.92307692307692313
SH_A,NON_ST,2018,203,202,196,0,1,0,1,0.80000000000000004,0.91666666666666663
SH_A,NON_ST,2019,244,242,241,4,4,4,4,0.80000000000000004,0.90909090909090906
SH_A,NON_ST,2020,243,243,243,3,5,3,5,0.94230769230769229,0.94444444444444442
SH_A,NON_ST,2021,243,243,243,13,18,13,18,0.96078431372549022,0.95454545454545459
SH_A,NON_ST,2022,242,242,242,3,5,3,5,0.92592592592592593,0.90000000000000002
SH_A,NON_ST,2023,242,237,237,6,12,6,12,0.93103448275862066,0.92307692307692313
SZ_A,ALL_STATUS,2018,203,203,203,3,5,3,5,0.97674418604651159,0.99300699300699302
SZ_A,ALL_STATUS,2019,244,244,244,8,3,8,3,1,1
SZ_A,ALL_STATUS,2020,243,243,243,8,3,8,3,1,0.97222222222222221
SZ_A,ALL_STATUS,2021,243,243,243,15,24,15,24,0.97560975609756095,0.98305084745762716
SZ_A,ALL_STATUS,2022,242,242,242,5,5,5,5,0.92307692307692313,0.94444444444444442
SZ_A,ALL_STATUS,2023,242,237,237,18,18,18,21,0.96666666666666667,0.9642857142857143
SZ_A,NON_ST,2018,203,203,203,3,5,3,5,1,1
SZ_A,NON_ST,2019,244,244,244,8,3,8,3,1,1
SZ_A,NON_ST,2020,243,243,243,8,3,8,3,1,0.97142857142857142
SZ_A,NON_ST,2021,243,243,243,14,23,14,23,0.97560975609756095,0.98245614035087714
SZ_A,NON_ST,2022,242,242,242,4,5,4,5,0.91666666666666663,0.94117647058823528
SZ_A,NON_ST,2023,242,237,237,14,18,14,19,0.97101449275362317,0.9642857142857143
