family,track,leg,design,variant,formation_sessions,period,count,signal_dates,mean_gross_return,mean_net_return,median_net_return,mean_excess_vs_date_control,severe_loss_fraction,control_severe_loss_fraction,severe_loss_disadvantage,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
conventional_momentum_12m_1m_high,revised_momentum,high,revised_momentum_12m_1m,conventional,240,early_2018_2020,4050,25,0.024378810734586566,0.020290538501194593,-0.00250370914174719,0.008064959954061335,0.2414814814814815,0.16431578947368422,0.07716569200779727,0.99267578125,1700.0,322189298.64975,80730563.5
conventional_momentum_12m_1m_high,revised_momentum,high,revised_momentum_12m_1m,conventional,240,full,11647,60,-0.0010917387840853397,-0.00507827218211182,-0.03150604867612827,-0.0076208455511466685,0.30419850605306087,0.1778606237816764,0.12633788227138446,0.9949893842887474,2132.0,365366070.0150001,86134882.186
conventional_momentum_12m_1m_high,revised_momentum,high,revised_momentum_12m_1m,conventional,240,late_2021_2023,7597,35,-0.014670220494052593,-0.018602516392641103,-0.04622358035272145,-0.015983029610129477,0.33763327629327367,0.18753550543024225,0.15009777086303142,0.9962234665972132,2284.0,386381876.45600003,90122001.53
conventional_momentum_12m_1m_low,revised_momentum,low,revised_momentum_12m_1m,conventional,240,early_2018_2020,4047,25,0.00936864057550815,0.005340750928208999,-0.012471085071627641,-0.006913262304477855,0.17865085248332097,0.16431578947368422,0.014335063009636745,0.9970544918998527,1700.0,108356640.73625001,31074788.652
conventional_momentum_12m_1m_low,revised_momentum,low,revised_momentum_12m_1m,conventional,240,full,11637,60,0.002856581775355888,-0.0011451083486394092,-0.01450793736809941,-0.003756877535077402,0.19437999484403196,0.1778606237816764,0.016519371062355542,0.9982933697414456,2132.0,124492132.8575,37652871.28000001
conventional_momentum_12m_1m_low,revised_momentum,low,revised_momentum_12m_1m,conventional,240,late_2021_2023,7590,35,-0.0006156582726304394,-0.004603378769377948,-0.01542751309651813,-0.0020738881857014294,0.20276679841897233,0.18753550543024225,0.015231292988730077,0.9989535644211903,2284.0,134543898.8975,42273633.896
conventional_momentum_6m_1m_high,revised_momentum,high,revised_momentum_6m_1m,conventional,120,early_2018_2020,4048,25,0.01608848169844758,0.012033132883022392,-0.012648935919062354,-0.00023598075019650914,0.26976284584980237,0.16431578947368422,0.10544705637611815,0.992919921875,1700.0,324129386.08825,77133409.642
conventional_momentum_6m_1m_high,revised_momentum,high,revised_momentum_6m_1m,conventional,120,full,11658,60,-0.005715215277610971,-0.00968328987160665,-0.037363673653232454,-0.012300193153438173,0.3218390804597701,0.1778606237816764,0.1439784566780937,0.9946496815286624,2132.0,351664412.522,84855734.02100001
conventional_momentum_6m_1m_high,revised_momentum,high,revised_momentum_6m_1m,conventional,120,late_2021_2023,7610,35,-0.017313292197333047,-0.02123494286907555,-0.04923115101200326,-0.018717529790537018,0.3495400788436268,0.18753550543024225,0.16200457341338456,0.9955723401484569,2284.0,367504023.67850006,90303679.85700001
conventional_momentum_6m_1m_low,revised_momentum,low,revised_momentum_6m_1m,conventional,120,early_2018_2020,4051,25,0.008554582158760851,0.0045302708469302415,-0.01076758048528792,-0.007732247730213968,0.183658355961491,0.16431578947368422,0.019342566487806773,0.9977908689248896,1700.0,119625203.68450001,33839771.0
