family,leg,period,horizon,count,signal_dates,mean_return,median_return,positive_fraction,p10,p90,severe_loss_fraction,mean_adverse_excursion,mean_excess_vs_date_control,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
industry_diffusion_20,bottom,year_2019,20,979,49,0.02399255583,0.01094810379,0.5331971399,-0.1190724833,0.1759447726,0.1358529111,-0.07337038781,0.001804626361,0.9989795918,1542,132804283.3,40075895
industry_diffusion_20,bottom,year_2020,5,975,49,0.0009037862591,-0.005042657301,0.4584615385,-0.07183105479,0.08298790387,0.04,-0.04311446751,0.003165793291,0.9948979592,2173,172307584.7,41149141.6
industry_diffusion_20,bottom,year_2020,20,974,49,0.008228344032,-0.01527159357,0.4383983573,-0.1266000184,0.1663660369,0.1714579055,-0.08539091051,0.008598808303,0.9948979592,2173,172307584.7,41134723.7
industry_diffusion_20,bottom,year_2021,5,958,48,-0.005302172568,-0.007274946634,0.4300626305,-0.07122082504,0.05963105868,0.03653444676,-0.04160978879,-0.005440288584,0.9979166667,2328,191735074.5,44502935.6
industry_diffusion_20,bottom,year_2021,20,951,48,0.001800600107,-0.00930405855,0.4710830705,-0.1344984617,0.1380561026,0.1903259727,-0.08531252987,0.0001839143823,0.9979166667,2328,191735074.5,44433084.11
industry_diffusion_20,bottom,year_2022,5,977,49,-0.001813779261,-0.002394569322,0.4708290686,-0.07080572834,0.06558026184,0.03172978506,-0.04299976542,0.003544377309,0.9989795918,2804,168260682.8,39922501.57
industry_diffusion_20,bottom,year_2022,20,968,49,-0.0003856146873,-0.0058607376,0.4845041322,-0.1284170926,0.1250863666,0.1632231405,-0.08677655976,0.002918559273,0.9989795918,2804,168260682.8,39940917.93
industry_diffusion_20,bottom,year_2023,5,878,44,-0.001984393507,-0.006949998935,0.4123006834,-0.05159077851,0.05000494703,0.01366742597,-0.0333731895,0.003786241324,0.9166666667,2837.5,169459490.3,43744620.88
industry_diffusion_20,bottom,year_2023,20,873,44,-0.00821013891,-0.01877060234,0.403207331,-0.1030901361,0.09119927115,0.1053837342,-0.06855279193,0.008677618539,0.9166666667,2837.5,169459490.3,43944972.82
industry_diffusion_20,top,early_2018_2020,5,2435,122,-0.0013389725,-0.006892205605,0.4480492813,-0.08065148714,0.07904331324,0.05995893224,-0.04875302218,0.0003835299173,0.9983606557,1792,168504946.7,52004972.89
industry_diffusion_20,top,early_2018_2020,20,2429,122,0.01199537121,-0.01124450129,0.4676821737,-0.1500193537,0.1821542771,0.2132564841,-0.0937437005,0.01035190077,0.9983606557,1792,168504946.7,51881044.31
industry_diffusion_20,top,full,5,5247,263,0.0007677160307,-0.006696110042,0.4465408805,-0.07623830418,0.08159950812,0.05317324185,-0.04761340641,0.003514288303,0.9835205993,2396,179147638.2,56841529.54
industry_diffusion_20,top,full,20,5231,263,0.01013547673,-0.009610110963,0.4662588415,-0.1419806221,0.171727747,0.1909768687,-0.09124923945,0.01254243059,0.9835205993,2396,179147638.2,56811098
industry_diffusion_20,top,late_2021_2023,5,2812,141,0.002591964456,-0.006673060879,0.4452347084,-0.07240597503,0.08424830039,0.0472972973,-0.04662657697,0.006225311301,0.9710344828,2718,186840845.5,60240150.13
industry_diffusion_20,top,late_2021_2023,20,2802,141,0.008523169915,-0.008628118975,0.4650249822,-0.134845404,0.1611614005,0.1716630978,-0.08908683906,0.01444135884,0.9710344828,2718,186840845.5,60240150.13
industry_diffusion_20,top,year_2018,5,479,24,-0.014167714,-0.01581908278,0.369519833,-0.0808986723,0.05293489266,0.06471816284,-0.05407983052,-0.001295420358,0.9979166667,1081,130233457,44594423
industry_diffusion_20,top,year_2018,20,479,24,-0.04095547836,-0.04245304331,0.3277661795,-0.1557800963,0.08639390567,0.2651356994,-0.1103363255,-0.004154595495,0.9979166667,1081,130233457,44594423
industry_diffusion_20,top,year_2019,5,979,49,0.001422172981,-0.007471243604,0.4443309499,-0.07390272846,0.07923071219,0.04494382022,-0.04233729956,-0.002948621067,1,1542,154672098.6,53507563.8
industry_diffusion_20,top,year_2019,20,976,49,0.02106876816,0.0008462559057,0.5051229508,-0.1481444807,0.1995834808,0.1905737705,-0.08250273732,-0.00112365127,1,1542,154672098.6,53241350.95
industry_diffusion_20,top,year_2020,5,977,49,0.002183858364,-0.0008755954924,0.4902763562,-0.08741195006,0.09281044244,0.07267144319,-0.05257027013,0.004545651715,0.9969387755,2173,232322332.4,60280312.26
industry_diffusion_20,top,year_2020,20,974,49,0.02894385327,-8.462077992e-05,0.498973306,-0.1473612181,0.2166251198,0.2104722793,-0.09684771764,0.02898511483,0.9969387755,2173,232322332.4,60217710.71
industry_diffusion_20,top,year_2021,5,959,48,0.00760499264,-0.003992015968,0.4765380605,-0.07251634305,0.1125407327,0.05005213764,-0.05004621458,0.007486102524,0.9989583333,2328,235675071.6,66210948.55
industry_diffusion_20,top,year_2021,20,958,48,0.02109726183,0.005711247489,0.512526096,-0.1451925513,0.2116005487,0.1816283925,-0.09073462227,0.01928580253,0.9989583333,2328,235675071.6,66199385.58
industry_diffusion_20,top,year_2022,5,975,49,-0.00212991801,-0.006526387429,0.4461538462,-0.08090740296,0.06969829727,0.06051282051,-0.04905059322,0.003317865937,0.9979591837,2804,174096463,63400101.47
industry_diffusion_20,top,year_2022,20,969,49,0.0002621915994,-0.01123044608,0.4664602683,-0.1484513468,0.1534904282,0.2115583075,-0.09922331701,0.003974290621,0.9979591837,2804,174096463,63235978.44
industry_diffusion_20,top,year_2023,5,878,44,0.002360007025,-0.008792751315,0.410022779,-0.06035859673,0.07432910091,0.02961275626,-0.04019964269,0.008076860784,0.915625,2837.5,169595940.3,52150985.2
industry_diffusion_20,top,year_2023,20,875,44,0.003904778981,-0.01768873083,0.4114285714,-0.1042903436,0.1286413935,0.1165714286,-0.07605732654,0.02072891546,0.915625,2837.5,169595940.3,52104718.43
limit_up_aftermath,top,early_2018_2020,5,1928,122,-0.01252238679,-0.02479641134,0.398340249,-0.1507678993,0.1207192089,0.2199170124,-0.09088948535,-0.01108414919,0.936438622,28,228650616.4,234387333.6
