symbol,industry,fill_date,exit_reason,extended,base_net_mark,final_net_return,second_leg_delta
000768.SZ,航空装备Ⅱ,2018-08-07,H20,False,-0.115202723388,-0.110925388487,
600038.SH,航空装备Ⅱ,2018-08-07,H20,False,-0.156910658366,-0.152962162889,
300719.SZ,航空装备Ⅱ,2018-08-07,H20,False,-0.209071273745,-0.20268251182,
300699.SZ,航空装备Ⅱ,2018-08-07,H20,False,-0.119373187781,-0.118758368038,
600893.SH,航空装备Ⅱ,2018-08-07,H20,False,-0.0876832026463,-0.0860259514249,
600316.SH,航空装备Ⅱ,2018-08-07,H20,False,-0.0866787258816,-0.0825286926148,
600760.SH,航空装备Ⅱ,2018-08-07,H20,False,-0.121230186762,-0.122004888331,
300696.SZ,航空装备Ⅱ,2018-08-07,H20,False,-0.26707186334,-0.258273206238,
600372.SH,航空装备Ⅱ,2018-08-07,H20,False,-0.0944077263341,-0.0814911962818,
002179.SZ,军工电子Ⅱ,2018-08-14,H20,False,-0.0547263888523,-0.0487305084205,
002383.SZ,军工电子Ⅱ,2018-08-14,H20,False,-0.0242498054738,-0.0293142528502,
600855.SH,军工电子Ⅱ,2018-08-14,H20,False,-0.0542180596073,-0.0542180596073,
002030.SZ,医疗器械,2018-08-14,H20,False,-0.0136796316182,-0.0167070115089,
002022.SZ,医疗器械,2018-08-14,H20,False,-0.110033875467,-0.111604865978,
002773.SZ,生物制品,2018-08-14,H20,False,-0.139298760969,-0.141088532728,
300142.SZ,生物制品,2018-08-14,H20,False,-0.0174956305248,-0.0174956305248,
000768.SZ,航空装备Ⅱ,2018-08-14,H20,False,-0.0708049739031,-0.0782286358959,
002138.SZ,元件,2018-08-21,H20,False,-0.0631712701917,-0.0700402907712,
300408.SZ,元件,2018-08-21,H20,False,-0.140295579995,-0.132947678969,
603228.SH,元件,2018-08-21,H20,False,-0.0267439115794,-0.0286690719773,
002913.SZ,元件,2018-08-21,H20,False,-0.0792385676692,-0.0623852390548,
300418.SZ,数字媒体,2018-08-21,H20,False,-0.174382184309,-0.175414851996,
300719.SZ,航空装备Ⅱ,2018-08-21,H20,False,-0.2203224125,-0.22095681249,
600765.SH,航空装备Ⅱ,2018-08-21,H20,False,-0.0725532664333,-0.0775395391945,
300699.SZ,航空装备Ⅱ,2018-08-21,H20,False,-0.18472168421,-0.178537777239,
600031.SH,工程机械,2018-08-28,H20,False,-0.00395804136408,0.00239945640634,
000425.SZ,工程机械,2018-08-28,H20,False,-0.00399201596806,-0.00166489451005,
000709.SZ,普钢,2018-08-28,H20,False,-0.0378698385542,-0.0378698385542,
601169.SH,银行Ⅱ,2018-08-28,H20,False,-0.0274274979453,-0.0274274979453,
000869.SZ,非白酒,2018-08-28,H20,False,-0.113092040659,-0.111211005751,
600600.SH,非白酒,2018-08-28,H20,False,-0.188223993514,-0.186465039017,
000697.SZ,航空装备Ⅱ,2018-09-04,H40,True,0.181113113302,0.213150539521,0.0320374262198
600010.SH,普钢,2018-09-04,H20,False,-0.0478414240701,-0.0478414240701,
600307.SH,普钢,2018-09-04,H20,False,-0.0086462588841,-0.0086462588841,
600282.SH,普钢,2018-09-04,H20,False,-0.0945381963346,-0.0945381963346,
600019.SH,普钢,2018-09-04,H20,False,-0.0715998306417,-0.0740143954515,
000898.SZ,普钢,2018-09-04,H20,False,-0.0539485292737,-0.0523873882329,
600569.SH,普钢,2018-09-04,H20,False,-0.121169425854,-0.121169425854,
300326.SZ,医疗器械,2018-09-11,H40,True,0.00488330270153,-0.0306179719768,-0.0355012746784
000697.SZ,航空装备Ⅱ,2018-09-11,H40,True,0.166576063828,-0.0108421396547,-0.177418203483
002663.SZ,基础建设,2018-09-11,H20,False,-0.0420339875804,-0.0454923486361,
000157.SZ,工程机械,2018-09-11,H20,False,-0.0707745181101,-0.0707745181101,
002097.SZ,工程机械,2018-09-11,H20,False,-0.0756472666178,-0.0770803716308,
600031.SH,工程机械,2018-09-11,H20,False,-0.0863508584924,-0.0842649778976,
000425.SZ,工程机械,2018-09-11,H20,False,-0.114409190668,-0.11215577894,
000959.SZ,普钢,2018-09-11,H20,False,-0.0269945098256,-0.0269945098256,
600010.SH,普钢,2018-09-11,H20,False,-0.0950903071905,-0.0950903071905,
600307.SH,普钢,2018-09-11,H20,False,-0.0789129705191,-0.0789129705191,
601618.SH,专业工程,2018-09-18,H40,True,0.0135845955149,-0.0157097569567,-0.0292943524715
