trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-03-15,SH_A,ALL_STATUS,1229,400,True
2018-03-15,SH_A,NON_ST,1204,400,True
2018-03-15,SZ_A,ALL_STATUS,1802,400,True
2018-03-15,SZ_A,NON_ST,1784,400,True
2018-03-16,ALL_A,ALL_STATUS,3032,1000,True
2018-03-16,ALL_A,NON_ST,2989,1000,True
2018-03-16,CHINEXT_BOARD,ALL_STATUS,627,200,True
2018-03-16,CHINEXT_BOARD,NON_ST,627,200,True
2018-03-16,SH_A,ALL_STATUS,1231,400,True
2018-03-16,SH_A,NON_ST,1206,400,True
2018-03-16,SZ_A,ALL_STATUS,1801,400,True
2018-03-16,SZ_A,NON_ST,1783,400,True
2018-03-19,ALL_A,ALL_STATUS,3036,1000,True
2018-03-19,ALL_A,NON_ST,2993,1000,True
2018-03-19,CHINEXT_BOARD,ALL_STATUS,629,200,True
2018-03-19,CHINEXT_BOARD,NON_ST,629,200,True
2018-03-19,SH_A,ALL_STATUS,1232,400,True
2018-03-19,SH_A,NON_ST,1207,400,True
2018-03-19,SZ_A,ALL_STATUS,1804,400,True
2018-03-19,SZ_A,NON_ST,1786,400,True
2018-03-20,ALL_A,ALL_STATUS,3033,1000,True
2018-03-20,ALL_A,NON_ST,2990,1000,True
2018-03-20,CHINEXT_BOARD,ALL_STATUS,626,200,True
2018-03-20,CHINEXT_BOARD,NON_ST,626,200,True
2018-03-20,SH_A,ALL_STATUS,1233,400,True
2018-03-20,SH_A,NON_ST,1208,400,True
2018-03-20,SZ_A,ALL_STATUS,1800,400,True
2018-03-20,SZ_A,NON_ST,1782,400,True
2018-03-21,ALL_A,ALL_STATUS,3035,1000,True
2018-03-21,ALL_A,NON_ST,2992,1000,True
2018-03-21,CHINEXT_BOARD,ALL_STATUS,626,200,True
2018-03-21,CHINEXT_BOARD,NON_ST,626,200,True
2018-03-21,SH_A,ALL_STATUS,1234,400,True
2018-03-21,SH_A,NON_ST,1209,400,True
2018-03-21,SZ_A,ALL_STATUS,1801,400,True
2018-03-21,SZ_A,NON_ST,1783,400,True
2018-03-22,ALL_A,ALL_STATUS,3038,1000,True
2018-03-22,ALL_A,NON_ST,2996,1000,True
2018-03-22,CHINEXT_BOARD,ALL_STATUS,630,200,True
2018-03-22,CHINEXT_BOARD,NON_ST,630,200,True
2018-03-22,SH_A,ALL_STATUS,1235,400,True
2018-03-22,SH_A,NON_ST,1210,400,True
2018-03-22,SZ_A,ALL_STATUS,1803,400,True
2018-03-22,SZ_A,NON_ST,1786,400,True
2018-03-23,ALL_A,ALL_STATUS,3041,1000,True
2018-03-23,ALL_A,NON_ST,2998,1000,True
2018-03-23,CHINEXT_BOARD,ALL_STATUS,634,200,True
2018-03-23,CHINEXT_BOARD,NON_ST,634,200,True
2018-03-23,SH_A,ALL_STATUS,1233,400,True
2018-03-23,SH_A,NON_ST,1208,400,True
2018-03-23,SZ_A,ALL_STATUS,1808,400,True
2018-03-23,SZ_A,NON_ST,1790,400,True
2018-03-26,ALL_A,ALL_STATUS,3040,1000,True
2018-03-26,ALL_A,NON_ST,2997,1000,True
2018-03-26,CHINEXT_BOARD,ALL_STATUS,635,200,True
2018-03-26,CHINEXT_BOARD,NON_ST,635,200,True
2018-03-26,SH_A,ALL_STATUS,1234,400,True
2018-03-26,SH_A,NON_ST,1209,400,True
