uid,cohort_id,industry,decision_date,new_symbol,rejected_symbol,delta_h1,delta_h3,delta_h5
2018-07-09|航空装备Ⅱ|2018-07-13|0,2018-07-09,航空装备Ⅱ,2018-07-13,600765.SH,600372.SH,0.01375700417,0.02911021916,0.0573146859
2018-07-09|航空装备Ⅱ|2018-07-18|0,2018-07-09,航空装备Ⅱ,2018-07-18,600372.SH,300696.SZ,-0.01258538707,0.04700078575,0.07989536291
2018-07-09|航空装备Ⅱ|2018-07-19|0,2018-07-09,航空装备Ⅱ,2018-07-19,002389.SZ,600372.SH,-0.02438424902,-0.1019675974,-0.09092732492
2018-07-09|航空装备Ⅱ|2018-07-26|0,2018-07-09,航空装备Ⅱ,2018-07-26,000697.SZ,600038.SH,0.00921856322,0.06784270764,0.1514183966
2018-07-09|航空装备Ⅱ|2018-07-31|0,2018-07-09,航空装备Ⅱ,2018-07-31,000738.SZ,000768.SZ,-0.002058598238,0.007801927742,0.04971275373
2018-07-09|航空装备Ⅱ|2018-07-31|1,2018-07-09,航空装备Ⅱ,2018-07-31,600391.SH,002389.SZ,-0.003199907316,0.00713665064,0.006124080403
2018-07-16|军工电子Ⅱ|2018-07-19|0,2018-07-16,军工电子Ⅱ,2018-07-19,002465.SZ,600855.SH,-0.0134635771,-0.0120307487,-0.0286325206
2018-07-16|军工电子Ⅱ|2018-07-20|0,2018-07-16,军工电子Ⅱ,2018-07-20,600990.SH,002383.SZ,-0.008385668691,-0.004571965407,0.007850818491
2018-07-16|军工电子Ⅱ|2018-07-27|0,2018-07-16,军工电子Ⅱ,2018-07-27,300101.SZ,002179.SZ,-0.02649346829,-0.0272185343,-0.01755896423
2018-07-16|军工电子Ⅱ|2018-07-31|0,2018-07-16,军工电子Ⅱ,2018-07-31,600855.SH,600990.SH,0.006370426499,0.01336508624,0.05129176589
2018-07-16|军工电子Ⅱ|2018-08-06|0,2018-07-16,军工电子Ⅱ,2018-08-06,002179.SZ,300101.SZ,-0.02202376211,-0.009682083227,-0.00319629429
2018-07-16|军工电子Ⅱ|2018-08-09|0,2018-07-16,军工电子Ⅱ,2018-08-09,603678.SH,002179.SZ,-0.01766813584,-0.05363224149,-0.05834015072
2018-07-16|医疗器械|2018-07-27|0,2018-07-16,医疗器械,2018-07-27,300642.SZ,300326.SZ,0.003708817191,-0.01247998718,0.002560934146
2018-07-16|医疗器械|2018-08-06|0,2018-07-16,医疗器械,2018-08-06,300685.SZ,300642.SZ,-0.01426492375,0.0286422658,0.01535947712
2018-07-16|医疗器械|2018-08-09|0,2018-07-16,医疗器械,2018-08-09,300298.SZ,300685.SZ,0.005573810291,0.02137302361,-0.0585599896
2018-07-16|生物制品|2018-07-27|0,2018-07-16,生物制品,2018-07-27,300122.SZ,300142.SZ,-0.1328931835,-0.09623444455,-0.07776082187
2018-07-16|生物制品|2018-08-06|0,2018-07-16,生物制品,2018-08-06,300009.SZ,300122.SZ,-0.01449086596,-0.05183859365,-0.06641723586
2018-07-16|航空装备Ⅱ|2018-07-18|0,2018-07-16,航空装备Ⅱ,2018-07-18,300719.SZ,000768.SZ,0.02383887288,-0.06072217107,-0.08104127682
2018-07-16|航空装备Ⅱ|2018-07-26|0,2018-07-16,航空装备Ⅱ,2018-07-26,000697.SZ,300699.SZ,0.03243019195,0.08328014764,0.1184348482
2018-07-16|航空装备Ⅱ|2018-07-31|0,2018-07-16,航空装备Ⅱ,2018-07-31,300696.SZ,000697.SZ,-0.02498109936,-0.1077931111,-0.09832565547
2018-07-16|航空装备Ⅱ|2018-07-31|1,2018-07-16,航空装备Ⅱ,2018-07-31,600316.SH,300719.SZ,0.05485010669,0.05302969881,0.04995767307
2018-07-23|专业工程|2018-07-31|0,2018-07-23,专业工程,2018-07-31,000928.SZ,601618.SH,-0.02562451713,-0.08236930209,-0.09213494721
2018-07-23|专业工程|2018-08-07|0,2018-07-23,专业工程,2018-08-07,300384.SZ,000928.SZ,-0.09835098205,-0.01771151389,-0.08871619134
2018-07-23|专业工程|2018-08-09|0,2018-07-23,专业工程,2018-08-09,000928.SZ,300384.SZ,-0.01656284776,0.0531045379,0.1193784604
2018-07-23|专业工程|2018-08-15|0,2018-07-23,专业工程,2018-08-15,300517.SZ,000928.SZ,-0.04986686317,-0.09849299943,-0.1352816121
2018-07-23|元件|2018-07-26|0,2018-07-23,元件,2018-07-26,002815.SZ,603228.SH,0.001476012322,-0.02948720695,-0.02683893241
2018-07-23|元件|2018-07-27|0,2018-07-23,元件,2018-07-27,002384.SZ,002138.SZ,-0.001863990707,0.006381635859,-0.02575126657
2018-07-23|元件|2018-07-27|1,2018-07-23,元件,2018-07-27,600563.SH,300408.SZ,0.01042444396,-0.02523763215,-0.05136540452
2018-07-23|元件|2018-08-02|0,2018-07-23,元件,2018-08-02,300739.SZ,002384.SZ,0.005922920892,0.05786693712,0.02584989858
2018-07-23|元件|2018-08-06|0,2018-07-23,元件,2018-08-06,300408.SZ,002815.SZ,-0.03805168658,-0.05554134437,-0.09409453638
2018-07-23|元件|2018-08-07|0,2018-07-23,元件,2018-08-07,002463.SZ,300408.SZ,-0.01153864424,0.07965702342,0.05468148782
2018-07-23|元件|2018-08-09|0,2018-07-23,元件,2018-08-09,300408.SZ,002463.SZ,-0.05697447321,-0.03269364765,-0.04561321613
2018-07-23|元件|2018-08-09|1,2018-07-23,元件,2018-08-09,300476.SZ,300739.SZ,-0.01247717054,-0.02414814032,0.005391300822
2018-07-23|元件|2018-08-15|0,2018-07-23,元件,2018-08-15,603936.SH,300408.SZ,-0.01041996047,0.01539031621,-0.01630928854
2018-07-23|元件|2018-08-16|0,2018-07-23,元件,2018-08-16,603186.SH,300476.SZ,0.009231132149,-0.03694945354,-0.03339275263
2018-07-23|数字媒体|2018-07-27|0,2018-07-23,数字媒体,2018-07-27,002095.SZ,300418.SZ,0.03106156156,0.03775375375,0.05840840841
2018-07-23|数字媒体|2018-08-06|0,2018-07-23,数字媒体,2018-08-06,000681.SZ,002095.SZ,0.04577423401,0.06875999314,0.1248623683
2018-07-23|数字媒体|2018-08-07|0,2018-07-23,数字媒体,2018-08-07,002095.SZ,000681.SZ,-0.01672941813,-0.07335414489,-0.08620552262
2018-07-23|数字媒体|2018-08-14|0,2018-07-23,数字媒体,2018-08-14,300364.SZ,002095.SZ,0.004023445607,-0.009777608314,-0.01311144805
2018-07-23|炼化及贸易|2018-07-25|0,2018-07-23,炼化及贸易,2018-07-25,600028.SH,601857.SH,0.00374108788,0.002347192181,0.01328606905
2018-07-23|炼化及贸易|2018-07-26|0,2018-07-23,炼化及贸易,2018-07-26,601857.SH,600028.SH,-0.004573170732,-0.006791198864,0.003048780488
2018-07-23|炼化及贸易|2018-08-07|0,2018-07-23,炼化及贸易,2018-08-07,002221.SZ,601857.SH,-0.00413853342,0.003600593398,0.007883316927
2018-07-23|航空装备Ⅱ|2018-07-26|0,2018-07-23,航空装备Ⅱ,2018-07-26,000697.SZ,002023.SZ,-0.005611498359,0.1360142678,0.1233675001
2018-07-23|航空装备Ⅱ|2018-07-31|0,2018-07-23,航空装备Ⅱ,2018-07-31,300696.SZ,000697.SZ,-0.02498109936,-0.1077931111,-0.09832565547
2018-07-23|航空装备Ⅱ|2018-07-31|1,2018-07-23,航空装备Ⅱ,2018-07-31,600316.SH,300699.SZ,0.007868674535,-0.0215974766,-0.04488943156
2018-07-23|航空装备Ⅱ|2018-07-31|2,2018-07-23,航空装备Ⅱ,2018-07-31,600893.SH,300719.SZ,0.0541423243,0.0741782366,0.07087714674
2018-07-23|航空装备Ⅱ|2018-08-13|0,2018-07-23,航空装备Ⅱ,2018-08-13,000738.SZ,600893.SH,0.01094894613,0.001692631796,-0.005153231478
2018-07-23|航空装备Ⅱ|2018-08-15|0,2018-07-23,航空装备Ⅱ,2018-08-15,002389.SZ,000738.SZ,-0.01211041694,-0.002212725096,-0.01747418586
2018-07-30|工程机械|2018-08-20|0,2018-07-30,工程机械,2018-08-20,600761.SH,000425.SZ,0.03253269339,0.02517623364,0.003942491054
2018-07-30|普钢|2018-08-07|0,2018-07-30,普钢,2018-08-07,000959.SZ,000778.SZ,-0.0004950396032,-0.009280742459,-0.01839647172
2018-07-30|普钢|2018-08-14|0,2018-07-30,普钢,2018-08-14,000761.SZ,000959.SZ,0.02384817903,0.0005594559017,-0.01372312418
2018-07-30|炼化及贸易|2018-08-07|0,2018-07-30,炼化及贸易,2018-08-07,002221.SZ,601857.SH,-0.00413853342,0.003600593398,0.007883316927
2018-07-30|炼化及贸易|2018-08-21|0,2018-07-30,炼化及贸易,2018-08-21,300055.SZ,002221.SZ,-0.005446708721,0.01952365044,0.04969835125
2018-07-30|银行Ⅱ|2018-08-17|0,2018-07-30,银行Ⅱ,2018-08-17,601328.SH,601169.SH,-0.004732409601,0.01286764706,0.02284111981
2018-07-30|银行Ⅱ|2018-08-20|0,2018-07-30,银行Ⅱ,2018-08-20,601009.SH,601328.SH,0.002354279934,-0.004599822986,-0.003092679226
2018-07-30|银行Ⅱ|2018-08-24|0,2018-07-30,银行Ⅱ,2018-08-24,601988.SH,601009.SH,-0.002617318114,-0.00387409201,0.004185402975
2018-07-30|非白酒|2018-08-09|0,2018-07-30,非白酒,2018-08-09,000729.SZ,600600.SH,-0.02031947381,-0.002583979328,0.002078928823
2018-08-06|普钢|2018-08-14|0,2018-08-06,普钢,2018-08-14,000761.SZ,600808.SH,0.04512083903,0.00703374373,-0.0008207934337
2018-08-06|普钢|2018-08-20|0,2018-08-06,普钢,2018-08-20,600782.SH,600569.SH,-0.0006663009759,0.007165059797,0.03010440781
2018-08-06|普钢|2018-08-21|1,2018-08-06,普钢,2018-08-21,600022.SH,000898.SZ,0.01116427432,0.02906159748,-0.0006207164102
2018-08-06|普钢|2018-08-21|2,2018-08-06,普钢,2018-08-21,601005.SH,600019.SH,-0.01068349226,0.008673556786,0.01333295266
2018-08-06|普钢|2018-08-24|0,2018-08-06,普钢,2018-08-24,000898.SZ,600019.SH,0.007175014645,0.04271007861,0.0569249235
2018-08-06|普钢|2018-08-30|0,2018-08-06,普钢,2018-08-30,600569.SH,002110.SZ,-0.01425353703,-0.02905488666,-0.0310522556
2018-08-13|基础建设|2018-08-16|0,2018-08-13,基础建设,2018-08-16,601611.SH,002663.SZ,0.01633839199,0.02596060704,0.01580023679
2018-08-13|基础建设|2018-08-29|0,2018-08-13,基础建设,2018-08-29,002628.SZ,300355.SZ,0.01267749917,-0.02196340483,-0.01284140518
2018-08-13|基础建设|2018-09-04|0,2018-08-13,基础建设,2018-09-04,600820.SH,002628.SZ,0.01083533852,-0.111674741,-0.03522215952
2018-08-13|工程机械|2018-08-20|0,2018-08-13,工程机械,2018-08-20,600761.SH,000425.SZ,0.03253269339,0.02517623364,0.003942491054
2018-08-13|工程机械|2018-09-04|0,2018-08-13,工程机械,2018-09-04,000425.SZ,002097.SZ,0.01509121061,0.004238068915,0.01216141515
2018-08-13|工程机械|2018-09-04|1,2018-08-13,工程机械,2018-09-04,000528.SZ,600761.SH,-0.00681787315,0.005378242564,0.03286251075
2018-08-13|普钢|2018-08-14|0,2018-08-13,普钢,2018-08-14,000761.SZ,000778.SZ,0.002900725181,-0.0008252063016,-0.01947986997
2018-08-13|普钢|2018-08-20|0,2018-08-13,普钢,2018-08-20,600782.SH,600307.SH,-0.0119773703,-0.03443818729,-0.02934585631
2018-08-13|普钢|2018-08-21|1,2018-08-13,普钢,2018-08-21,600307.SH,000959.SZ,-0.002126805343,-0.01624401836,-0.01705784694
2018-08-13|普钢|2018-08-21|2,2018-08-13,普钢,2018-08-21,601005.SH,600010.SH,-0.003109246234,-0.007848582727,-0.004739336493
2018-08-13|普钢|2018-08-22|0,2018-08-13,普钢,2018-08-22,000959.SZ,600782.SH,0.0243204578,0.03405276769,0.05368245846
2018-08-13|普钢|2018-08-24|0,2018-08-13,普钢,2018-08-24,000898.SZ,600307.SH,0.004573795112,0.03197864045,0.05646323518
2018-08-13|普钢|2018-08-24|1,2018-08-13,普钢,2018-08-24,600010.SH,600782.SH,-0.0003566467695,-0.002928257687,0.03090625821
2018-08-13|普钢|2018-09-04|0,2018-08-13,普钢,2018-09-04,000778.SZ,000898.SZ,0.001622030424,-0.004892627557,0.04273005301
2018-08-13|普钢|2018-09-05|0,2018-08-13,普钢,2018-09-05,600307.SH,000778.SZ,0.004739336493,-0.009478672986,0.01357039828
2018-08-20|工程机械|2018-09-04|0,2018-08-20,工程机械,2018-09-04,000425.SZ,002097.SZ,0.01509121061,0.004238068915,0.01216141515
2018-08-20|工程机械|2018-09-04|1,2018-08-20,工程机械,2018-09-04,000528.SZ,600761.SH,-0.00681787315,0.005378242564,0.03286251075
2018-08-20|普钢|2018-08-21|1,2018-08-20,普钢,2018-08-21,601005.SH,600782.SH,-0.006625605939,0.01145959395,-0.0004597359223
2018-08-20|普钢|2018-08-22|0,2018-08-20,普钢,2018-08-22,000959.SZ,601005.SH,0,0.01925377254,0.03843853515
2018-08-20|普钢|2018-09-04|0,2018-08-20,普钢,2018-09-04,600010.SH,000959.SZ,0.01250949992,-0.01495668035,0.02269341845
2018-08-20|普钢|2018-09-05|0,2018-08-20,普钢,2018-09-05,600307.SH,000709.SZ,0.001337975949,-0.009478672986,-0.03730212464
2018-08-20|炼化及贸易|2018-08-23|0,2018-08-20,炼化及贸易,2018-08-23,300135.SZ,002221.SZ,-0.01067764845,0.007611626225,0.03215624384
2018-08-20|炼化及贸易|2018-08-29|1,2018-08-20,炼化及贸易,2018-08-29,600688.SH,600028.SH,0.02354177614,0.02209668944,0.05505517604
2018-08-20|炼化及贸易|2018-09-04|0,2018-08-20,炼化及贸易,2018-09-04,000059.SZ,000819.SZ,0.02729974428,0.02691386182,-0.01545113691
2018-08-20|炼化及贸易|2018-09-04|1,2018-08-20,炼化及贸易,2018-09-04,601857.SH,600688.SH,0.003952162103,0.009790290812,0.02329458412
2018-08-20|炼化及贸易|2018-09-06|0,2018-08-20,炼化及贸易,2018-09-06,002493.SZ,601857.SH,0.005787564404,-0.04279117451,-0.05561056395
2018-08-20|炼化及贸易|2018-09-13|1,2018-08-20,炼化及贸易,2018-09-13,600688.SH,601857.SH,-0.01535529943,-0.01299958683,
2018-08-27|通信设备|2018-08-30|0,2018-08-27,通信设备,2018-08-30,300711.SZ,600522.SH,0.0697834038,0.0467346872,0.09736656252
2018-08-27|通信设备|2018-08-31|0,2018-08-27,通信设备,2018-08-31,600522.SH,300711.SZ,0.00399868365,0.01299895879,-0.02026046471
2018-08-27|通信设备|2018-09-06|0,2018-08-27,通信设备,2018-09-06,002583.SZ,300638.SZ,0.0202246513,0.04475295319,0.03797488918
2018-08-27|通信设备|2018-09-06|1,2018-08-27,通信设备,2018-09-06,300098.SZ,600522.SH,-0.006557646429,-0.02041238619,-0.02523552753
2018-08-27|通信设备|2018-09-10|0,2018-08-27,通信设备,2018-09-10,300353.SZ,300098.SZ,-0.001345908488,0.004475520977,-0.02064143297
2018-08-27|通信设备|2018-09-17|0,2018-08-27,通信设备,2018-09-17,300638.SZ,002583.SZ,-0.002862542929,-0.01836529217,-0.007121534428
2018-08-27|通信设备|2018-09-17|1,2018-08-27,通信设备,2018-09-17,600522.SH,300353.SZ,-0.007462248076,-0.009518773136,-0.003261061167
2018-08-27|通信设备|2018-09-20|0,2018-08-27,通信设备,2018-09-20,002897.SZ,002583.SZ,-0.00287763826,0.01066580025,-0.03172600959
2018-09-03|房地产开发|2018-09-04|0,2018-09-03,房地产开发,2018-09-04,000069.SZ,001979.SZ,0.01352500039,0.02915552614,0.008571197395
2018-09-03|房地产开发|2018-09-04|1,2018-09-03,房地产开发,2018-09-04,002208.SZ,002146.SZ,-0.009785710276,0.01736481489,0.02746296491
2018-09-03|房地产开发|2018-09-07|0,2018-09-03,房地产开发,2018-09-07,000014.SZ,600325.SH,-0.04158732427,-0.004225989556,0.009189005141
2018-09-03|房地产开发|2018-09-07|1,2018-09-03,房地产开发,2018-09-07,600773.SH,600383.SH,0.01580790075,0.04464836693,0.07954469153
2018-09-03|房地产开发|2018-09-14|0,2018-09-03,房地产开发,2018-09-14,002146.SZ,600773.SH,0.007586267869,0.04098148828,0.07371363284
2018-09-03|房地产开发|2018-09-17|0,2018-09-03,房地产开发,2018-09-17,600604.SH,002146.SZ,0.009444203213,-0.01033977421,-0.04195614416
2018-09-03|房地产开发|2018-09-18|0,2018-09-03,房地产开发,2018-09-18,000011.SZ,002016.SZ,-0.06309288941,-0.04044998405,-0.04306073709
2018-09-03|房地产开发|2018-09-19|0,2018-09-03,房地产开发,2018-09-19,000926.SZ,000069.SZ,-0.02513277861,0.01582278481,0.003235372223
2018-09-03|房地产开发|2018-09-19|1,2018-09-03,房地产开发,2018-09-19,600773.SH,600383.SH,-0.02167838162,-0.01460226299,-0.03782644723
2018-09-03|房地产开发|2018-09-21|0,2018-09-03,房地产开发,2018-09-21,601588.SH,000011.SZ,-0.0005437444891,0.01605760752,0.03535318899
2018-09-03|房地产开发|2018-10-08|0,2018-09-03,房地产开发,2018-10-08,601588.SH,000011.SZ,-0.02199361948,-0.08198808046,-0.05474304827
2018-09-03|航空装备Ⅱ|2018-09-11|0,2018-09-03,航空装备Ⅱ,2018-09-11,600391.SH,600893.SH,-0.008628650104,0.01931055584,-0.00230576552
2018-09-03|航空装备Ⅱ|2018-09-17|0,2018-09-03,航空装备Ⅱ,2018-09-17,600316.SH,600391.SH,-0.00301982437,0.00405469918,-0.003724921167
2018-09-03|航空装备Ⅱ|2018-09-25|0,2018-09-03,航空装备Ⅱ,2018-09-25,600893.SH,600316.SH,-0.00394091292,-0.001166348009,-0.01217378374
2018-09-10|房地产开发|2018-09-14|0,2018-09-10,房地产开发,2018-09-14,600340.SH,600773.SH,0.01734402077,0.03497466511,0.05364802625
2018-09-10|房地产开发|2018-09-17|0,2018-09-10,房地产开发,2018-09-17,600604.SH,600340.SH,-0.001275510204,0.01573129252,-0.01445578231
2018-09-10|房地产开发|2018-09-18|0,2018-09-10,房地产开发,2018-09-18,000011.SZ,002016.SZ,-0.06309288941,-0.04044998405,-0.04306073709
2018-09-10|房地产开发|2018-09-19|0,2018-09-10,房地产开发,2018-09-19,000926.SZ,000011.SZ,-0.01561264822,0.02424749164,0.03089084828
2018-09-10|房地产开发|2018-09-19|1,2018-09-10,房地产开发,2018-09-19,600340.SH,000014.SZ,0.02040688739,0.0405779933,0.0775956862
2018-09-10|房地产开发|2018-09-19|2,2018-09-10,房地产开发,2018-09-19,600773.SH,000069.SZ,-0.04215522985,-0.01180879414,-0.03286142572
2018-09-10|房地产开发|2018-09-21|0,2018-09-10,房地产开发,2018-09-21,601588.SH,000926.SZ,-0.0101640456,-0.0004843866051,0.02576129428
