audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank,daily_raw_close,minute_raw_close,binary_close_equal,daily_close_integer_cents,minute_close_integer_cents,integer_cent_difference,raw_close_signed_difference,raw_close_absolute_difference,coordinate_scale,coordinate_close,mapped_minute_close,support_low10,support_low20,support_low40,primary_level_tested,primary_penetration_depth,primary_close_below_fraction,primary_minimum_bar_index,primary_close_recovery_from_minimum,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at,h10_cont_signed_test_geometry,h10_cont_tested,h10_cont_penetration_depth,h10_cont_time_beyond_level,h10_cont_test_recurrence,h10_cont_closing_level_state,h10_cont_recovery_completion,h10_cont_recovery_speed,h10_cont_recovery_amplitude,h10_cont_recovery_volume_intensity,h10_auction_signed_test_geometry,h10_auction_tested,h10_auction_penetration_depth,h10_auction_time_beyond_level,h10_auction_test_recurrence,h10_auction_closing_level_state,h10_auction_recovery_completion,h10_auction_recovery_speed,h10_auction_recovery_amplitude,h10_auction_recovery_volume_intensity,h20_cont_signed_test_geometry,h20_cont_tested,h20_cont_penetration_depth,h20_cont_time_beyond_level,h20_cont_test_recurrence,h20_cont_closing_level_state,h20_cont_recovery_completion,h20_cont_recovery_speed,h20_cont_recovery_amplitude,h20_cont_recovery_volume_intensity,h20_auction_signed_test_geometry,h20_auction_tested,h20_auction_penetration_depth,h20_auction_time_beyond_level,h20_auction_test_recurrence,h20_auction_closing_level_state,h20_auction_recovery_completion,h20_auction_recovery_speed,h20_auction_recovery_amplitude,h20_auction_recovery_volume_intensity,h40_cont_signed_test_geometry,h40_cont_tested,h40_cont_penetration_depth,h40_cont_time_beyond_level,h40_cont_test_recurrence,h40_cont_closing_level_state,h40_cont_recovery_completion,h40_cont_recovery_speed,h40_cont_recovery_amplitude,h40_cont_recovery_volume_intensity,h40_auction_signed_test_geometry,h40_auction_tested,h40_auction_penetration_depth,h40_auction_time_beyond_level,h40_auction_test_recurrence,h40_auction_closing_level_state,h40_auction_recovery_completion,h40_auction_recovery_speed,h40_auction_recovery_amplitude,h40_auction_recovery_volume_intensity,relative_rank__h20_cont_signed_test_geometry,relative_rank__h20_cont_time_beyond_level,relative_rank__h20_cont_test_recurrence,relative_rank__h20_cont_closing_level_state,relative_rank__h20_cont_recovery_speed,relative_rank__h20_cont_recovery_amplitude,relative_rank__h20_cont_recovery_volume_intensity
ACTION|2018|01|300207.SZ|2018-05-18,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,300207.SZ,300207,2018-05-18,2018,,,1,11.01,11.010000228881836,False,1101,1101,0,2.2888183615066282e-07,2.2888183615066282e-07,0.099347806664879801,1.0938193513803274,1.0938193741192357,1.0536585365853659,0.97853658536585364,0.97853658536585364,False,0,0,27,0.0182748767758509,False,False,1,0,False,PITB-80B916173F29877FD683,2018-05-18T15:30:00+08:00,0.021143663950034641,False,0,0,0,0.038115609696496078,,,,,0.021143663950034641,False,0,0,0,0.038115609696496078,,,,,0.099536547423766164,False,0,0,0,0.1178114241996171,,,,,0.099536547423766164,False,0,0,0,0.1178114241996171,,,,,0.099536547423766164,False,0,0,0,0.1178114241996171,,,,,0.099536547423766164,False,0,0,0,0.1178114241996171,,,,,,,,,,,
ACTION|2018|02|600219.SH|2018-05-04,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600219.SH,600219,2018-05-04,2018,,,2,3.1000000000000001,3.0999999046325684,False,310,310,0,-9.5367431729442855e-08,9.5367431729442855e-08,0.27258837419265231,0.84502395999722235,0.84502393400116915,0.82620320855614993,0.82620320855614993,0.81818181818181845,False,0,0,2,0.0098978596818263993,False,False,1,0,False,PITB-80B916173F29877FD683,2018-05-04T15:30:00+08:00,0.012881918041270923,False,0,0,0,0.022779777723097583,,,,,0.012881918041270923,False,0,0,0,0.022779777723097583,,,,,0.012881918041270923,False,0,0,0,0.022779777723097583,,,,,0.012881918041270923,False,0,0,0,0.022779777723097583,,,,,0.022812132924028505,False,0,0,0,0.032807030445872964,,,,,0.022812132924028505,False,0,0,0,0.032807030445872964,,,,,,,,,,,
ACTION|2018|03|603727.SH|2018-06-15,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603727.SH,603727,2018-06-15,2018,,,3,15.44,15.479999542236328,False,1544,1548,4,0.039999542236328602,0.039999542236328602,0.043021650711704697,0.66425428698872158,0.66597513332344105,0.68030690537084382,0.68030690537084382,0.67007672634271087,True,0.032449532853114797,0.70539419087136934,79,0.011382905520278401,False,False,1,0,False,PITB-80B916173F29877FD683,2018-06-15T15:30:00+08:00,-0.032449532853116692,True,0.032449532853116692,0.70833333333333337,2,-0.021066627332838039,True,0,0.01138290552027865,1.7548015035271098,-0.032449532853116692,True,0.032449532853116692,0.70539419087136934,2,-0.021066627332838039,True,0,0.01138290552027865,1.7576784797123781,-0.032449532853116692,True,0.032449532853116692,0.70833333333333337,2,-0.021066627332838039,True,0,0.01138290552027865,1.7548015035271098,-0.032449532853116692,True,0.032449532853116692,0.70539419087136934,2,-0.021066627332838039,True,0,0.01138290552027865,1.7576784797123781,-0.017677769995912418,True,0.017677769995912418,0.68333333333333335,1,-0.0061210796585302596,False,,0.011556690337382139,,-0.017677769995912418,True,0.017677769995912418,0.68049792531120334,1,-0.0061210796585302596,False,,0.011556690337382139,,,,,,,,
ACTION|2018|04|000615.SZ|2018-06-11,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,000615.SZ,615,2018-06-11,2018,,,4,6.8899999999999997,6.8899998664855957,False,689,689,0,-1.3351440397713077e-07,1.3351440397713077e-07,0.1031788657368384,0.71090238492681701,0.71090237115095234,0.71823770491803263,0.71823770491803263,0.71823770491803263,True,0.013086070321118901,0.34854771784232358,198,0.0028731091846418999,False,False,1,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00,-0.013086070321119525,True,0.013086070321119525,0.34999999999999998,3,-0.010212961136477738,True,2,0.0028731091846418083,1.9102817126085088,-0.013086070321119525,True,0.013086070321119525,0.34854771784232363,3,-0.010212961136477738,True,2,0.0028731091846418083,1.9060079894751318,-0.013086070321119525,True,0.013086070321119525,0.34999999999999998,3,-0.010212961136477738,True,2,0.0028731091846418083,1.9102817126085088,-0.013086070321119525,True,0.013086070321119525,0.34854771784232363,3,-0.010212961136477738,True,2,0.0028731091846418083,1.9060079894751318,-0.013086070321119525,True,0.013086070321119525,0.34999999999999998,3,-0.010212961136477738,True,2,0.0028731091846418083,1.9102817126085088,-0.013086070321119525,True,0.013086070321119525,0.34854771784232363,3,-0.010212961136477738,True,2,0.0028731091846418083,1.9060079894751318,,,,,,,
ACTION|2018|05|600059.SH|2018-05-16,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600059.SH,600059,2018-05-16,2018,,,5,8.8100000000000005,8.8100004196166992,False,881,881,0,4.1961669872137014e-07,4.1961669872137014e-07,0.1079474802463453,0.95101730097030279,0.95101734626686796,0.85805763073639252,0.84738527214514403,0.84738527214514403,False,0,0,2,0.022930041418008699,False,False,1,0,False,PITB-80B916173F29877FD683,2018-05-16T15:30:00+08:00,0.085692538017607012,False,0,0,0,0.10833737991549142,,,,,0.085692538017607012,False,0,0,0,0.10833737991549142,,,,,0.099366247564428134,False,0,0,0,0.12229628898243683,,,,,0.099366247564428134,False,0,0,0,0.12229628898243683,,,,,0.099366247564428134,False,0,0,0,0.12229628898243683,,,,,0.099366247564428134,False,0,0,0,0.12229628898243683,,,,,,,,,,,
ACTION|2019|01|603345.SH|2019-06-19,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603345.SH,603345,2019-06-19,2019,,,1,49.009999999999998,49.009998321533203,False,4901,4901,0,-1.6784667948854803e-06,1.6784667948854803e-06,0.042007038355352903,2.0587649497958465,2.058764879288427,1.8762578343492455,1.8341556256691136,1.5932142730243981,False,0,0,177,0.0066417043172472996,False,False,1,0,False,PITB-80B916173F29877FD683,2019-06-19T15:30:00+08:00,0.09077916823768839,False,0,0,0,0.097271836310536264,,,,,0.09077916823768839,False,0,0,0,0.097271836310536264,,,,,0.11581750823587167,False,0,0,0,0.12245921255311898,,,,,0.11581750823587167,False,0,0,0,0.12245921255311898,,,,,0.2845622805436514,False,0,0,0,0.29220840796277447,,,,,0.2845622805436514,False,0,0,0,0.29220840796277447,,,,,,,,,,,
ACTION|2019|02|002733.SZ|2019-05-27,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,002733.SZ,2733,2019-05-27,2019,,,2,22.879999999999999,22.879999160766602,False,2288,2288,0,-8.3923339744274028e-07,8.3923339744274028e-07,0.058404026929322402,1.3362841361428988,1.3362840871282888,1.2206103431190505,1.2206103431190505,1.2206103431190505,False,0,0,4,0.054068443535290799,False,False,1,0,False,PITB-80B916173F29877FD683,2019-05-27T15:30:00+08:00,0.040698690514755498,False,0,0,0,0.094767134050046442,,,,,0.040698690514755498,False,0,0,0,0.094767134050046442,,,,,0.040698690514755498,False,0,0,0,0.094767134050046442,,,,,0.040698690514755498,False,0,0,0,0.094767134050046442,,,,,0.040698690514755498,False,0,0,0,0.094767134050046442,,,,,0.040698690514755498,False,0,0,0,0.094767134050046442,,,,,,,,,,,
ACTION|2019|03|603659.SH|2019-04-18,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603659.SH,603659,2019-04-18,2019,,,3,52.399999999999999,52.400001525878906,False,5240,5240,0,1.5258789076710857e-06,1.5258789076710857e-06,0.0180444732186213,0.94553039665575944,0.94553042418944044,0.89680208039753118,0.89680208039753118,0.85938310758797187,False,0,0,46,0.0028169917605648,False,False,1,0,False,PITB-80B916173F29877FD683,2019-04-18T15:30:00+08:00,0.051518680353739299,False,0,0,0,0.054335672114304012,,,,,0.051518680353739299,False,0,0,0,0.054335672114304012,,,,,0.051518680353739299,False,0,0,0,0.054335672114304012,,,,,0.051518680353739299,False,0,0,0,0.054335672114304012,,,,,0.097303556227474663,False,0,0,0,0.1002432045042807,,,,,0.097303556227474663,False,0,0,0,0.1002432045042807,,,,,,,,,,,
ACTION|2019|04|600182.SH|2019-06-27,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600182.SH,600182,2019-06-27,2019,,,4,17.16,17.159999847412109,False,1716,1716,0,-1.5258789076710857e-07,1.5258789076710857e-07,0.042076998027814901,0.72204128615730412,0.72204127973686383,0.71451412468351905,0.70194939798920153,0.69859880420405063,False,0,0,229,0.0017983330941407001,False,False,1,0,False,PITB-80B916173F29877FD683,2019-06-27T15:30:00+08:00,0.0087679389449479839,False,0,0,0,0.010534648362169552,,,,,0.0087679389449479839,False,0,0,0,0.010534648362169552,,,,,0.026824644295991407,False,0,0,0,0.028622977390132087,,,,,0.026824644295991407,False,0,0,0,0.028622977390132087,,,,,0.031749462733861256,False,0,0,0,0.033556420926774688,,,,,0.031749462733861256,False,0,0,0,0.033556420926774688,,,,,,,,,,,
ACTION|2019|05|603733.SH|2019-06-21,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603733.SH,603733,2019-06-21,2019,,,5,15.31,15.310000419616699,False,1531,1531,0,4.1961669872137014e-07,4.1961669872137014e-07,0.0524141097435964,0.80246002017446205,0.8024600421682978,0.74201616480212806,0.73732974691916742,0.71858407538732405,False,0,0,11,0.015639024721096299,False,False,1,0,False,PITB-80B916173F29877FD683,2019-06-21T15:30:00+08:00,0.065918724613692969,False,0,0,0,0.081458976547077011,,,,,0.065918724613692969,False,0,0,0,0.081458976547077011,,,,,0.072693631761661104,False,0,0,0,0.088332656482757343,,,,,0.072693631761661104,False,0,0,0,0.088332656482757343,,,,,0.10067694389457427,False,0,0,0,0.11672394317361201,,,,,0.10067694389457427,False,0,0,0,0.11672394317361201,,,,,,,,,,,
