family,trade_date,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,entry_status,natural_status,natural_net_return
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000697.SZ,航空装备Ⅱ,0.6666666667,1,10,64880169.29,EXECUTABLE,COMPLETE,0.1811131133
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300696.SZ,航空装备Ⅱ,0.6666666667,2,10,66638269,EXECUTABLE,COMPLETE,-0.2670718633
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300719.SZ,航空装备Ⅱ,0.6666666667,3,10,70772518.77,EXECUTABLE,COMPLETE,-0.2090712737
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600038.SH,航空装备Ⅱ,0.6666666667,4,10,197623149.9,EXECUTABLE,COMPLETE,-0.1569106584
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600316.SH,航空装备Ⅱ,0.6666666667,5,10,66655685.3,EXECUTABLE,COMPLETE,-0.08667872588
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000738.SZ,航空装备Ⅱ,0.5833333333,6,10,176928684.2,EXECUTABLE,COMPLETE,-0.1084497671
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000768.SZ,航空装备Ⅱ,0.5833333333,7,10,268239872.3,EXECUTABLE,COMPLETE,-0.1152027234
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,002023.SZ,航空装备Ⅱ,0.5833333333,8,10,554556816.3,EXECUTABLE,COMPLETE,-0.117605094
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300699.SZ,航空装备Ⅱ,0.5833333333,9,10,103518485.8,EXECUTABLE,COMPLETE,-0.1193731878
arm0_baseline,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600372.SH,航空装备Ⅱ,0.5833333333,10,10,83682412.85,EXECUTABLE,COMPLETE,-0.09440772633
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,002223.SZ,医疗器械,0.8947368421,1,10,206141825.3,EXECUTABLE,COMPLETE,-0.08878993981
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300642.SZ,医疗器械,0.8947368421,2,10,52793009.69,EXECUTABLE,COMPLETE,-0.1501065301
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300653.SZ,医疗器械,0.8947368421,3,10,152087177.5,EXECUTABLE,COMPLETE,-0.1499425567
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300142.SZ,生物制品,0.875,4,10,353527179.1,EXECUTABLE,COMPLETE,-0.01749563052
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600645.SH,生物制品,0.875,5,10,296723466.2,EXECUTABLE,COMPLETE,0.01976682743
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,000547.SZ,军工电子Ⅱ,0.8666666667,6,10,97399436.43,EXECUTABLE,COMPLETE,-0.06010514183
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600855.SH,军工电子Ⅱ,0.8666666667,7,10,99834780.2,EXECUTABLE,COMPLETE,-0.05421805961
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600990.SH,军工电子Ⅱ,0.8666666667,8,10,72039921.05,EXECUTABLE,COMPLETE,-0.1843925632
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,000697.SZ,航空装备Ⅱ,0.8461538462,9,10,59554448.6,EXECUTABLE,COMPLETE,0.1665760638
arm0_baseline,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300696.SZ,航空装备Ⅱ,0.8461538462,10,10,73796003.13,EXECUTABLE,COMPLETE,-0.2059628099
