cohort_id,industry,decision_date,rank_correlation,selection_overlap,changed_fraction,replacements_requested
2018-07-16,航空装备Ⅱ,2018-08-08,1,1,0,0
2018-07-16,航空装备Ⅱ,2018-08-09,1,0.5,0.5,1
2018-07-16,航空装备Ⅱ,2018-08-10,1,1,0,0
2018-07-23,专业工程,2018-07-24,1,1,0,0
2018-07-23,专业工程,2018-07-25,1,1,0,0
2018-07-23,专业工程,2018-07-26,0.991031209,1,0,0
2018-07-23,专业工程,2018-07-27,1,1,0,0
2018-07-23,专业工程,2018-07-30,1,1,0,0
2018-07-23,专业工程,2018-07-31,0.4939759036,0,1,1
2018-07-23,专业工程,2018-08-01,1,1,0,0
2018-07-23,专业工程,2018-08-02,0.9940297974,1,0,0
2018-07-23,专业工程,2018-08-03,1,1,0,0
2018-07-23,专业工程,2018-08-06,1,1,0,0
2018-07-23,专业工程,2018-08-07,0.6428571429,0,1,1
2018-07-23,专业工程,2018-08-08,1,1,0,0
2018-07-23,专业工程,2018-08-09,0.9761904762,0,1,1
2018-07-23,专业工程,2018-08-10,1,1,0,0
2018-07-23,专业工程,2018-08-13,0.9285714286,1,0,0
2018-07-23,专业工程,2018-08-14,1,1,0,0
2018-07-23,专业工程,2018-08-15,0.3333333333,0,1,1
2018-07-23,专业工程,2018-08-16,1,1,0,0
2018-07-23,专业工程,2018-08-17,1,1,0,0
2018-07-23,元件,2018-07-24,0.9785714286,1,0,0
2018-07-23,元件,2018-07-25,1,1,0,0
2018-07-23,元件,2018-07-26,0.9,0.75,0.25,1
2018-07-23,元件,2018-07-27,0.9142857143,0.5,0.5,2
2018-07-23,元件,2018-07-30,1,1,0,0
2018-07-23,元件,2018-07-31,1,1,0,0
2018-07-23,元件,2018-08-01,1,1,0,0
2018-07-23,元件,2018-08-02,1,0.75,0.25,1
2018-07-23,元件,2018-08-03,1,1,0,0
2018-07-23,元件,2018-08-06,0.9558282209,0.75,0.25,1
2018-07-23,元件,2018-08-07,0.8527607362,0.75,0.25,1
2018-07-23,元件,2018-08-08,1,1,0,0
2018-07-23,元件,2018-08-09,0.8595041322,0.5,0.5,2
2018-07-23,元件,2018-08-10,0.9852941176,1,0,0
2018-07-23,元件,2018-08-13,0.9852941176,1,0,0
2018-07-23,元件,2018-08-14,1,1,0,0
2018-07-23,元件,2018-08-15,0.6142857143,0.75,0.25,1
2018-07-23,元件,2018-08-16,1,0.75,0.25,1
2018-07-23,元件,2018-08-17,1,0.75,0.25,1
2018-07-23,数字媒体,2018-07-24,1,1,0,0
2018-07-23,数字媒体,2018-07-25,1,1,0,0
2018-07-23,数字媒体,2018-07-26,1,1,0,0
2018-07-23,数字媒体,2018-07-27,0.08571428571,0,1,1
2018-07-23,数字媒体,2018-07-30,1,1,0,0
2018-07-23,数字媒体,2018-07-31,1,1,0,0
2018-07-23,数字媒体,2018-08-01,1,1,0,0
2018-07-23,数字媒体,2018-08-02,1,1,0,0
2018-07-23,数字媒体,2018-08-03,1,1,0,0
2018-07-23,数字媒体,2018-08-06,0.9428571429,0,1,1
2018-07-23,数字媒体,2018-08-07,0.4285714286,0,1,1
2018-07-23,数字媒体,2018-08-08,1,1,0,0
2018-07-23,数字媒体,2018-08-09,0.9428571429,1,0,0
2018-07-23,数字媒体,2018-08-10,1,1,0,0
2018-07-23,数字媒体,2018-08-13,1,1,0,0
2018-07-23,数字媒体,2018-08-14,0.3714285714,0,1,1
2018-07-23,数字媒体,2018-08-15,1,1,0,0
2018-07-23,数字媒体,2018-08-16,1,1,0,0
2018-07-23,数字媒体,2018-08-17,1,1,0,0
2018-07-23,炼化及贸易,2018-07-24,0.7380952381,1,0,0
2018-07-23,炼化及贸易,2018-07-25,0.9285714286,0,1,1
2018-07-23,炼化及贸易,2018-07-26,0.9761904762,0,1,1
2018-07-23,炼化及贸易,2018-07-27,1,1,0,0
2018-07-23,炼化及贸易,2018-07-30,1,1,0,0
2018-07-23,炼化及贸易,2018-07-31,1,1,0,0
2018-07-23,炼化及贸易,2018-08-01,1,1,0,0
2018-07-23,炼化及贸易,2018-08-02,0.9761904762,1,0,0
2018-07-23,炼化及贸易,2018-08-03,1,1,0,0
2018-07-23,炼化及贸易,2018-08-06,0.95,1,0,0
2018-07-23,炼化及贸易,2018-08-07,0.7833333333,0,1,1
2018-07-23,炼化及贸易,2018-08-08,1,1,0,0
2018-07-23,炼化及贸易,2018-08-09,1,1,0,0
2018-07-23,炼化及贸易,2018-08-10,1,1,0,0
2018-07-23,炼化及贸易,2018-08-13,1,1,0,0
2018-07-23,炼化及贸易,2018-08-14,1,1,0,0
2018-07-23,炼化及贸易,2018-08-15,1,1,0,0
2018-07-23,炼化及贸易,2018-08-16,1,1,0,0
2018-07-23,炼化及贸易,2018-08-17,1,1,0,0
