selection_hash,closing_arm,symbol,trade_date,field,expected_value,observed_value,exact_match
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_offset_h5,3,3,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_open_h1,0.69961581616490875,0.69961581616490875,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_open_h3,0.69830074884129045,0.69830074884129045,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_open_h5,0.69830074884129045,0.69830074884129045,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_session_intraday_h1,-0.024739606175755789,-0.024739606175755789,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_session_intraday_h3,-0.02478677898245582,-0.02478677898245582,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,trough_session_intraday_h5,-0.02478677898245582,-0.02478677898245582,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,adverse_log_excursion_h1,-0.04445176257083381,-0.04445176257083381,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,adverse_log_excursion_h3,-0.074107972153721849,-0.074107972153721849,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,adverse_log_excursion_h5,-0.074107972153721849,-0.074107972153721849,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,closing_arm,accepted,accepted,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,coordinate_close_t,0.61578632501608077,0.61578632501608077,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,coordinate_close_t1,0.59283776631982932,0.59283776631982932,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,coordinate_close_t3,0.63618504385719321,0.63618504385719321,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,coordinate_close_t5,0.70120596016323888,0.70120596016323888,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_low_t1,0.58901300653712074,0.58901300653712074,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_low_t2,0.57180158751493215,0.57180158751493215,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_low_t3,0.62407330454528265,0.62407330454528265,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_low_t4,0.61961108479878935,0.61961108479878935,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_low_t5,0.66168344240858368,0.66168344240858368,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_open_t1,0.60303712574038559,0.60303712574038559,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_open_t2,0.58965046650090547,0.58965046650090547,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_open_t3,0.63108536414691507,0.63108536414691507,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_open_t4,0.64574694331396465,0.64574694331396465,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,mapped_open_t5,0.66168344240858368,0.66168344240858368,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,post_trough_recovery_h1,0.0064725145056174771,0.0064725145056174771,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,post_trough_recovery_h3,0.10669741425266782,0.10669741425266782,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,post_trough_recovery_h5,0.20400959672766561,0.20400959672766561,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,preopen_path_to_trough_h1,-0.020921265160639569,-0.020921265160639569,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,preopen_path_to_trough_h3,-0.043370096700092869,-0.043370096700092869,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,preopen_path_to_trough_h5,-0.043370096700092869,-0.043370096700092869,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,resistance_high20,0.60749934548687901,0.60749934548687901,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,terminal_log_return_h1,-0.037979248065216333,-0.037979248065216333,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,terminal_log_return_h3,0.032589442098945966,0.032589442098945966,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,terminal_log_return_h5,0.12990162457394377,0.12990162457394377,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_offset_h1,1,1,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_offset_h3,2,2,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_offset_h5,2,2,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_open_h1,0.60303712574038559,0.60303712574038559,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_open_h3,0.58965046650090547,0.58965046650090547,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_open_h5,0.58965046650090547,0.58965046650090547,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_session_intraday_h1,-0.023530497410194241,-0.023530497410194241,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_session_intraday_h3,-0.030737875453628979,-0.030737875453628979,True
00006ce4531d4fdb1f12a97f9653d2423e48da2af04d5307d6e9b9af3452a058,accepted,603696.SH,2020-03-18,trough_session_intraday_h5,-0.030737875453628979,-0.030737875453628979,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,adverse_log_excursion_h1,0.005390848634876373,0.005390848634876373,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,adverse_log_excursion_h3,0.0018001805041478473,0.0018001805041478473,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,adverse_log_excursion_h5,0.0018001805041478473,0.0018001805041478473,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,closing_arm,accepted,accepted,True
