trade_date,symbol,score,score_quintile,round_trip_return,entry_execution_date,exit_execution_date,holding_days
2020-02-21,300702.SZ,-0.007157684442042463,2.0,0.04794457368266778,2020-02-24,2020-03-13,18
2020-04-27,300146.SZ,-0.005180276077894683,2.0,0.006024522101692434,2020-04-28,2020-04-30,2
2020-05-14,300396.SZ,-0.005523081899590193,2.0,0.0011152564249909335,2020-05-15,2020-05-26,11
2020-05-08,300633.SZ,-0.004785890203448894,2.0,0.09409245399221572,2020-05-11,2020-05-26,15
2020-05-19,300770.SZ,-0.0053197290365604236,1.0,-0.06865727565354943,2020-05-20,2020-05-26,6
2020-06-08,300227.SZ,-0.006743038574980357,1.0,-0.06544856006062888,2020-06-09,2020-06-15,6
2020-06-22,300042.SZ,-0.007280875438564279,1.0,-0.1337596655730273,2020-06-23,2020-07-02,9
2020-07-01,300613.SZ,-0.004380412793973471,3.0,-0.03534621431752298,2020-07-02,2020-07-20,18
2020-06-15,300020.SZ,-0.016655162113502837,1.0,-0.022991268749169833,2020-06-16,2020-07-28,42
2020-06-19,300033.SZ,-0.005390461148932642,2.0,0.13073451201742245,2020-06-22,2020-07-28,36
2020-06-16,300037.SZ,-0.0034743368632165236,5.0,0.18737538658121042,2020-06-17,2020-07-28,41
2020-06-16,300059.SZ,-0.003990119227499708,3.0,0.49072891935232765,2020-06-17,2020-07-28,41
2020-06-22,300087.SZ,-0.01733352276575807,1.0,0.09214596470873189,2020-06-23,2020-07-28,35
2020-06-17,300226.SZ,-0.0067305713185074525,3.0,0.061640361721370905,2020-06-18,2020-07-28,40
2020-06-22,300348.SZ,-0.005972510408300948,2.0,0.11775910603870117,2020-06-23,2020-07-28,35
2020-06-18,300394.SZ,-0.006735174275671671,1.0,0.230501410733969,2020-06-19,2020-07-28,39
2020-06-23,300601.SZ,-0.004022853908173842,3.0,0.3135709906357937,2020-06-24,2020-07-28,34
2020-07-31,300357.SZ,-0.0037935215701931464,3.0,-0.07556007108379535,2020-08-03,2020-08-13,10
2020-09-03,300595.SZ,-0.006036954544566191,2.0,-0.13691038888119178,2020-09-04,2020-09-08,4
2020-08-28,300702.SZ,-0.005118227303286924,1.0,-0.08523986470349128,2020-08-31,2020-09-09,9
2020-08-28,300529.SZ,-0.004280114834988456,2.0,-0.08261760949119003,2020-08-31,2020-09-10,10
2020-08-27,300725.SZ,-0.010276019501222974,1.0,-0.11972128230677709,2020-08-28,2020-09-10,13
2020-09-08,300075.SZ,-0.0059642630140053785,2.0,-0.14073614011868368,2020-09-09,2020-09-11,2
2020-09-02,300194.SZ,-0.007419292618760583,1.0,-0.11038927916482269,2020-09-03,2020-09-11,8
2020-08-25,300452.SZ,-0.011069990098009349,1.0,-0.09374434056381696,2020-08-26,2020-09-11,16
2020-10-09,300124.SZ,-0.005481733541621861,1.0,0.2630661942559049,2020-10-12,2020-11-03,22
2020-10-16,300177.SZ,-0.014139099925715283,1.0,-0.019651347734217926,2020-10-19,2020-11-03,15
2020-10-12,300408.SZ,-0.004550417638565057,2.0,-0.004757687518394682,2020-10-13,2020-11-03,21
2020-10-28,300409.SZ,-0.008528054023978717,1.0,0.06753204571642289,2020-10-29,2020-11-03,5
2020-10-26,300503.SZ,-0.007106946708215869,1.0,0.027204474416682254,2020-10-27,2020-11-03,7
2020-10-09,300750.SZ,-0.005155716524465794,1.0,0.13807245386192754,2020-10-12,2020-11-03,22
2020-12-04,300347.SZ,-0.006024123205403986,1.0,0.0847508012739024,2020-12-07,2020-12-11,4
2020-12-04,300408.SZ,-0.0038372582193321554,5.0,-0.003444381705251262,2020-12-07,2020-12-11,4
2020-12-25,300015.SZ,-0.003008700349476479,5.0,-0.02633951414439223,2020-12-28,2020-12-30,2
2020-12-21,300408.SZ,-0.0038289405800618673,2.0,-0.0030920025439071528,2020-12-22,2020-12-30,8
2020-12-15,300750.SZ,-0.0055998942527146585,1.0,0.13975959800370932,2020-12-16,2020-12-30,14
2021-01-07,300012.SZ,-0.004981183930633738,2.0,0.01886495957777647,2021-01-08,2021-02-01,24
2020-12-30,300015.SZ,-0.003494403379433538,5.0,0.06638236509597381,2020-12-31,2021-02-01,32
2021-04-08,300009.SZ,-0.006719205911423282,1.0,0.04246164152377524,2021-04-09,2021-04-14,5
2021-04-16,300674.SZ,-0.005184285263903302,1.0,-0.06836826297169717,2021-04-19,2021-04-27,8
2021-04-14,300835.SZ,-0.006867165195984943,1.0,-0.09556976904611268,2021-04-15,2021-04-27,12
2021-04-29,300119.SZ,-0.004867247991998431,2.0,-0.036201667351989736,2021-04-30,2021-05-11,11
2021-04-28,300151.SZ,-0.00521914388822697,2.0,-0.06656901614085248,2021-04-29,2021-05-11,12
2021-04-27,300453.SZ,-0.00471539705146018,2.0,0.040429829346725586,2021-04-28,2021-05-11,13
2021-06-03,300558.SZ,-0.005527303496301572,1.0,-0.12361872229361891,2021-06-04,2021-06-16,12
2021-05-27,300101.SZ,-0.004070754587604643,3.0,0.046331342491247436,2021-05-28,2021-07-01,34
2021-05-27,300394.SZ,-0.005238184654220077,2.0,-0.005882408993605445,2021-05-28,2021-07-01,34
2021-06-18,300030.SZ,-0.0040068948745528386,3.0,-0.04016069704947376,2021-06-21,2021-07-06,15
2021-06-08,300725.SZ,-0.005697375097564084,2.0,-0.043298276391421094,2021-06-09,2021-07-06,27
2021-05-12,300587.SZ,-0.013993062629118378,1.0,0.07096766401120821,2021-05-13,2021-07-12,60
2021-05-31,300687.SZ,-0.005941484349625781,1.0,0.02614768104336805,2021-06-01,2021-07-19,48
2021-07-21,300825.SZ,,,-0.07470013430278331,2021-07-22,2021-07-26,4
2021-07-14,300141.SZ,-0.010622524811226748,1.0,-0.05754187999119195,2021-07-15,2021-07-28,13
2021-07-14,300162.SZ,-0.0075487809230819665,1.0,0.03345322454398225,2021-07-15,2021-07-28,13
2021-06-30,300241.SZ,-0.00980140912939908,1.0,0.581343717909042,2021-07-01,2021-07-28,27
2021-07-21,300377.SZ,-0.009052564942411087,1.0,-0.08926390366048255,2021-07-22,2021-07-28,6
2021-05-28,300390.SZ,-0.009054224508467826,1.0,0.5746930304454559,2021-05-31,2021-07-28,58
2021-07-19,300441.SZ,-0.003791485845078223,4.0,-0.030009001480794013,2021-07-20,2021-07-28,8
2021-06-07,300460.SZ,-0.0049247513485219056,2.0,0.3123361081184192,2021-06-08,2021-07-28,50
2021-05-25,300638.SZ,-0.006932862837936797,1.0,0.5607834413941419,2021-05-26,2021-07-28,63
2021-05-27,300655.SZ,-0.02028155157508068,1.0,0.705457724817844,2021-05-28,2021-07-28,61
2021-08-12,300094.SZ,,,0.016106342636954873,2021-08-13,2021-08-17,4
2021-08-02,300627.SZ,-0.0036205823257866635,5.0,0.2810492077603513,2021-08-03,2021-08-17,14
2021-08-25,300538.SZ,-0.004799517194614251,2.0,0.04092233445051803,2021-08-26,2021-08-30,4
2021-09-08,300059.SZ,-0.005945332178380722,2.0,-0.03602079738443366,2021-09-09,2021-09-22,13
2021-10-15,300184.SZ,-0.01260252594844918,1.0,-0.14171828171828174,2021-10-18,2021-10-29,11
2021-11-17,300002.SZ,-0.006978142897774971,1.0,-0.05535133937888958,2021-11-18,2021-11-25,7
2021-11-19,300873.SZ,-0.0036327441237257794,4.0,-0.07846765240615898,2021-11-22,2021-11-29,7
2021-11-04,300048.SZ,-0.005782159897717136,2.0,0.18658795997973532,2021-11-05,2021-12-08,33
2021-11-15,300075.SZ,-0.007422928086045908,1.0,-0.01120932103878137,2021-11-16,2021-12-08,22
2021-11-22,300323.SZ,-0.004772045217750021,2.0,-0.07585894758639818,2021-11-23,2021-12-08,15
2021-11-17,300353.SZ,-0.019153089277071034,1.0,-0.08045391132582277,2021-11-18,2021-12-08,20
2021-11-30,300476.SZ,-0.004560104128432929,3.0,-0.0023238270055116286,2021-12-01,2021-12-08,7
2021-11-11,300661.SZ,-0.00845448959918929,1.0,-0.12778852155086515,2021-11-12,2021-12-08,26
2021-11-23,300674.SZ,-0.0058220174143286466,2.0,-0.05092916791945929,2021-11-24,2021-12-08,14
2021-11-26,300685.SZ,-0.005314265514638688,2.0,-0.09771281350228722,2021-11-29,2021-12-08,9
2021-12-14,300002.SZ,-0.007003893194617864,1.0,-0.00826360039460625,2021-12-15,2021-12-21,6
2021-12-14,300059.SZ,-0.0038070481710382248,4.0,-0.021275513836202967,2021-12-15,2021-12-21,6
2021-12-16,300161.SZ,-0.02101230909440259,1.0,-0.058551448551448615,2021-12-17,2021-12-21,4
2021-12-14,300288.SZ,-0.00624685659408094,1.0,-0.04880293685134826,2021-12-15,2021-12-21,6
2021-12-14,300531.SZ,-0.005246344289242468,2.0,-0.050837384244283884,2021-12-15,2021-12-21,6
