selection_hash,arm,symbol,trade_date,field,expected_value,observed_value,exact_match
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,adverse_log_excursion_h1,-0.024431182566660905,-0.024431182566660905,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,adverse_log_excursion_h3,-0.024431182566660905,-0.024431182566660905,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,adverse_log_excursion_h5,-0.024431182566660905,-0.024431182566660905,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,coordinate_close_t,0.87927651006711638,0.87927651006711638,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,coordinate_close_t1,0.866543624161076,0.866543624161076,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,coordinate_close_t3,0.92808590604027086,0.92808590604027086,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,coordinate_close_t5,0.87503221476510296,0.87503221476510296,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,cross20,true,true,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,mapped_low_t1,0.85805503355704926,0.85805503355704926,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,mapped_low_t2,0.85946979865772033,0.85946979865772033,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,mapped_low_t3,0.89696107382550572,0.89696107382550572,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,mapped_low_t4,0.8813986577181232,0.8813986577181232,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,mapped_low_t5,0.87503221476510296,0.87503221476510296,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,terminal_log_return_h1,-0.014586968531883888,-0.014586968531883888,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,terminal_log_return_h3,0.054024877993323318,0.054024877993323318,True
00000a22b374de4479cac5ea44f79a294357c6655c54e2c86b52805f6ed6a873,crossing,603098.SH,2019-06-24,terminal_log_return_h5,-0.0048387191182232211,-0.0048387191182232211,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,adverse_log_excursion_h1,0.0020222453807678706,0.0020222453807678706,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,adverse_log_excursion_h3,0.0020222453807678706,0.0020222453807678706,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,adverse_log_excursion_h5,0.0020222453807678706,0.0020222453807678706,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,coordinate_close_t,0.42411654088041117,0.42411654088041117,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,coordinate_close_t1,0.46275063873388989,0.46275063873388989,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,coordinate_close_t3,0.44386285756107802,0.44386285756107802,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,coordinate_close_t5,0.43699457349823739,0.43699457349823739,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,cross20,true,true,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,mapped_low_t1,0.42497507638826626,0.42497507638826626,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,mapped_low_t2,0.44128725103751276,0.44128725103751276,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,mapped_low_t3,0.44300432205322299,0.44300432205322299,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,mapped_low_t4,0.4309848249432518,0.4309848249432518,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,mapped_low_t5,0.42926775392754163,0.42926775392754163,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,terminal_log_return_h1,0.087180053721074471,0.087180053721074471,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,terminal_log_return_h3,0.045507357320506356,0.045507357320506356,True
00002c7f3e932f4949a0fc4afefc2e99e592aa9f3802110347495e6badf07b80,crossing,300506.SZ,2021-05-19,terminal_log_return_h5,0.029912499362600247,0.029912499362600247,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,adverse_log_excursion_h1,-0.017205182267129783,-0.017205182267129783,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,adverse_log_excursion_h3,-0.042591661665596782,-0.042591661665596782,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,adverse_log_excursion_h5,-0.066611497654200907,-0.066611497654200907,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,coordinate_close_t,2.9102318658611259,2.9102318658611259,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,coordinate_close_t1,2.91911853787439,2.91911853787439,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,coordinate_close_t3,2.8130913476471657,2.8130913476471657,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,coordinate_close_t5,2.7806090292538546,2.7806090292538546,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,cross20,true,true,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,mapped_low_t1,2.8605890773732341,2.8605890773732341,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,mapped_low_t2,2.8504766574960709,2.8504766574960709,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,mapped_low_t3,2.7888828273351698,2.7888828273351698,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,mapped_low_t4,2.7226924426846479,2.7226924426846479,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,mapped_low_t5,2.7272889971742678,2.7272889971742678,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,terminal_log_return_h1,0.0030489431178529667,0.0030489431178529667,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,terminal_log_return_h3,-0.033948754628416483,-0.033948754628416483,True
0000336ba787ad16c2aaa0dc3b7d017d83457f735d6bd2dd61b6938eddc242f4,crossing,300496.SZ,2020-10-13,terminal_log_return_h5,-0.045562778019043258,-0.045562778019043258,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,adverse_log_excursion_h1,-0.043785795998231951,-0.043785795998231951,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,adverse_log_excursion_h3,-0.043785795998231951,-0.043785795998231951,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,adverse_log_excursion_h5,-0.043785795998231951,-0.043785795998231951,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,coordinate_close_t,1.3715272593108971,1.3715272593108971,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,coordinate_close_t1,1.5091438614289017,1.5091438614289017,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,coordinate_close_t3,1.6560379872851989,1.6560379872851989,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,coordinate_close_t5,1.6436679556341423,1.6436679556341423,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,cross20,true,true,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,mapped_low_t1,1.3127696089683787,1.3127696089683787,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,mapped_low_t2,1.5091438614289017,1.5091438614289017,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,mapped_low_t3,1.59728033694268,1.59728033694268,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,mapped_low_t4,1.6065578606809725,1.6065578606809725,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,mapped_low_t5,1.6081041146373547,1.6081041146373547,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,terminal_log_return_h1,0.095617604103513096,0.095617604103513096,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,terminal_log_return_h3,0.18850308813816977,0.18850308813816977,True
000033a14032d053c68a9653a55e02c23dcfda2c91d94a861c7e2a42d537ee29,crossing,002687.SZ,2021-08-11,terminal_log_return_h5,0.18100539603236884,0.18100539603236884,True
0000557cebbb969baca12b444e1963e3199651eac1a5f00479f9ea14be510e25,crossing,002104.SZ,2022-02-16,adverse_log_excursion_h1,-0.105287466970844,-0.105287466970844,True
0000557cebbb969baca12b444e1963e3199651eac1a5f00479f9ea14be510e25,crossing,002104.SZ,2022-02-16,adverse_log_excursion_h3,-0.17877754835922521,-0.17877754835922521,True
