role,market_view,denominator,event_year,coordinate,horizon,outcome,n,spearman,tail_effect,low_mean,low_median,low_positive,low_p10,low_p90,low_n,high_mean,high_median,high_positive,high_p10,high_p90,high_n
closing_acceptance,ALL_A,ALL_STATUS,2018,absolute,1,downside,203,0.14749451477977429,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2018,pit,1,downside,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2018,absolute,1,terminal,203,-0.019673633859151947,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2018,pit,1,terminal,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2018,absolute,3,downside,203,0.050158477866650432,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2018,pit,3,downside,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2018,absolute,3,terminal,203,-0.008284314815458273,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2018,pit,3,terminal,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2018,absolute,5,downside,203,-0.0040152029728948409,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2018,pit,5,downside,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2018,absolute,5,terminal,203,-0.049065378665026332,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2018,pit,5,terminal,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2019,absolute,1,downside,244,0.12652338661262677,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2019,pit,1,downside,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2019,absolute,1,terminal,244,0.04012083833458728,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2019,pit,1,terminal,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2019,absolute,3,downside,244,0.028442607986702655,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2019,pit,3,downside,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2019,absolute,3,terminal,244,-0.0047974338788526515,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2019,pit,3,terminal,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2019,absolute,5,downside,244,-0.029229444968124463,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2019,pit,5,downside,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2019,absolute,5,terminal,244,-0.045541133194009001,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2019,pit,5,terminal,0,,,,,,,,0,,,,,,0
closing_acceptance,ALL_A,ALL_STATUS,2020,absolute,1,downside,243,0.071154947034077265,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2020,pit,1,downside,187,0.12087690257983771,0.0045319021387999446,-0.022073361235763835,-0.020259542477533199,0,-0.030957238317391902,-0.010808152321848879,27,-0.017541459096963891,-0.016158523079048599,0,-0.027632637457895581,-0.0077389159832558776,33
closing_acceptance,ALL_A,ALL_STATUS,2020,absolute,1,terminal,243,-0.028918105093872631,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2020,pit,1,terminal,187,-0.0014827919063051689,0.0045496838672943133,-0.00099926940313422642,0.00048895187877070004,0.55555555555555558,-0.0146766114143424,0.013225438831394083,27,0.0035504144641600871,-0.0008536318351833,0.48484848484848486,-0.010560942350935319,0.028295638149951001,33
closing_acceptance,ALL_A,ALL_STATUS,2020,absolute,3,downside,243,0.0094980311050700279,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2020,pit,3,downside,187,0.081749914666059867,0.0041088366219815646,-0.035312950848381132,-0.030006167719411399,0,-0.066406951927637584,-0.019045577640481176,27,-0.031204114226399567,-0.027821029725002101,0,-0.051772155333808183,-0.012417715747399539,33
closing_acceptance,ALL_A,ALL_STATUS,2020,absolute,3,terminal,243,0.047937165970508192,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2020,pit,3,terminal,187,0.046680417971144285,0.0049419291712231254,0.0044621139241092442,0.0035895982021914999,0.55555555555555558,-0.01886144366644622,0.034747191469828881,27,0.0094040430953323696,0.0084813384921974995,0.63636363636363635,-0.02860555211732542,0.049359018532757329,33
closing_acceptance,ALL_A,ALL_STATUS,2020,absolute,5,downside,243,0.013756965982464509,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2020,pit,5,downside,187,0.051883035612697692,-0.00027033207752968913,-0.043819421703504023,-0.040757895065842403,0,-0.073771242277051563,-0.024990774078528916,27,-0.044089753781033712,-0.0309298716241556,0,-0.089596715845439309,-0.01876210385412462,33
closing_acceptance,ALL_A,ALL_STATUS,2020,absolute,5,terminal,243,0.018662790624741587,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2020,pit,5,terminal,187,0.013137756506483545,-0.0021180913750945517,0.0088711978054169787,0.0088167190351385993,0.62962962962962965,-0.02607708213480716,0.047739923327212344,27,0.006753106430322427,0.0084771412119287997,0.5757575757575758,-0.042086200010253233,0.071701526087035866,33
closing_acceptance,ALL_A,ALL_STATUS,2021,absolute,1,downside,243,0.051452187768601977,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2021,pit,1,downside,243,0.056972247748778924,0.0039720499823509801,-0.023857385794168781,-0.020368111092640799,0,-0.041830586718735616,-0.013583816183564719,25,-0.019885335811817801,-0.020026309122315449,0,-0.02700495601161515,-0.01393863716030099,38
closing_acceptance,ALL_A,ALL_STATUS,2021,absolute,1,terminal,243,-0.0057429749019787847,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2021,pit,1,terminal,243,-0.0023931312992495997,0.0022690348520552433,-0.0019815485377559037,-0.0028398554976064999,0.47999999999999998,-0.020807760957173058,0.012363116685923102,25,0.00028748631429933942,0.00054388777821375001,0.52631578947368418,-0.011824728671938491,0.0086423908535155636,38
closing_acceptance,ALL_A,ALL_STATUS,2021,absolute,3,downside,243,0.0012072206598232669,,,,,,,,,,,,,
closing_acceptance,ALL_A,ALL_STATUS,2021,pit,3,downside,243,0.0037525703790784394,0.0015038454119835551,-0.038757224628659395,-0.0369013908178039,0,-0.058752742080580657,-0.022750460396533917,25,-0.03725337921667584,-0.031471513035189302,0,-0.05659226588952801,-0.025684468239563656,38
closing_acceptance,ALL_A,ALL_STATUS,2021,absolute,3,terminal,243,-0.057893485670894189,,,,,,,,,,,,,
