candidate_id,cluster_id,symbol,board,memory_state,causal_first_return,first_return_date,first_return_cal_idx,gap_id,gap_date,L,U,cluster_freeze_time,invalid_step_cum,gap_age_sessions,gap_cal_idx,gap_reference_high_date,gap_reference_high,reference_ret20,reference_large_up_days120,reference_limit_up_days120,W,true_gap_width_pct,importance,peak_row_available,leg_path_available,local_peak_time,local_peak_price,local_trough_time,local_trough_price,collapse_leg_duration_sessions,peak_to_gap_sessions,collapse_drawdown,decline_path_efficiency,max_interim_rebound_fraction,gap_formed_in_main_collapse_leg,max_depth_below_l_before_event,prior_completed_session_near_touch_count,prior_completed_session_exact_touch_count,pre_gap_inside_touch_sessions,pre_gap_corridor_touch_sessions,post_gap_corridor_approach_sessions,near_touch_dates_json,valid_pre_sessions,pre_proxy_minutes,pre_local_raw_volume,pre_inside_raw_volume,pre_corridor_raw_volume,post_gap_freeze_corridor_float_turnover,pre_gap_inside_density_relative_local,pre_gap_corridor_density_relative_local,gate_exact_120_session_history,gate_peak_and_leg_available,gate_duration,gate_long_decline_before_gap,gate_gap_inside_main_leg,gate_drawdown,gate_path_efficiency,gate_interim_rebound,gate_depth_below_l,gate_raw_inside_clean,gate_raw_corridor_clean,gate_pre_gap_inside_session_occupancy,gate_pre_gap_corridor_session_occupancy,gate_post_gap_corridor_clean,gate_no_prior_near_touch,gate_no_post_gap_corridor_approach,gate_event_after_freeze,retained_clean_fracture,control_prior_near_touch,control_acute_rise_fall,control_crowded_corridor,blind_pool,complete_h40_before_2021,gate_exact_120_history,gate_feature_lineage,gate_low_inside_inventory,gate_low_corridor_inventory,gate_low_inside_occupancy,gate_low_corridor_occupancy,low_inventory_mother_population,settling_sessions_after_trough,approach_return_10d,approach_path_efficiency_10d,higher_low_share_10d,signal_date,signal_cal_idx,same_day_u_fill_time,later_u_fill_cal_idx,u_fill_offset,u_full_fill_5d,u_full_fill_10d,u_full_fill_20d,u_full_fill_40d,discovery_year,descriptive_rule_match,primary_fill,chart_id
300176.SZ|2014-03-31|V6CLUSTER001|V6FIRSTRETURN,300176.SZ|2014-03-31|V6CLUSTER001,300176.SZ,CHINEXT,CORE,2014-06-24 11:14:00,2014-06-24,352,300176.SZ|2014-03-31,2014-03-31,1.4011335413615231,1.436951992794825,2014-04-22 15:00:00,1.0,57,295,2014-03-27,1.6950555398877376,0.29487179487179516,7.0,2.0,0.03581845143330198,0.024926686217008786,MAJOR,True,True,2014-03-27,1.6950555398877376,2014-04-22,1.1725275425078012,17,2,0.30826600372902413,0.7855670103092774,0.07661290322580726,True,0.21052631578947345,0,0,6,12,0,[],120.0,0.0,40529346.0,3445769.0,9337136.0,0.0012709731543624162,0.42509555915360686,0.5759490913078144,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,42,0.04511894995898302,0.41353383458646786,0.6666666666666666,2014-06-24,352,,362.0,10.0,False,True,True,True,2014,True,True,LOWINV-FILL-001
002486.SZ|2014-03-10|V6CLUSTER001|V6FIRSTRETURN,002486.SZ|2014-03-10|V6CLUSTER001,002486.SZ,MAIN,CORE,2014-07-03 10:27:00,2014-07-03,359,002486.SZ|2014-04-28,2014-04-28,2.0693035686185466,2.097964282865341,2014-05-21 15:00:00,1.0,45,314,2014-02-18,2.924958476473443,0.5760869565217397,16.0,5.0,0.028660714246794505,0.013661202185792422,SECONDARY,True,True,2014-02-18,2.924958476473443,2014-05-09,1.788428568999963,55,48,0.3885627493911533,0.3341342437014516,0.21716979624450694,True,0.13573407202216048,0,0,8,8,0,[],120.0,0.0,211076089.0,33722383.0,73496697.0,0.0004518425983760149,0.7988205381235768,0.8705000332842059,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,38,0.09148264984227139,0.8285714285714304,0.8888888888888888,2014-07-03,359,2014-07-03 10:28:00,360.0,0.0,True,True,True,True,2014,True,True,LOWINV-FILL-002
300148.SZ|2014-02-26|V6CLUSTER001|V6FIRSTRETURN,300148.SZ|2014-02-26|V6CLUSTER001,300148.SZ,CHINEXT,CORE,2015-01-16 11:21:00,2015-01-16,492,300148.SZ|2014-12-22,2014-12-22,3.1223682946789264,3.155839317745929,2015-01-07 15:00:00,1.0,17,475,2014-10-16,3.9527684383888415,0.05787348586810226,6.0,2.0,0.03347102306700256,0.010484273589615619,SECONDARY,True,True,2014-10-16,3.9527684383888415,2014-12-31,2.7111528684271846,54,47,0.31411290322580665,0.20733021918792727,0.33119383825417065,True,0.13169984686064307,0,0,3,5,0,[],120.0,0.0,32389916.0,1533594.0,4126947.0,0.00019869504320894663,0.23673942223252448,0.31853640805984185,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,10,0.006176305446378816,0.03448275862069201,0.6666666666666666,2015-01-16,492,,494.0,2.0,True,True,True,True,2015,True,True,LOWINV-FILL-003
000014.SZ|2015-04-15|V6CLUSTER001|V6FIRSTRETURN,000014.SZ|2015-04-15|V6CLUSTER001,000014.SZ,MAIN,CORE,2015-08-17 13:03:00,2015-08-17,635,000014.SZ|2015-06-26,2015-06-26,3.4142765448713783,3.4641111259819963,2015-07-22 15:00:00,1.0,36,599,2015-06-12,4.709520221896836,0.7065317387304513,12.0,4.0,0.049834581110618004,0.01418685121107267,SECONDARY,True,True,2015-06-12,4.709520221896836,2015-07-09,1.394152793509245,18,9,0.7039713754647119,0.7175945848516576,0.07402043071571235,True,0.5916696333214668,0,0,4,5,0,[],120.0,0.0,30628337.0,3362189.0,8832225.0,0.00036835939176913673,0.5488690097670011,0.720919405451233,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,REJECTED_ACUTE_RISE_FALL,True,True,True,True,True,True,True,True,27,0.5127919911012233,0.8934108527131779,0.7777777777777778,2015-08-17,635,2015-08-17 13:14:00,636.0,0.0,True,True,True,True,2015,True,True,LOWINV-FILL-004
000529.SZ|2015-07-03|V6CLUSTER001|V6FIRSTRETURN,000529.SZ|2015-07-03|V6CLUSTER001,000529.SZ,MAIN,CORE,2015-08-11 09:53:00,2015-08-11,631,000529.SZ|2015-07-03,2015-07-03,1.9070464767616182,1.9385307346326826,2015-07-22 15:00:00,1.0,27,604,2015-06-18,3.0584707646176894,0.24755700325732888,14.0,3.0,0.03148425787106435,0.016241299303944245,SECONDARY,True,True,2015-06-18,3.0584707646176894,2015-07-09,1.1454272863568211,14,10,0.6254901960784314,0.6127420362273576,0.12147335423197496,True,0.39937106918238985,0,0,11,15,2,[],120.0,0.0,142825970.0,12880507.0,42655037.0,0.0005786341273722129,0.45091613941078085,0.7466260687744674,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,23,0.2051773729626083,0.40996168582375525,0.6666666666666666,2015-08-11,631,2015-08-11 09:58:00,632.0,0.0,True,True,True,True,2015,True,True,LOWINV-FILL-005
000573.SZ|2015-06-19|V6CLUSTER001|V6FIRSTRETURN,000573.SZ|2015-06-19|V6CLUSTER001,000573.SZ,MAIN,CORE,2015-07-23 13:37:00,2015-07-23,618,000573.SZ|2015-07-03,2015-07-03,1.4746543778801826,1.4907834101382471,2015-07-22 15:00:00,1.0,14,604,2015-06-12,2.836405529953914,0.3826589595375729,12.0,4.0,0.016129032258064502,0.010819165378670696,SECONDARY,True,True,2015-06-12,2.836405529953914,2015-07-09,0.8870967741935474,18,14,0.6872461413484972,0.6666666666666671,0.06855791962174912,True,0.3984375,1,0,2,4,1,"[""2015-07-21""]",120.0,0.0,43659645.0,2350368.0,11033241.0,0.00047711194373242885,0.2691693897190414,0.6317756935495009,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,10,0.32264957264957284,0.5531135531135534,0.6666666666666666,2015-07-23,618,2015-07-23 14:11:00,619.0,0.0,True,True,True,True,2015,True,True,LOWINV-FILL-006
002025.SZ|2015-06-16|V6CLUSTER001|V6FIRSTRETURN,002025.SZ|2015-06-16|V6CLUSTER001,002025.SZ,MAIN,CORE,2015-07-22 09:44:00,2015-07-22,617,002025.SZ|2015-06-26,2015-06-26,3.5685908083525764,3.602519685308051,2015-07-10 15:00:00,1.0,18,599,2015-05-27,4.359688353930386,0.6146993318485525,8.0,1.0,0.03392887695547442,0.00923787528868364,SECONDARY,True,True,2015-05-27,4.359688353930386,2015-07-08,1.7146200318570106,29,21,0.6067104130708723,0.3497608980881462,0.22062958675624159,True,0.5195246179966043,0,0,6,7,0,[],120.0,0.0,29352516.0,3120839.0,9888493.0,0.0003848082174847983,0.5316135420895436,0.8422185171451743,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,10,0.7331250000000005,0.6863662960795789,0.6666666666666666,2015-07-22,617,2015-07-22 09:45:00,618.0,0.0,True,True,True,True,2015,True,True,LOWINV-FILL-007
002243.SZ|2015-06-26|V6CLUSTER001|V6FIRSTRETURN,002243.SZ|2015-06-26|V6CLUSTER001,002243.SZ,MAIN,CORE,2015-07-23 10:28:00,2015-07-23,618,002243.SZ|2015-07-02,2015-07-02,1.8393146343921436,1.883288356071758,2015-07-22 15:00:00,1.0,15,603,2015-06-16,3.281349438437427,0.5664,10.0,3.0,0.04397372167961433,0.023349436392914584,SECONDARY,True,True,2015-06-16,3.281349438437427,2015-07-09,1.1038920476813527,16,11,0.6635859519408502,0.6574394463667813,0.05988857938718674,True,0.3998351195383345,0,0,12,13,0,[],120.0,0.0,170047638.0,21360817.0,59438033.0,0.0009748027336140403,0.6280833198047715,0.8738438489807192,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,10,0.4608801955990225,0.6231404958677685,0.6666666666666666,2015-07-23,618,2015-07-23 13:19:00,619.0,0.0,True,True,True,True,2015,True,True,LOWINV-FILL-008
002422.SZ|2015-06-26|V6CLUSTER001|V6FIRSTRETURN,002422.SZ|2015-06-26|V6CLUSTER001,002422.SZ,MAIN,CORE,2015-07-23 14:07:00,2015-07-23,618,002422.SZ|2015-06-26,2015-06-26,1.173327223269057,1.1843887123824235,2015-07-16 15:00:00,1.0,19,599,2015-06-16,1.4180289458501179,0.2332112332112326,4.0,0.0,0.011061489113366463,0.009232154920062973,SECONDARY,True,True,2015-06-16,1.4180289458501179,2015-07-07,0.8422919271202566,14,7,0.4060121765601217,0.7390968737939011,0.12558575445173406,True,0.2821338238675558,0,0,4,6,0,[],120.0,0.0,32629131.0,2091750.0,6839496.0,0.0008216280617617331,0.32053412639153644,0.524032956930419,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,REJECTED_ACUTE_RISE_FALL,True,True,True,True,True,True,True,True,12,0.15693455779194387,0.40116991186659096,0.7777777777777778,2015-07-23,618,2015-07-23 14:08:00,619.0,0.0,True,True,True,True,2015,True,True,LOWINV-FILL-009
600889.SH|2015-04-20|V6CLUSTER001|V6FIRSTRETURN,600889.SH|2015-04-20|V6CLUSTER001,600889.SH,MAIN,CORE,2015-08-17 13:09:00,2015-08-17,635,600889.SH|2015-06-26,2015-06-26,3.706644005635434,3.8178433258044975,2015-07-22 15:00:00,1.0,36,599,2015-06-05,5.915367757228784,0.806795469686874,16.0,3.0,0.11119932016906331,0.028764805414551696,MAJOR,True,True,2015-06-05,5.915367757228784,2015-07-09,1.5437082094058163,23,14,0.7390342793955031,0.7950043066322137,0.04089775561097273,True,0.5835294117647059,0,0,9,14,1,[],120.0,0.0,165364701.0,15299191.0,40182158.0,0.0004728574560810109,0.46258938296632,0.6074778619168549,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,NOT_SAMPLED,True,True,True,True,True,True,True,True,27,0.38971807628524013,0.827464788732394,0.6666666666666666,2015-08-17,635,,,,False,False,False,False,2015,True,False,LOWINV-FILL-010
