period,rule_id,role,trades,affected_trades,executable_affected_trades,baseline_mean_net_payoff,candidate_mean_net_payoff,mean_net_payoff_improvement,baseline_severe_fraction,candidate_severe_fraction,severe_fraction_improvement
round1_2018_2019,CND-A01-OVEREXTENDED-REBOUND,ADMISSION_VETO,730,148,148,0.012318028531,0.012625126909,0.000307098378,0.158904109589,0.140893470790,0.018010638799
round1_2018_2019,CND-A02-VOLATILE-SURGE,ADMISSION_VETO,730,91,91,0.012318028531,0.018241095285,0.005923066754,0.158904109589,0.133020344288,0.025883765301
round1_2018_2019,CND-X01-D3-BELOW-SIGNAL-LOW,D3_EXIT,730,249,249,0.012318028531,0.008683086571,-0.003634941960,0.158904109589,0.102739726027,0.056164383562
round1_2018_2019,CND-X02-D3-BELOW-MA10,D3_EXIT,730,337,337,0.012318028531,0.009164688818,-0.003153339713,0.158904109589,0.087671232877,0.071232876712
round1_2018_2019,CND-X03-D3-LOSS-3PCT,D3_EXIT,730,176,176,0.012318028531,0.010075280510,-0.002242748021,0.158904109589,0.117808219178,0.041095890411
round1_2018_2019,CND-X04-D5-BELOW-SIGNAL-LOW,D5_EXIT,730,267,267,0.012318028531,0.010235223151,-0.002082805380,0.158904109589,0.108219178082,0.050684931507
round2_2020,CND-A01-OVEREXTENDED-REBOUND,ADMISSION_VETO,478,133,133,0.035193363618,0.035970160677,0.000776797059,0.156903765690,0.139130434783,0.017773330908
round2_2020,CND-A02-VOLATILE-SURGE,ADMISSION_VETO,478,92,92,0.035193363618,0.034334396657,-0.000858966961,0.156903765690,0.147668393782,0.009235371908
round2_2020,CND-X01-D3-BELOW-SIGNAL-LOW,D3_EXIT,478,160,160,0.035193363618,0.026122676853,-0.009070686765,0.156903765690,0.104602510460,0.052301255230
round2_2020,CND-X02-D3-BELOW-MA10,D3_EXIT,478,209,209,0.035193363618,0.023018409912,-0.012174953706,0.156903765690,0.089958158996,0.066945606695
round2_2020,CND-X03-D3-LOSS-3PCT,D3_EXIT,478,117,117,0.035193363618,0.025498809854,-0.009694553764,0.156903765690,0.119246861925,0.037656903766
round2_2020,CND-X04-D5-BELOW-SIGNAL-LOW,D5_EXIT,478,159,159,0.035193363618,0.030819754806,-0.004373608812,0.156903765690,0.106694560669,0.050209205021
