audit_type,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,block,A,ALL_A,ALL_STATUS,pit,3,107,-0.26256316161518733,,,
partial_rank,block,A,ALL_A,NON_ST,pit,3,107,-0.25677500327344865,,,
partial_rank,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,107,-0.11589828853462182,,,
partial_rank,block,A,CHINEXT_BOARD,NON_ST,pit,3,107,-0.11785463610969329,,,
partial_rank,block,A,SH_A,ALL_STATUS,pit,3,107,-0.12335513429097036,,,
partial_rank,block,A,SH_A,NON_ST,pit,3,107,-0.11225870032882845,,,
partial_rank,block,A,SZ_A,ALL_STATUS,pit,3,107,-0.18979791681634448,,,
partial_rank,block,A,SZ_A,NON_ST,pit,3,107,-0.18440290116721428,,,
partial_rank,block,B,ALL_A,ALL_STATUS,pit,3,722,-0.12509955093544867,,,
partial_rank,block,B,ALL_A,NON_ST,pit,3,722,-0.12794753731683775,,,
partial_rank,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,721,-0.11692102322499394,,,
partial_rank,block,B,CHINEXT_BOARD,NON_ST,pit,3,722,-0.11539842797890204,,,
partial_rank,block,B,SH_A,ALL_STATUS,pit,3,722,-0.12148216099483562,,,
partial_rank,block,B,SH_A,NON_ST,pit,3,722,-0.12276878967721132,,,
partial_rank,block,B,SZ_A,ALL_STATUS,pit,3,722,-0.098017645839484968,,,
partial_rank,block,B,SZ_A,NON_ST,pit,3,722,-0.10140330371733357,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,829,-0.10455126397693593,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,829,-0.11878231151416357,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,829,-0.12059944770131906,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,1,829,-0.10781159350862367,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,829,-0.12428568286478629,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,5,829,-0.12588407274623528,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,1,829,-0.10929615602382416,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,3,829,-0.11963821996924247,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,5,829,-0.12188892177051272,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,1,829,-0.11324976102116828,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,829,-0.12649240589389285,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,5,829,-0.12902240072101551,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,1,828,-0.062378673621816552,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,3,828,-0.10146174589411179,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,5,828,-0.12699287202644918,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,1,828,-0.071480497775731941,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,3,828,-0.11425131587351635,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,5,828,-0.13984829279777744,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,1,829,-0.064347972244770249,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,3,829,-0.10171103691880719,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,5,829,-0.12588958411811105,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,1,829,-0.072323247776894611,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,3,829,-0.11358941051170129,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,5,829,-0.13822656881323001,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,1,829,-0.11706937660938717,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,3,829,-0.10687987418880814,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,5,829,-0.10453219315195902,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,1,829,-0.11847495479518988,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,829,-0.10732732689511797,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,5,829,-0.1017251480394538,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,1,829,-0.12067460992763311,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,3,829,-0.10653497082356649,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,5,829,-0.1043622879353328,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,pit,1,829,-0.12224047067019944,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,829,-0.10746991816267472,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,pit,5,829,-0.10220976205172255,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,1,829,-0.060651146439921595,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,3,829,-0.088802347561233036,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,5,829,-0.095874853724356363,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,1,829,-0.067026718625845944,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,829,-0.098038497019723794,,,
