trade_date,market_view,denominator,available_at,event_year,session_ordinal,breakout_formation_depth20,breakout_formation_depth20_pit_3y_pct,breadth_net_new_high_low60_pit_3y_pct,realized_volatility_median20_pit_3y_pct,median_signed_limit_utilization,open_close_log_return__median,intraday_log_range__median,accepted_terminal_log_return_h1_mean,accepted_terminal_log_return_h3_mean,accepted_terminal_log_return_h5_mean,accepted_adverse_log_excursion_h1_mean,accepted_adverse_log_excursion_h3_mean,accepted_adverse_log_excursion_h5_mean,rejected_terminal_log_return_h1_mean,rejected_terminal_log_return_h3_mean,rejected_terminal_log_return_h5_mean,rejected_adverse_log_excursion_h1_mean,rejected_adverse_log_excursion_h3_mean,rejected_adverse_log_excursion_h5_mean,paired_adverse_h1,paired_adverse_h3,paired_adverse_h5,paired_terminal_h1,paired_terminal_h3,paired_terminal_h5
2020-07-28,ALL_A,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.0345649052871023,0.85445205479452035,0.72420634920600002,0.87896825396800005,0.088607594936699896,0.0027434832539900002,0.032002700560799902,0.020750799322748901,0.042963581357084099,0.067624978855191004,-0.027204124719021599,-0.036132349996658798,-0.038051772016123399,0.020308793838862801,0.0437815478633862,0.058252565133032397,-0.026432923923118301,-0.033486480611037997,-0.035043427839023499,0.00077120079590329779,0.0026458693856208013,0.0030083441770999003,-0.00044200548388610011,0.00081796650630210077,-0.0093724137221586068
2020-07-28,ALL_A,NON_ST,2020-07-28T15:30:00,2020,583,0.0347518049950125,0.85445205479452035,0.68452380952400005,0.88888888888899975,0.0847457627119,0.0025912247787299001,0.032011768761099901,0.020942046889793502,0.0412255108420891,0.065650307919435505,-0.027603398447823099,-0.036778484309550899,-0.038024766014134702,0.0219492062365036,0.045790948437831797,0.058827281089164699,-0.026445056302524,-0.032991838951301297,-0.034405701956384697,0.0011583421452990988,0.0037866453582496018,0.0036190640577500044,0.0010071593467100987,0.0045654375957426968,-0.0068230268302708064
2020-07-28,CHINEXT_BOARD,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.030730747254237301,0.56335616438356162,0.42658730158699992,0.80357142857099995,0.110497237569,0.0036433491245100001,0.036238396742699901,0.018647908562702199,0.0318582870140754,0.055485682230641702,-0.0326691723107062,-0.040272013510344797,-0.041063378049737101,0.0335498407626037,0.079511905625413298,0.097229024294116506,-0.0268424566042329,-0.030051597544594501,-0.031743209561823998,0.0058267157064732997,0.010220415965750296,0.0093201684879131025,0.014901932199901501,0.047653618611337899,0.041743342063474805
2020-07-28,CHINEXT_BOARD,NON_ST,2020-07-28T15:30:00,2020,583,0.030730747254237301,0.56335616438356162,0.42658730158699992,0.80357142857099995,0.110497237569,0.0036433491245100001,0.036238396742699901,0.018647908562702199,0.0318582870140754,0.055485682230641702,-0.0326691723107062,-0.040272013510344797,-0.041063378049737101,0.0335498407626037,0.079511905625413298,0.097229024294116506,-0.0268424566042329,-0.030051597544594501,-0.031743209561823998,0.0058267157064732997,0.010220415965750296,0.0093201684879131025,0.014901932199901501,0.047653618611337899,0.041743342063474805
2020-07-28,SH_A,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.035513132226397501,0.90582191780821919,0.72817460317500005,0.91468253968299995,0.070346402740799896,0.00225823451473,0.029767247867599898,0.0146587866161177,0.028575705535153199,0.046340153970988701,-0.0283562876976657,-0.038857160298661798,-0.041867024340913397,0.025491636459210602,0.050117370020048103,0.060230629263922003,-0.0243863629310264,-0.032292990792504701,-0.033814248777314503,0.0039699247666393003,0.006564169506157097,0.0080527755635988948,0.010832849843092901,0.021541664484894904,0.013890475292933302
2020-07-28,SH_A,NON_ST,2020-07-28T15:30:00,2020,583,0.036130834760423301,0.91438356164383561,0.72519841269800001,0.930555555556,0.0666666666667,0.0020724881917299001,0.029797335018900001,0.015632573595746799,0.0303106480365384,0.048311737612902403,-0.027835438785338,-0.038387861485212497,-0.040610817726741098,0.0272643470075534,0.051486715988392801,0.059599222287157597,-0.024653819229637601,-0.032159644285757398,-0.033816125202550298,0.003181619555700399,0.0062282171994550994,0.0067946925241907999,0.011631773411806601,0.021176067951854401,0.011287484674255194
2020-07-28,SZ_A,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.033859612522337303,0.7773972602739726,0.72023809523799975,0.83531746031700005,0.102719033233,0.0031645566184300001,0.033752290502000001,0.024779388370682501,0.052478144400619202,0.081700427568937598,-0.026442210491208599,-0.034330459313076198,-0.035528782575536398,0.015853367726634,0.038334963904150497,0.056552124038057199,-0.028192248284741098,-0.034512463086619302,-0.0361000905411945,-0.0017500377935324996,-0.0001820037735431046,-0.00057130796565810216,-0.0089260206440485018,-0.014143180496468705,-0.025148303530880399
2020-07-28,SZ_A,NON_ST,2020-07-28T15:30:00,2020,583,0.033695791210689101,0.76369863013698625,0.66666666666700003,0.85119047618999977,0.10067114094,0.0029179615914300002,0.033860518205099902,0.024734527814112499,0.049021841417482399,0.078035000995530499,-0.027437655349598099,-0.035628929184078298,-0.036177586219415699,0.017519922260628699,0.041044475479031103,0.058183996757503999,-0.027937753863262599,-0.033685334505921302,-0.034897015917913297,-0.00050009851366450073,0.0019435946781569957,0.0012805703015024011,-0.0072146055534837994,-0.007977365938451296,-0.0198510042380265
2020-07-29,ALL_A,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.032158318655421,0.77094017094017075,0.86138613861400004,0.89504950495000002,0.193201078582,0.0226318465425,0.0389125387044,0.016677574701830799,0.068279653919385994,0.078891936231000506,-0.015180754399988601,-0.026873116361198001,-0.0351937067524975,0.0068975347961796997,0.051199827104406098,0.051341623737823097,-0.0214107006031246,-0.032218875866879701,-0.036175147219267699,-0.0062299462031359994,-0.0053457595056816999,-0.00098144046677019897,-0.0097800399056511,-0.017079826814979895,-0.027550312493177409
2020-07-29,ALL_A,NON_ST,2020-07-29T15:30:00,2020,584,0.0322386540751489,0.77094017094017075,0.85346534653499995,0.90297029702999998,0.1940298507459999,0.023076479580599898,0.0392660324936,0.0155458236031044,0.067718660563991201,0.077231766798871407,-0.0160629853359892,-0.027978198413654801,-0.036057448254213899,0.0059359045483009997,0.049121445008653397,0.047934028097277502,-0.021966460087918301,-0.033385771621542298,-0.037624633784815099,-0.0059034747519291011,-0.0054075732078874977,-0.0015671855306012006,-0.0096099190548033994,-0.018597215555337804,-0.029297738701593905
2020-07-29,CHINEXT_BOARD,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.027812487530525901,0.36752136752136733,0.90693069306899998,0.82376237623799975,0.24242424242400001,0.027468604827,0.0434488020833999,0.0055719606117327,0.079818139277749597,0.095326619918928795,-0.019421978052735,-0.026225763172545598,-0.035857335034887798,0.0004125566842221,0.034916152271752397,0.040762081680134003,-0.021860998087608899,-0.0356185484000398,-0.0416144657579402,-0.002439020034873899,-0.0093927852274942013,-0.0057571307230524019,-0.0051594039275106003,-0.0449019870059972,-0.054564538238794792
2020-07-29,CHINEXT_BOARD,NON_ST,2020-07-29T15:30:00,2020,584,0.027812487530525901,0.36752136752136733,0.90693069306899998,0.82376237623799975,0.24242424242400001,0.027468604827,0.0434488020833999,0.0055719606117327,0.079818139277749597,0.095326619918928795,-0.019421978052735,-0.026225763172545598,-0.035857335034887798,0.0004125566842221,0.034916152271752397,0.040762081680134003,-0.021860998087608899,-0.0356185484000398,-0.0416144657579402,-0.002439020034873899,-0.0093927852274942013,-0.0057571307230524019,-0.0051594039275106003,-0.0449019870059972,-0.054564538238794792
2020-07-29,SH_A,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.030033766723611102,0.74017094017094021,0.60594059405900003,0.92277227722800004,0.166666666667,0.020901508649800001,0.037161212871900003,0.019997008158456099,0.056170287430033002,0.0626913272526997,-0.016564642046281799,-0.028470159691267299,-0.035334644358137997,0.0099207795183863003,0.059186936892334799,0.055659757051655802,-0.020929511028407701,-0.029357665119133999,-0.0309096698357335,-0.0043648689821259024,-0.00088750542786670064,0.0044249745224044963,-0.010076228640069799,0.0030166494623017973,-0.0070315702010438977
2020-07-29,SH_A,NON_ST,2020-07-29T15:30:00,2020,584,0.030360791598193802,0.75213675213675213,0.62079207920799995,0.94653465346499999,0.166666666667,0.0212568650241,0.037344669337000001,0.019473494587875,0.054767375289060401,0.061438923738966901,-0.017174156491611602,-0.029300146685578399,-0.036291751438872498,0.0100177055162312,0.061721916492987597,0.0579577003579968,-0.022019280899510701,-0.0308211130016222,-0.032520927691231098,-0.0048451244078990992,-0.0015209663160438008,0.0037708237476413997,-0.0094557890716437994,0.0069545412039271962,-0.0034812233809701013
2020-07-29,SZ_A,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.033332022170197102,0.75555555555555554,0.91089108910899996,0.86336633663399975,0.20676691729300001,0.023827279966600001,0.040388071679799901,0.0149388238435985,0.074622655413808997,0.087377969505348596,-0.014455860870977799,-0.0260365698549711,-0.035119882292400199,0.0050182205094026003,0.046234866965963899,0.048657378704900098,-0.021709818446867601,-0.033997466331694599,-0.039448281809032197,-0.0072539575758898012,-0.0079608964767234995,-0.0043283995166319977,-0.0099206033341959002,-0.028387788447845098,-0.038720590800448498
2020-07-29,SZ_A,NON_ST,2020-07-29T15:30:00,2020,584,0.0332880478122708,0.75042735042735043,0.90297029702999998,0.873267326733,0.20754716981099991,0.024155740228199898,0.040762587206500001,0.013424881271328201,0.074712354612453805,0.085759902051219805,-0.015462952911953,-0.027264346346816001,-0.035930924534498199,0.0034868239675429,0.041561162118052802,0.0419198247408459,-0.021934767600962898,-0.034924566793494302,-0.0406868574409655,-0.0064718146890098988,-0.0076602204466783008,-0.0047559329064673014,-0.0099380573037853009,-0.033151192494401002,-0.043840077310373905
2020-07-30,ALL_A,ALL_STATUS,2020-07-30T15:30:00,2020,585,0.035738371029382002,0.88395904436860073,0.92292490118600001,0.88735177865600001,-0.058823529411800003,-0.0066006777987299,0.0319818515884999,0.021203950311572999,0.037750558051646399,0.042447017468362297,-0.024370109657932199,-0.031794243429472499,-0.040442854130137103,0.017040104953108301,0.038851063499502098,0.049035807991489898,-0.023202115040284702,-0.025688843302199501,-0.030911164515479001,0.0011679946176474977,0.0061054001272729981,0.0095316896146581016,-0.0041638453584646982,0.0011005054478556986,0.0065887905231276009
2020-07-30,ALL_A,NON_ST,2020-07-30T15:30:00,2020,585,0.035763742298278701,0.88054607508532423,0.91501976284599995,0.89328063241099975,-0.059262510974499902,-0.00686671594932,0.032219942259200003,0.0216330953997395,0.036545709236174097,0.040386762524512003,-0.0250415350995883,-0.032231730508268303,-0.041163041248062401,0.016883879272076501,0.038307485263295103,0.048497629642778199,-0.023282664473938699,-0.025781826377162999,-0.031030259196509001,0.0017588706256496008,0.0064499041311053031,0.0101327820515534,-0.0047492161276629988,0.0017617760271210064,0.0081108671182661962
2020-07-30,CHINEXT_BOARD,ALL_STATUS,2020-07-30T15:30:00,2020,585,0.034440707661285701,0.7235494880546075,0.90612648221299996,0.82213438735199995,-0.098901098901100007,-0.011074987747600001,0.035171556676399901,0.033825694841409702,0.050959977938348999,0.056708463946197503,-0.017788420224502499,-0.0228225529700289,-0.0291083244936104,0.017690016230368599,0.039713682343037703,0.0488408950013135,-0.0253162162249649,-0.028693784778985602,-0.0350937185599638,-0.0075277960004624007,-0.0058712318089567013,-0.0059853940663534,-0.016135678611041104,-0.011246295595311297,-0.0078675689448840028
2020-07-30,CHINEXT_BOARD,NON_ST,2020-07-30T15:30:00,2020,585,0.034440707661285701,0.7235494880546075,0.90612648221299996,0.82213438735199995,-0.098901098901100007,-0.011074987747600001,0.035171556676399901,0.033825694841409702,0.050959977938348999,0.056708463946197503,-0.017788420224502499,-0.0228225529700289,-0.0291083244936104,0.017690016230368599,0.039713682343037703,0.0488408950013135,-0.0253162162249649,-0.028693784778985602,-0.0350937185599638,-0.0075277960004624007,-0.0058712318089567013,-0.0059853940663534,-0.016135678611041104,-0.011246295595311297,-0.0078675689448840028
2020-07-30,SH_A,ALL_STATUS,2020-07-30T15:30:00,2020,585,0.034078406165820301,0.87883959044368565,0.89328063241099975,0.91897233201600004,-0.0460572226099,-0.0051151364316399002,0.029780864365899901,0.0138033573587279,0.023595541313507901,0.025463567183094601,-0.0272085985724831,-0.035938528625206398,-0.044289315619474301,0.022954182675127902,0.044544507097918198,0.058817590614447197,-0.020508122596538701,-0.023038778044461399,-0.028029447221612599,0.0067004759759443991,0.012899750580744999,0.016259868397861702,0.0091508253164000013,0.020948965784410297,0.033354023431352596
2020-07-30,SH_A,NON_ST,2020-07-30T15:30:00,2020,585,0.033973111511529902,0.87201365187713276,0.90513833992100001,0.94861660079099996,-0.045454545454499902,-0.0052056141759798998,0.030044486407900001,0.0142648317261624,0.022370138166498198,0.025188025465376799,-0.027528739032419099,-0.036454834289160201,-0.044969564834475402,0.022954182675127902,0.044544507097918198,0.058817590614447197,-0.020508122596538701,-0.023038778044461399,-0.028029447221612599,0.0070206164358803981,0.013416056244698802,0.016940117612862803,0.0086893509489655019,0.02217436893142,0.033629565149070395
2020-07-30,SZ_A,ALL_STATUS,2020-07-30T15:30:00,2020,585,0.036746877984225101,0.87201365187713276,0.93280632411099995,0.85968379446599985,-0.072798249245900004,-0.0080537483242499007,0.0334479561195999,0.025849578004599801,0.046636188996755201,0.053108161443055898,-0.022588284499892999,-0.029192721335800101,-0.038028287063837797,0.0135941069103567,0.0355336239224723,0.043336186620632801,-0.024771842920892601,-0.0272329758145823,-0.032590275379621697,-0.0021835584209996019,0.0019597455212178004,0.0054380116842161,-0.012255471094243102,-0.011102565074282901,-0.0097719748224230976
2020-07-30,SZ_A,NON_ST,2020-07-30T15:30:00,2020,585,0.036886439378859402,0.8686006825938567,0.92984189723300004,0.871541501976,-0.073170731707299902,-0.0083683069925798992,0.033705933496900001,0.026525622478994801,0.045958288426438801,0.050478723931777901,-0.023390031688188699,-0.029427589597756099,-0.038635509586684103,0.013318780448062201,0.0346444724397863,0.042436700183226497,-0.024912157322570402,-0.0273928230170036,-0.0327926408325592,-0.0015221256343817026,0.0020347665807524985,0.0058428687541249025,-0.0132068420309326,-0.011313815986652501,-0.0080420237485514037
2020-07-31,ALL_A,ALL_STATUS,2020-07-31T15:30:00,2020,586,0.038668624045598302,0.94889267461669502,0.93293885601600002,0.88954635108500002,0.072762103796600003,0.0094284642994898991,0.0327090992542,0.035598568241745399,0.036387666778387201,0.0216694781415749,-0.0055525180557717997,-0.033793086250032203,-0.048806239040573199,0.018843934682879301,0.027539210044746,0.016482944725332901,-0.013246000617154601,-0.0312383324637742,-0.0431395468168305,-0.0076934825613828011,0.002554753786258003,0.0056666922237426989,-0.016754633558866097,-0.0088484567336412009,-0.0051865334162419993
2020-07-31,ALL_A,NON_ST,2020-07-31T15:30:00,2020,586,0.039101455062746503,0.95059625212947185,0.94082840236700005,0.89940828402399975,0.073033707865199901,0.0095694422828699003,0.032944191632100002,0.035705761740947702,0.034437201642909199,0.018320144009783899,-0.0056650472296776999,-0.035221332602034701,-0.0507472244535285,0.019266028861538199,0.026921924025438301,0.0152237031202587,-0.0127586194571216,-0.0306448997666444,-0.043232722640069297,-0.0070935722274438999,0.0045764328353903004,0.0075145018134592026,-0.016439732879409502,-0.0075152776174708981,-0.0030964408895251989
2020-07-31,CHINEXT_BOARD,ALL_STATUS,2020-07-31T15:30:00,2020,586,0.0417619705597152,0.91822827938671203,0.95266272189300005,0.82840236686400004,0.121428571429,0.0124092413559,0.036192219714499901,0.0398090884463922,0.041977889196653399,0.020040132957230401,-0.0070209056876348996,-0.031788086414221303,-0.048193429961774698,0.024762628531235099,0.043238928356352999,0.010580334273193,-0.0087514317257263007,-0.028113233092994599,-0.046004345806090002,-0.0017305260380914012,0.0036748533212267037,0.0021890841556846952,-0.015046459915157101,0.0012610391596995993,-0.0094597986840374015
2020-07-31,CHINEXT_BOARD,NON_ST,2020-07-31T15:30:00,2020,586,0.0417619705597152,0.91822827938671203,0.95266272189300005,0.82840236686400004,0.121428571429,0.0124092413559,0.036192219714499901,0.0398090884463922,0.041977889196653399,0.020040132957230401,-0.0070209056876348996,-0.031788086414221303,-0.048193429961774698,0.024762628531235099,0.043238928356352999,0.010580334273193,-0.0087514317257263007,-0.028113233092994599,-0.046004345806090002,-0.0017305260380914012,0.0036748533212267037,0.0021890841556846952,-0.015046459915157101,0.0012610391596995993,-0.0094597986840374015
2020-07-31,SH_A,ALL_STATUS,2020-07-31T15:30:00,2020,586,0.034321031642557502,0.88415672913117516,0.90138067061100002,0.91715976331399995,0.0514474772538999,0.0075777844451900001,0.0307882656739,0.033469010952378399,0.026196570071476001,0.0103627151681183,-0.0067983435780980999,-0.041294453886134702,-0.054181145900467298,0.016986776469287201,0.0246567942507088,0.023960290053274901,-0.0135249989395992,-0.0302239482566878,-0.039819579807965799,-0.0067266553615011005,0.011070505629446902,0.014361566092501499,-0.016482234483091197,-0.0015397758207672009,0.0135975748851566
2020-07-31,SH_A,NON_ST,2020-07-31T15:30:00,2020,586,0.034391379824809602,0.88074957410562182,0.913214990138,0.92702169625200004,0.0514474772538999,0.0077411158189200002,0.031091012803100001,0.033605685104761203,0.0261026283222618,0.0087276357260893996,-0.0070500864567895,-0.042364485304963999,-0.055599466292657003,0.016404689854667601,0.023870955643717499,0.023397912873442599,-0.0137954989183912,-0.030828427221821501,-0.040615971404125199,-0.0067454124616016997,0.011536058083142498,0.014983494888531804,-0.017200995250093602,-0.0022316726785443011,0.0146702771473532
