audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank,daily_raw_close,minute_raw_close,binary_close_equal,daily_close_integer_cents,minute_close_integer_cents,integer_cent_difference,raw_close_signed_difference,raw_close_absolute_difference,coordinate_scale,coordinate_close,mapped_minute_close,support_low10,support_low20,support_low40,primary_level_tested,primary_penetration_depth,primary_close_below_fraction,primary_minimum_bar_index,primary_close_recovery_from_minimum,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at,h10_cont_signed_test_geometry,h10_cont_tested,h10_cont_penetration_depth,h10_cont_time_beyond_level,h10_cont_test_recurrence,h10_cont_closing_level_state,h10_cont_recovery_completion,h10_cont_recovery_speed,h10_cont_recovery_amplitude,h10_cont_recovery_volume_intensity,h10_auction_signed_test_geometry,h10_auction_tested,h10_auction_penetration_depth,h10_auction_time_beyond_level,h10_auction_test_recurrence,h10_auction_closing_level_state,h10_auction_recovery_completion,h10_auction_recovery_speed,h10_auction_recovery_amplitude,h10_auction_recovery_volume_intensity,h20_cont_signed_test_geometry,h20_cont_tested,h20_cont_penetration_depth,h20_cont_time_beyond_level,h20_cont_test_recurrence,h20_cont_closing_level_state,h20_cont_recovery_completion,h20_cont_recovery_speed,h20_cont_recovery_amplitude,h20_cont_recovery_volume_intensity,h20_auction_signed_test_geometry,h20_auction_tested,h20_auction_penetration_depth,h20_auction_time_beyond_level,h20_auction_test_recurrence,h20_auction_closing_level_state,h20_auction_recovery_completion,h20_auction_recovery_speed,h20_auction_recovery_amplitude,h20_auction_recovery_volume_intensity,h40_cont_signed_test_geometry,h40_cont_tested,h40_cont_penetration_depth,h40_cont_time_beyond_level,h40_cont_test_recurrence,h40_cont_closing_level_state,h40_cont_recovery_completion,h40_cont_recovery_speed,h40_cont_recovery_amplitude,h40_cont_recovery_volume_intensity,h40_auction_signed_test_geometry,h40_auction_tested,h40_auction_penetration_depth,h40_auction_time_beyond_level,h40_auction_test_recurrence,h40_auction_closing_level_state,h40_auction_recovery_completion,h40_auction_recovery_speed,h40_auction_recovery_amplitude,h40_auction_recovery_volume_intensity,relative_rank__h20_cont_signed_test_geometry,relative_rank__h20_cont_time_beyond_level,relative_rank__h20_cont_test_recurrence,relative_rank__h20_cont_closing_level_state,relative_rank__h20_cont_recovery_speed,relative_rank__h20_cont_recovery_amplitude,relative_rank__h20_cont_recovery_volume_intensity,daily_low_level_distance,daily_close_level_distance,daily_range,minute_open_to_close_return,minute_intraday_range,minute_close_location,minute_time_of_low,minute_realized_volatility,minute_volume_herfindahl,minute_opening30_volume_share,minute_closing30_volume_share,relative_rank__daily_close_level_distance,relative_rank__daily_low_level_distance,relative_rank__daily_range,relative_rank__minute_close_location,relative_rank__minute_closing30_volume_share,relative_rank__minute_open_to_close_return,relative_rank__minute_opening30_volume_share,relative_rank__minute_realized_volatility,relative_rank__minute_time_of_low,relative_rank__minute_volume_herfindahl
MARKET|2018|ALL_A|01|603037.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-08,2018,1,-5,,25.399999999999999,25.409999847412109,False,2540,2541,1,0.0099998474121107007,0.0099998474121107007,0.037579857196542603,0.95452837279218283,0.9549041656299172,0.95527996993611397,0.95527996993611397,0.89590379556557675,True,0.0125884979752272,0.79668049792531115,19,0.0121951009418719,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00,-0.012588497975228201,True,0.012588497975228201,0.80000000000000004,7,-0.00039339703335619999,True,0,0.0121951009418719,7.668692437817179,-0.012588497975228201,True,0.012588497975228201,0.79668049792531115,7,-0.00039339703335619999,True,0,0.0121951009418719,7.614769840778143,-0.012588497975228201,True,0.012588497975228201,0.80000000000000004,7,-0.00039339703335619999,True,0,0.0121951009418719,7.668692437817179,-0.012588497975228201,True,0.012588497975228201,0.79668049792531115,7,-0.00039339703335619999,True,0,0.0121951009418719,7.614769840778143,0.052852364994534197,False,0,0,0,0.065855698297486401,,,,,0.052852364994534197,False,0,0,0,0.065855698297486401,,,,,0.14999999999999999,0.84999999999999987,0.84999999999999987,0.14999999999999991,0.5,0.5,0.75,-0.01258851298190411,-0.00078678206136917339,0.024803149606299174,-0.0039200462788121504,0.024696164449788244,0.49206329983863206,0.075313807531380755,0.020471437615937206,0.013494220753086273,0.25482425913163337,0.18105068604724014,0.14999999999999999,0.14999999999999999,0.45000000000000001,0.45000000000000001,0.65000000000000002,0.75,0.55000000000000004,0.050000000000000003,0.20000000000000001,0.65000000000000002
MARKET|2018|ALL_A|01|603037.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-11,2018,1,-4,,25.600000000000001,25.610000610351559,False,2560,2561,1,0.010000610351561001,0.010000610351561001,0.037579857196542603,0.96204434423149165,0.96242016574038125,0.94325441563322021,0.94325441563322021,0.89590379556557675,False,0,0,3,0.017928317248583701,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00,0.002390432167812,False,0,0,0,0.0203187494163958,,,,,0.002390432167812,False,0,0,0,0.0203187494163958,,,,,0.002390432167812,False,0,0,0,0.0203187494163958,,,,,0.002390432167812,False,0,0,0,0.0203187494163958,,,,,0.055369121116278501,False,0,0,0,0.074244992044946806,,,,,0.055369121116278501,False,0,0,0,0.074244992044946806,,,,,0.45000000000000001,0.34999999999999992,0.34999999999999992,0.55000000000000004,,,,0.0023904382470121277,0.019920318725099806,0.021484375000000028,0.01065510876629161,0.021704784283688223,0.81818434029921139,0.008368200836820083,0.019520287029538983,0.015363417933677674,0.11931576772421179,0.18483079472061678,0.55000000000000004,0.45000000000000001,0.25,0.94999999999999996,0.75,0.75,0.14999999999999999,0.14999999999999999,0.45000000000000001,0.84999999999999998
MARKET|2018|ALL_A|01|603037.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-12,2018,1,-3,,26.109999999999999,26.120000839233398,False,2611,2612,1,0.010000839233399001,0.010000839233399001,0.037579857196542603,0.98121007140172822,0.98158590151196501,0.94325441563322021,0.94325441563322021,0.89590379556557675,False,0,0,48,0.032669386540751001,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-12T15:30:00+08:00,0.0079680970940446995,False,0,0,0,0.040637483634795801,,,,,0.0079680970940446995,False,0,0,0,0.040637483634795801,,,,,0.0079680970940446995,False,0,0,0,0.040637483634795801,,,,,0.0079680970940446995,False,0,0,0,0.040637483634795801,,,,,0.061241578735759798,False,0,0,0,0.095637619095359103,,,,,0.061241578735759798,False,0,0,0,0.095637619095359103,,,,,0.65000000000000002,0.40000000000000002,0.40000000000000002,0.55000000000000004,,,,0.0079681274900398336,0.040239043824701115,0.031788586748372205,0.020711242027558585,0.032434541569243316,0.98795382837077939,0.19665271966527198,0.020698144197138193,0.018411391766191058,0.11824169601891867,0.36002722889760436,0.55000000000000004,0.65000000000000002,0.55000000000000004,0.94999999999999996,0.94999999999999996,0.94999999999999996,0.050000000000000003,0.050000000000000003,0.34999999999999998,0.84999999999999998
MARKET|2018|ALL_A|01|603037.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-13,2018,1,-2,,25.34,25.309999465942383,False,2534,2531,-3,-0.030000534057617,0.030000534057617,0.037579857196542603,0.95227358136039042,0.95114616557468523,0.94325441563322021,0.94325441563322021,0.89590379556557675,False,0,0,237,0.0011951704899151,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-13T15:30:00+08:00,0.0071713420974297004,False,0,0,0,0.0083665125873450992,,,,,0.0071713420974297004,False,0,0,0,0.0083665125873450992,,,,,0.0071713420974297004,False,0,0,0,0.0083665125873450992,,,,,0.0071713420974297004,False,0,0,0,0.0083665125873450992,,,,,0.0604027133660014,False,0,0,0,0.061661051423756302,,,,,0.0604027133660014,False,0,0,0,0.061661051423756302,,,,,0.45000000000000001,0.40000000000000002,0.34999999999999992,0.45000000000000001,,,,0.007171314741035939,0.0095617529880478447,0.034333070244672352,-0.02578907190528279,0.033487257398537931,0.034481397847104994,0.9874476987447699,0.026590752927729791,0.018092410157543863,0.16665159040383454,0.21422482645447802,0.45000000000000001,0.45000000000000001,0.55000000000000004,0.25,0.45000000000000001,0.55000000000000004,0.45000000000000001,0.55000000000000004,0.94999999999999996,0.75
MARKET|2018|ALL_A|01|603037.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-14,2018,1,-1,,25.359999999999999,25.370000839233398,False,2536,2537,1,0.010000839233399001,0.010000839233399001,0.037579857196542603,0.95302517850432122,0.95340100861455801,0.94325441563322021,0.94325441563322021,0.89590379556557675,False,0,0,1,0.0095618198592348005,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-14T15:30:00+08:00,0.0011951856879115,False,0,0,0,0.010757005547146399,,,,,0.0011951856879115,False,0,0,0,0.010757005547146399,,,,,0.0011951856879115,False,0,0,0,0.010757005547146399,,,,,0.0011951856879115,False,0,0,0,0.010757005547146399,,,,,0.0541107030522891,False,0,0,0,0.064177887551735105,,,,,0.0541107030522891,False,0,0,0,0.064177887551735105,,,,,0.55000000000000004,0.25,0.25,0.65000000000000002,,,,0.0011952191235058418,0.010358565737051739,0.018927444794952699,0.0091488247879458751,0.019093136882994705,0.50000198681549235,0,0.015386811828937318,0.014400932484436611,0.22405655719899681,0.1071506151385296,0.65000000000000002,0.55000000000000004,0.14999999999999999,0.75,0.14999999999999999,0.84999999999999998,0.55000000000000004,0.050000000000000003,0.14999999999999999,0.65000000000000002
MARKET|2018|ALL_A|02|600673.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-08,2018,2,-5,,11.27,11.300000190734863,False,1127,1130,3,0.030000190734863701,0.030000190734863701,0.1472754050073638,1.6597938144329905,1.6642121046737657,1.3755522827687785,1.3637702503681894,1.2562592047128138,False,0,0,30,0.0453563797293677,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00,0.16488223923350251,False,0,0,0,0.20985012748767221,,,,,0.16488223923350251,False,0,0,0,0.20985012748767221,,,,,0.1749460166782843,False,0,0,0,0.22030239640765201,,,,,0.1749460166782843,False,0,0,0,0.22030239640765201,,,,,0.27549825491687141,False,0,0,0,0.32473624744840068,,,,,0.27549825491687141,False,0,0,0,0.32473624744840068,,,,,0.94999999999999996,0.34999999999999992,0.34999999999999992,0.94999999999999996,,,,0.17494600431965424,0.21706263498920064,0.12954747116237791,-0.049621542098543858,0.12279226206809042,0.28767127761654587,0.12133891213389121,0.062232003490923518,0.013703145144333283,0.48407649465228891,0.11559572503255432,0.94999999999999996,0.94999999999999996,0.94999999999999996,0.34999999999999998,0.14999999999999999,0.050000000000000003,0.94999999999999996,0.94999999999999996,0.34999999999999998,0.75
MARKET|2018|ALL_A|02|600673.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-11,2018,2,-4,,11.94,11.920000076293944,False,1194,1192,-2,-0.0199999237060541,0.0199999237060541,0.1472754050073638,1.7584683357879245,1.755522838923999,1.4462444771723133,1.3637702503681894,1.2562592047128138,False,0,0,2,0.0939524714426654,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00,0.12525460190782661,False,0,0,0,0.213849294938283,,,,,0.12525460190782661,False,0,0,0,0.213849294938283,,,,,0.19330455623486581,False,0,0,0,0.2872570276775312,,,,,0.19330455623486581,False,0,0,0,0.2872570276775312,,,,,0.2954279238845085,False,0,0,0,0.39742087647056729,,,,,0.2954279238845085,False,0,0,0,0.39742087647056729,,,,,0.94999999999999996,0.34999999999999992,0.34999999999999992,0.94999999999999996,,,,0.19330453563714878,0.28941684665226752,0.089614740368509097,0.05673762043203312,0.094858131219332675,0.81308423709598066,0.0041841004184100415,0.042038583695844824,0.0083172968422124977,0.19948603639252047,0.098521799034887406,0.94999999999999996,0.94999999999999996,0.94999999999999996,0.84999999999999998,0.050000000000000003,0.94999999999999996,0.65000000000000002,0.94999999999999996,0.34999999999999998,0.34999999999999998
MARKET|2018|ALL_A|02|600673.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-12,2018,2,-3,,11.720000000000001,11.720000267028809,False,1172,1172,0,2.6702880795426154e-07,2.6702880795426154e-07,0.1472754050073638,1.7260677466863044,1.7260677860130804,1.4462444771723133,1.3637702503681894,1.2562592047128138,False,0,0,56,0.0129589509243069,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-12T15:30:00+08:00,0.18126276797043989,False,0,0,0,0.19348271558338109,,,,,0.18126276797043989,False,0,0,0,0.19348271558338109,,,,,0.25269982521271278,False,0,0,0,0.26565877613701971,,,,,0.25269982521271278,False,0,0,0,0.26565877613701971,,,,,0.3599062580855476,False,0,0,0,0.3739742399799299,,,,,0.3599062580855476,False,0,0,0,0.3739742399799299,,,,,0.94999999999999996,0.40000000000000002,0.40000000000000002,0.94999999999999996,,,,0.25269978401727844,0.26565874730021588,0.04095563139931744,-0.01429773518799049,0.0403700192074333,0.25,0.23012552301255229,0.034490435106046824,0.0094937844518738403,0.27502722805077229,0.17650090116966777,0.94999999999999996,0.94999999999999996,0.84999999999999998,0.050000000000000003,0.65000000000000002,0.14999999999999999,0.94999999999999996,0.84999999999999998,0.65000000000000002,0.25
MARKET|2018|ALL_A|02|600673.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-13,2018,2,-2,,11.140000000000001,11.149999618530272,False,1114,1115,1,0.0099996185302727008,0.0099996185302727008,0.1472754050073638,1.6406480117820332,1.6421207096509982,1.4462444771723133,1.3637702503681894,1.2562592047128138,False,0,0,85,0.0064794239678597002,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-13T15:30:00+08:00,0.12932791777880689,False,0,0,0,0.13543784302752221,,,,,0.12932791777880689,False,0,0,0,0.13543784302752221,,,,,0.197624206542968,False,0,0,0,0.20410363051082811,,,,,0.197624206542968,False,0,0,0,0.20410363051082811,,,,,0.30011725118263588,False,0,0,0,0.30715118622863641,,,,,0.30011725118263588,False,0,0,0,0.30715118622863641,,,,,0.94999999999999996,0.40000000000000002,0.34999999999999992,0.94999999999999996,,,,0.19762419006479437,0.20302375809935191,0.068222621184919188,-0.03630078542541626,0.065687143381846266,0.0789466419380664,0.35146443514644349,0.032102082357965883,0.0094612239455710706,0.17674825757569657,0.16029107375481613,0.94999999999999996,0.94999999999999996,0.94999999999999996,0.45000000000000001,0.25,0.14999999999999999,0.55000000000000004,0.75,0.14999999999999999,0.14999999999999999
MARKET|2018|ALL_A|02|600673.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-14,2018,2,-1,,11.02,11.039999961853027,False,1102,1104,2,0.019999961853027701,0.019999961853027701,0.1472754050073638,1.6229749631811494,1.6259204656631858,1.5066273932253325,1.3637702503681894,1.2562592047128138,False,0,0,3,0.0097192389403768006,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-14T15:30:00+08:00,0.070381213026894499,False,0,0,0,0.079178881901566106,,,,,0.070381213026894499,False,0,0,0,0.079178881901566106,,,,,0.1825053789703166,False,0,0,0,0.19222461791069359,,,,,0.1825053789703166,False,0,0,0,0.19222461791069359,,,,,0.28370454973799902,False,0,0,0,0.29425556410938131,,,,,0.28370454973799902,False,0,0,0,0.29425556410938131,,,,,0.94999999999999996,0.25,0.25,0.94999999999999996,,,,0.18250539956803435,0.19006479481641447,0.036297640653357569,-0.0036101048852397177,0.036101134924087348,0.22500005960455952,0.008368200836820083,0.03286922243271808,0.010522149424974637,0.33861685368430544,0.16849231348516536,0.94999999999999996,0.94999999999999996,0.65000000000000002,0.34999999999999998,0.65000000000000002,0.45000000000000001,0.94999999999999996,0.84999999999999998,0.45000000000000001,0.34999999999999998
