left_role,right_role,scope,n,residual_spearman,pair_compression_pass
below_level_close_fraction,loss_episode_count,A,123,-0.19215018605581033,False
below_level_close_fraction,loss_episode_count,B,127,-0.0070010779902512183,False
below_level_close_fraction,loss_episode_count,GLOBAL,250,-0.097448930023658634,False
below_level_close_fraction,post_cross_activity_ratio,A,123,-0.32684556400384362,False
below_level_close_fraction,post_cross_activity_ratio,B,127,-0.25789159167604048,False
below_level_close_fraction,post_cross_activity_ratio,GLOBAL,250,-0.29170549931781253,False
below_level_close_fraction,post_cross_cumulative_vwap_acceptance_fraction,A,123,-0.23822237700001936,False
below_level_close_fraction,post_cross_cumulative_vwap_acceptance_fraction,B,127,-0.22534097300337455,False
below_level_close_fraction,post_cross_cumulative_vwap_acceptance_fraction,GLOBAL,250,-0.2324947784724454,False
below_level_close_fraction,reacquisition_bars,A,83,0.21708192523246789,False
below_level_close_fraction,reacquisition_bars,B,79,0.37453748782862706,False
below_level_close_fraction,reacquisition_bars,GLOBAL,162,0.3012127430460978,False
continuation30_log_return,below_level_close_fraction,A,123,-0.2254919031864879,False
continuation30_log_return,below_level_close_fraction,B,127,-0.22799493813273339,False
continuation30_log_return,below_level_close_fraction,GLOBAL,250,-0.21592106056434351,False
continuation30_log_return,loss_episode_count,A,123,-0.038513875184604772,False
continuation30_log_return,loss_episode_count,B,127,0.14490180914885639,False
continuation30_log_return,loss_episode_count,GLOBAL,250,0.069147655467886884,False
continuation30_log_return,post_cross_activity_ratio,A,123,0.011350371789166844,False
continuation30_log_return,post_cross_activity_ratio,B,127,0.1780089988751406,False
continuation30_log_return,post_cross_activity_ratio,GLOBAL,250,0.07964792753644892,False
continuation30_log_return,post_cross_cumulative_vwap_acceptance_fraction,A,123,0.14997323633924714,False
continuation30_log_return,post_cross_cumulative_vwap_acceptance_fraction,B,127,0.10189351331083614,False
continuation30_log_return,post_cross_cumulative_vwap_acceptance_fraction,GLOBAL,250,0.081663961341303756,False
continuation30_log_return,reacquisition_bars,A,83,0.031107659369030878,False
continuation30_log_return,reacquisition_bars,B,79,-0.099683544303797486,False
continuation30_log_return,reacquisition_bars,GLOBAL,162,-0.062889611168583007,False
continuation30_log_return,rejection_depth,A,123,0.19807688587072186,False
continuation30_log_return,rejection_depth,B,127,0.23015677727784026,False
continuation30_log_return,rejection_depth,GLOBAL,250,0.19715312986368155,False
loss_episode_count,post_cross_activity_ratio,A,123,0.21140067457323247,False
loss_episode_count,post_cross_activity_ratio,B,127,-0.1376663854518185,False
loss_episode_count,post_cross_activity_ratio,GLOBAL,250,0.043094354606138037,False
loss_episode_count,post_cross_cumulative_vwap_acceptance_fraction,A,123,0.10883458767839754,False
loss_episode_count,post_cross_cumulative_vwap_acceptance_fraction,B,127,-0.071375843644544426,False
loss_episode_count,post_cross_cumulative_vwap_acceptance_fraction,GLOBAL,250,0.026237239946039412,False
loss_episode_count,reacquisition_bars,A,83,-0.15826703889506941,False
loss_episode_count,reacquisition_bars,B,79,-0.13617332035053553,False
loss_episode_count,reacquisition_bars,GLOBAL,162,-0.1527254611119187,False
post_cross_cumulative_vwap_acceptance_fraction,post_cross_activity_ratio,A,123,0.17535034599286733,False
post_cross_cumulative_vwap_acceptance_fraction,post_cross_activity_ratio,B,127,0.29105736782902136,False
post_cross_cumulative_vwap_acceptance_fraction,post_cross_activity_ratio,GLOBAL,250,0.22581460245925403,False
reacquisition_bars,post_cross_activity_ratio,A,83,-0.15106735794798598,False
reacquisition_bars,post_cross_activity_ratio,B,79,-0.013680623174294063,False
reacquisition_bars,post_cross_activity_ratio,GLOBAL,162,-0.10447824387242277,False
reacquisition_bars,post_cross_cumulative_vwap_acceptance_fraction,A,83,0.12394786003652318,False
reacquisition_bars,post_cross_cumulative_vwap_acceptance_fraction,B,79,0.0091041869522882173,False
reacquisition_bars,post_cross_cumulative_vwap_acceptance_fraction,GLOBAL,162,0.052629350555140793,False
rejection_depth,below_level_close_fraction,A,123,-0.68212509915452635,False
rejection_depth,below_level_close_fraction,B,127,-0.65656636670416191,False
rejection_depth,below_level_close_fraction,GLOBAL,250,-0.69345457184626069,False
rejection_depth,loss_episode_count,A,123,0.073577495308298019,False
rejection_depth,loss_episode_count,B,127,-0.071961707911511061,False
rejection_depth,loss_episode_count,GLOBAL,250,-0.0091097847528707355,False
rejection_depth,post_cross_activity_ratio,A,123,0.33500364372730734,False
rejection_depth,post_cross_activity_ratio,B,127,0.16169853768278963,False
rejection_depth,post_cross_activity_ratio,GLOBAL,250,0.27262729141442243,False
rejection_depth,post_cross_cumulative_vwap_acceptance_fraction,A,123,0.18802922720735712,False
rejection_depth,post_cross_cumulative_vwap_acceptance_fraction,B,127,0.12508787964004497,False
rejection_depth,post_cross_cumulative_vwap_acceptance_fraction,GLOBAL,250,0.1677136602226546,False
rejection_depth,reacquisition_bars,A,83,-0.35987909573686538,False
rejection_depth,reacquisition_bars,B,79,-0.22095910418695228,False
rejection_depth,reacquisition_bars,GLOBAL,162,-0.31397667660702921,False
