trade_date,market_view,denominator,available_at,event_year,session_ordinal,breakout_formation_depth20_pit_3y_pct,breadth_net_new_high_low60_pit_3y_pct,realized_volatility_median20_pit_3y_pct,median_signed_limit_utilization,open_close_log_return__median,intraday_log_range__median,crossing_first_trough_share_h3,crossing_first_trough_share_h5,accepted_first_trough_share_h3,rejected_first_trough_share_h3
2020-07-28,ALL_A,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.85445205479452035,0.72420634920600002,0.87896825396800005,0.088607594936699896,0.0027434832539900002,0.032002700560799902,0.56872037914691942,0.5545023696682464,0.50485436893203883,0.63207547169811318
2020-07-28,ALL_A,NON_ST,2020-07-28T15:30:00,2020,583,0.85445205479452035,0.68452380952400005,0.88888888888899975,0.0847457627119,0.0025912247787299001,0.032011768761099901,0.56632653061224492,0.55612244897959184,0.5,0.63636363636363635
2020-07-28,CHINEXT_BOARD,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.56335616438356162,0.42658730158699992,0.80357142857099995,0.110497237569,0.0036433491245100001,0.036238396742699901,0.63414634146341464,0.63414634146341464,0.47368421052631576,0.77272727272727271
2020-07-28,CHINEXT_BOARD,NON_ST,2020-07-28T15:30:00,2020,583,0.56335616438356162,0.42658730158699992,0.80357142857099995,0.110497237569,0.0036433491245100001,0.036238396742699901,0.63414634146341464,0.63414634146341464,0.47368421052631576,0.77272727272727271
2020-07-28,SH_A,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.90582191780821919,0.72817460317500005,0.91468253968299995,0.070346402740799896,0.00225823451473,0.029767247867599898,0.59999999999999998,0.57777777777777772,0.48780487804878048,0.69387755102040816
2020-07-28,SH_A,NON_ST,2020-07-28T15:30:00,2020,583,0.91438356164383561,0.72519841269800001,0.930555555556,0.0666666666667,0.0020724881917299001,0.029797335018900001,0.59999999999999998,0.57647058823529407,0.5,0.68888888888888888
2020-07-28,SZ_A,ALL_STATUS,2020-07-28T15:30:00,2020,583,0.7773972602739726,0.72023809523799975,0.83531746031700005,0.102719033233,0.0031645566184300001,0.033752290502000001,0.54545454545454541,0.53719008264462809,0.5161290322580645,0.57894736842105265
2020-07-28,SZ_A,NON_ST,2020-07-28T15:30:00,2020,583,0.76369863013698625,0.66666666666700003,0.85119047618999977,0.10067114094,0.0029179615914300002,0.033860518205099902,0.54054054054054057,0.54054054054054057,0.5,0.59259259259259256
2020-07-29,ALL_A,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.77094017094017075,0.86138613861400004,0.89504950495000002,0.193201078582,0.0226318465425,0.0389125387044,0.45045045045045046,0.36936936936936937,0.46250000000000002,0.43333333333333335
2020-07-29,ALL_A,NON_ST,2020-07-29T15:30:00,2020,584,0.77094017094017075,0.85346534653499995,0.90297029702999998,0.1940298507459999,0.023076479580599898,0.0392660324936,0.43867924528301888,0.35849056603773582,0.45454545454545453,0.4107142857142857
2020-07-29,CHINEXT_BOARD,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.36752136752136733,0.90693069306899998,0.82376237623799975,0.24242424242400001,0.027468604827,0.0434488020833999,0.41666666666666669,0.38333333333333336,0.45238095238095238,0.33333333333333331
2020-07-29,CHINEXT_BOARD,NON_ST,2020-07-29T15:30:00,2020,584,0.36752136752136733,0.90693069306899998,0.82376237623799975,0.24242424242400001,0.027468604827,0.0434488020833999,0.41666666666666669,0.38333333333333336,0.45238095238095238,0.33333333333333331
2020-07-29,SH_A,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.74017094017094021,0.60594059405900003,0.92277227722800004,0.166666666667,0.020901508649800001,0.037161212871900003,0.50632911392405067,0.39240506329113922,0.52727272727272723,0.47826086956521741
2020-07-29,SH_A,NON_ST,2020-07-29T15:30:00,2020,584,0.75213675213675213,0.62079207920799995,0.94653465346499999,0.166666666667,0.0212568650241,0.037344669337000001,0.5,0.38157894736842107,0.51851851851851849,0.47619047619047616
2020-07-29,SZ_A,ALL_STATUS,2020-07-29T15:30:00,2020,584,0.75555555555555554,0.91089108910899996,0.86336633663399975,0.20676691729300001,0.023827279966600001,0.040388071679799901,0.41958041958041958,0.35664335664335667,0.42857142857142855,0.40540540540540543
2020-07-29,SZ_A,NON_ST,2020-07-29T15:30:00,2020,584,0.75042735042735043,0.90297029702999998,0.873267326733,0.20754716981099991,0.024155740228199898,0.040762587206500001,0.40441176470588236,0.34558823529411764,0.41999999999999998,0.37142857142857144
2020-07-30,ALL_A,ALL_STATUS,2020-07-30T15:30:00,2020,585,0.88395904436860073,0.92292490118600001,0.88735177865600001,-0.058823529411800003,-0.0066006777987299,0.0319818515884999,0.76760563380281688,0.60093896713615025,0.69506726457399104,0.845771144278607
2020-07-30,ALL_A,NON_ST,2020-07-30T15:30:00,2020,585,0.88054607508532423,0.91501976284599995,0.89328063241099975,-0.059262510974499902,-0.00686671594932,0.032219942259200003,0.775609756097561,0.60243902439024388,0.70673076923076927,0.84499999999999997
2020-07-30,CHINEXT_BOARD,ALL_STATUS,2020-07-30T15:30:00,2020,585,0.7235494880546075,0.90612648221299996,0.82213438735199995,-0.098901098901100007,-0.011074987747600001,0.035171556676399901,0.80733944954128445,0.6330275229357798,0.73999999999999999,0.86440677966101698
