role,challenge,scope,n,spearman,sign_agreement,within_one,exact_agreement
above_level_close_episode_count,L10_CONTINUOUS,BLOCK_A,432,0.94923059815498267,0.99305555555555558,0.95601851851851849,0.91203703703703709
above_level_close_episode_count,L10_CONTINUOUS,BLOCK_B,467,0.86931604672295992,0.98929336188436834,0.92291220556745179,0.87366167023554608
above_level_close_episode_count,L10_CONTINUOUS,GLOBAL,899,0.90821880078286565,0.99110122358175756,0.93882091212458285,0.89210233592880983
above_level_close_episode_count,L10_CONTINUOUS,VIEW_ALL_A,232,0.93660848767952742,1,0.94827586206896552,0.89655172413793105
above_level_close_episode_count,L10_CONTINUOUS,VIEW_CHINEXT_BOARD,242,0.908361040575412,0.98347107438016534,0.95041322314049592,0.89669421487603307
above_level_close_episode_count,L10_CONTINUOUS,VIEW_SH_A,221,0.90637582370772773,0.99547511312217196,0.93665158371040724,0.90045248868778283
above_level_close_episode_count,L10_CONTINUOUS,VIEW_SZ_A,204,0.8778451038468702,0.98529411764705888,0.91666666666666663,0.87254901960784315
above_level_close_episode_count,L20_AUCTION,BLOCK_A,432,0.9942687655398752,0.99537037037037035,1,0.96064814814814814
above_level_close_episode_count,L20_AUCTION,BLOCK_B,467,0.99442609878744248,0.98929336188436834,1,0.95289079229122053
above_level_close_episode_count,L20_AUCTION,GLOBAL,899,0.99442796564929758,0.99221357063403781,1,0.95661846496106784
above_level_close_episode_count,L20_AUCTION,VIEW_ALL_A,232,0.9900878046223287,0.98706896551724133,1,0.96120689655172409
above_level_close_episode_count,L20_AUCTION,VIEW_CHINEXT_BOARD,242,0.99418713046723162,0.98347107438016534,1,0.95041322314049592
above_level_close_episode_count,L20_AUCTION,VIEW_SH_A,221,0.99477300817214198,1,1,0.94570135746606332
above_level_close_episode_count,L20_AUCTION,VIEW_SZ_A,204,0.99862500444529645,1,1,0.97058823529411764
above_level_close_episode_count,L40_CONTINUOUS,BLOCK_A,249,0.89711610426452904,0.98795180722891562,0.95180722891566261,0.92771084337349397
above_level_close_episode_count,L40_CONTINUOUS,BLOCK_B,295,0.93008703190573261,0.99322033898305084,0.94237288135593222,0.91864406779661012
above_level_close_episode_count,L40_CONTINUOUS,GLOBAL,544,0.91364012774015613,0.9908088235294118,0.9466911764705882,0.92279411764705888
above_level_close_episode_count,L40_CONTINUOUS,VIEW_ALL_A,144,0.94211156403054253,0.99305555555555558,0.96527777777777779,0.95833333333333337
above_level_close_episode_count,L40_CONTINUOUS,VIEW_CHINEXT_BOARD,145,0.86117404248192375,0.97241379310344822,0.93103448275862066,0.89655172413793105
above_level_close_episode_count,L40_CONTINUOUS,VIEW_SH_A,144,0.91074848184609858,1,0.9375,0.91666666666666663
above_level_close_episode_count,L40_CONTINUOUS,VIEW_SZ_A,111,0.95322128659271022,1,0.95495495495495497,0.91891891891891897
below_level_close_fraction,L10_CONTINUOUS,BLOCK_A,432,0.94464377674911737,0.97222222222222221,1,0.89814814814814814
below_level_close_fraction,L10_CONTINUOUS,BLOCK_B,467,0.91442155491496269,0.94860813704496783,1,0.84154175588865099
below_level_close_fraction,L10_CONTINUOUS,GLOBAL,899,0.92943600653314373,0.95995550611790881,1,0.86874304783092327
below_level_close_fraction,L10_CONTINUOUS,VIEW_ALL_A,232,0.97441550969842661,0.97844827586206895,1,0.87931034482758619
below_level_close_fraction,L10_CONTINUOUS,VIEW_CHINEXT_BOARD,242,0.88673096756177461,0.93388429752066116,1,0.86776859504132231
below_level_close_fraction,L10_CONTINUOUS,VIEW_SH_A,221,0.94555654986987725,0.9773755656108597,1,0.89140271493212675
below_level_close_fraction,L10_CONTINUOUS,VIEW_SZ_A,204,0.90729697159964551,0.9509803921568627,1,0.83333333333333337
below_level_close_fraction,L20_AUCTION,BLOCK_A,432,0.99983867284604167,1,1,0.89351851851851849
below_level_close_fraction,L20_AUCTION,BLOCK_B,467,0.99969001222735987,0.99785867237687365,1,0.86723768736616702
below_level_close_fraction,L20_AUCTION,GLOBAL,899,0.999776382730447,0.99888765294771964,1,0.87986651835372631
below_level_close_fraction,L20_AUCTION,VIEW_ALL_A,232,0.99941342356873197,0.99568965517241381,1,0.87068965517241381
below_level_close_fraction,L20_AUCTION,VIEW_CHINEXT_BOARD,242,0.99984675496533459,1,1,0.86776859504132231
below_level_close_fraction,L20_AUCTION,VIEW_SH_A,221,0.99989697270059663,1,1,0.90045248868778283
below_level_close_fraction,L20_AUCTION,VIEW_SZ_A,204,0.99988791517233888,1,1,0.88235294117647056
below_level_close_fraction,L40_CONTINUOUS,BLOCK_A,249,0.94768510969659114,0.97991967871485941,1,0.92369477911646591
below_level_close_fraction,L40_CONTINUOUS,BLOCK_B,295,0.93616160822769323,0.96610169491525422,1,0.90169491525423728
below_level_close_fraction,L40_CONTINUOUS,GLOBAL,544,0.94110952154216476,0.97242647058823528,1,0.91176470588235292
below_level_close_fraction,L40_CONTINUOUS,VIEW_ALL_A,144,0.97118279628501925,0.99305555555555558,1,0.95138888888888884
below_level_close_fraction,L40_CONTINUOUS,VIEW_CHINEXT_BOARD,145,0.85820619967347944,0.96551724137931039,1,0.87586206896551722
below_level_close_fraction,L40_CONTINUOUS,VIEW_SH_A,144,0.96641467054578767,0.97222222222222221,1,0.91666666666666663
below_level_close_fraction,L40_CONTINUOUS,VIEW_SZ_A,111,0.94919064703070666,0.95495495495495497,1,0.90090090090090091
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,BLOCK_A,432,0.98275471050685059,1,1,0.39814814814814814
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,BLOCK_B,467,0.97433217218488977,1,1,0.40042826552462529
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,GLOBAL,899,0.97877427517304039,1,1,0.39933259176863184
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,VIEW_ALL_A,232,0.97980779012200148,1,1,0.43534482758620691
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,VIEW_CHINEXT_BOARD,242,0.97197359487212442,1,1,0.34710743801652894
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,VIEW_SH_A,221,0.97018659657497774,1,1,0.38914027149321267
below_level_close_fraction,SHAPE_longest_below_level_run_fraction,VIEW_SZ_A,204,0.98751455157756496,1,1,0.43137254901960786
closing_acceptance_margin,L10_CONTINUOUS,BLOCK_A,474,0.96255078645838688,0.97257383966244726,1,0.87341772151898733
closing_acceptance_margin,L10_CONTINUOUS,BLOCK_B,490,0.94974531932849737,0.94489795918367347,1,0.82244897959183672
closing_acceptance_margin,L10_CONTINUOUS,GLOBAL,964,0.95531216605237623,0.95850622406639008,1,0.84751037344398339
closing_acceptance_margin,L10_CONTINUOUS,VIEW_ALL_A,246,0.98237727085494653,0.96747967479674801,1,0.86178861788617889
closing_acceptance_margin,L10_CONTINUOUS,VIEW_CHINEXT_BOARD,261,0.93333130850898693,0.95402298850574707,1,0.82375478927203061
