lifecycle,events,dates,symbols,entry_coverage,next_day_blocked,next_day_suspended,median_capacity_cny,p10_capacity_cny,complete_h1,mean_net_h1,median_net_h1,complete_h3,mean_net_h3,median_net_h3,complete_h5,mean_net_h5,median_net_h5,winner_h3,severe_h5,mean_net_h3_early,events_early,mean_net_h3_late,events_late
EARLY_STABLE_ACCEPTANCE,24537,1436,3662,0.963198435,0.2197497657,0.004360761299,869526.3805,288641.4337,23522,-0.02181187429,-0.02720185615,23355,-0.02731916532,-0.03777777778,23185,-0.03143822941,-0.04537931034,0.3257546564,0.2773776148,-0.03162613651,10335,-0.02420257103,14202
FAILED_ACCEPTANCE,35570,1437,4136,0.9959235311,0.005960078718,0.002361540624,1100472.808,309241.1503,35276,-0.002373970194,-0.006470152745,35044,-0.002824980686,-0.01069642857,34764,-0.003237875955,-0.01324856727,0.4322280562,0.1277758601,-0.003637357557,16501,-0.002122730238,19069
LATE_STABLE_ACCEPTANCE,6588,1324,2753,0.9916514876,0.02307225258,0.004705525197,1524171.766,368436.5469,6497,-0.0103171467,-0.01472289157,6445,-0.01503301134,-0.02111761458,6395,-0.01873112078,-0.02825876011,0.3787432118,0.1946833464,-0.01548223435,3604,-0.01448969328,2984
MID_STABLE_ACCEPTANCE,8422,1374,3087,0.9916884351,0.04891949656,0.002849679411,1216358.432,340670.851,8310,-0.01362128505,-0.01851375198,8231,-0.01692027088,-0.02647191011,8155,-0.02017651535,-0.0314473925,0.3615599563,0.2040465972,-0.02215400847,3425,-0.0133281748,4997
REOPEN_SUCCESSFUL_RESEAL,32016,1437,4129,0.9892553723,0.03976136932,0.004591454273,1297181.898,330555.9727,31531,-0.006723329537,-0.01109219858,31231,-0.009362411454,-0.01760544218,31010,-0.01152101696,-0.0230387349,0.4079600397,0.2017413738,-0.01037512975,15769,-0.008377264475,16247
