audit_type,scope,scope_value,market_view,denominator,horizon,closing_arm,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,arm_robustness,accepted,ALL_A,ALL_STATUS,3,accepted,829,-0.068399052043103911,,,
partial_rank,arm_robustness,accepted,ALL_A,NON_ST,3,accepted,829,-0.071643928373097854,,,
partial_rank,arm_robustness,accepted,CHINEXT_BOARD,ALL_STATUS,3,accepted,826,-0.060272414763706289,,,
partial_rank,arm_robustness,accepted,CHINEXT_BOARD,NON_ST,3,accepted,827,-0.058566373717159746,,,
partial_rank,arm_robustness,accepted,SH_A,ALL_STATUS,3,accepted,829,-0.022129770096242729,,,
partial_rank,arm_robustness,accepted,SH_A,NON_ST,3,accepted,829,-0.023460979691822526,,,
partial_rank,arm_robustness,accepted,SZ_A,ALL_STATUS,3,accepted,829,-0.062294908681500241,,,
partial_rank,arm_robustness,accepted,SZ_A,NON_ST,3,accepted,829,-0.068130487303508389,,,
partial_rank,arm_robustness,rejected,ALL_A,ALL_STATUS,3,rejected,829,-0.036270967902929746,,,
partial_rank,arm_robustness,rejected,ALL_A,NON_ST,3,rejected,829,-0.035516409497261071,,,
partial_rank,arm_robustness,rejected,CHINEXT_BOARD,ALL_STATUS,3,rejected,826,-0.084014256129953377,,,
partial_rank,arm_robustness,rejected,CHINEXT_BOARD,NON_ST,3,rejected,827,-0.076800825490552713,,,
partial_rank,arm_robustness,rejected,SH_A,ALL_STATUS,3,rejected,829,-0.0004852954868231339,,,
partial_rank,arm_robustness,rejected,SH_A,NON_ST,3,rejected,829,0.0026671761933348224,,,
partial_rank,arm_robustness,rejected,SZ_A,ALL_STATUS,3,rejected,829,-0.037612137571419256,,,
partial_rank,arm_robustness,rejected,SZ_A,NON_ST,3,rejected,829,-0.03547487867655133,,,
partial_rank,block,A,ALL_A,ALL_STATUS,3,,107,-0.0064270942081106931,,,
partial_rank,block,A,ALL_A,NON_ST,3,,107,0.023612168780532107,,,
partial_rank,block,A,CHINEXT_BOARD,ALL_STATUS,3,,107,-0.022474494985046944,,,
partial_rank,block,A,CHINEXT_BOARD,NON_ST,3,,107,-0.01958399469501863,,,
partial_rank,block,A,SH_A,ALL_STATUS,3,,107,0.13010826018098393,,,
partial_rank,block,A,SH_A,NON_ST,3,,107,0.15702052127621052,,,
partial_rank,block,A,SZ_A,ALL_STATUS,3,,107,-0.0095317402714136506,,,
partial_rank,block,A,SZ_A,NON_ST,3,,107,0.020816242584201262,,,
partial_rank,block,B,ALL_A,ALL_STATUS,3,,722,-0.06289486040732252,,,
partial_rank,block,B,ALL_A,NON_ST,3,,722,-0.066002362205203433,,,
partial_rank,block,B,CHINEXT_BOARD,ALL_STATUS,3,,719,-0.080332159904697151,,,
partial_rank,block,B,CHINEXT_BOARD,NON_ST,3,,720,-0.076249540919613959,,,
partial_rank,block,B,SH_A,ALL_STATUS,3,,722,-0.030692703145139357,,,
