definition,group_type,group_value,crossings,close_above,close_equal,close_below,remaining60,reacquired
L10_CONTINUOUS,BLOCK,A,676,,,,,
L10_CONTINUOUS,BLOCK,B,769,,,,,
L10_CONTINUOUS,OVERALL,ALL,1445,711.0,3.0,731.0,1353.0,989.0
L10_CONTINUOUS,VIEW,ALL_A,348,,,,,
L10_CONTINUOUS,VIEW,CHINEXT_BOARD,393,,,,,
L10_CONTINUOUS,VIEW,SH_A,349,,,,,
L10_CONTINUOUS,VIEW,SZ_A,355,,,,,
L10_CONTINUOUS,VIEW_YEAR,ALL_A|2018,52,,,,,
L10_CONTINUOUS,VIEW_YEAR,ALL_A|2019,40,,,,,
L10_CONTINUOUS,VIEW_YEAR,ALL_A|2020,51,,,,,
L10_CONTINUOUS,VIEW_YEAR,ALL_A|2021,79,,,,,
L10_CONTINUOUS,VIEW_YEAR,ALL_A|2022,52,,,,,
L10_CONTINUOUS,VIEW_YEAR,ALL_A|2023,74,,,,,
L10_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2018,62,,,,,
L10_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2019,68,,,,,
L10_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2020,65,,,,,
L10_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2021,77,,,,,
L10_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2022,62,,,,,
L10_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2023,59,,,,,
L10_CONTINUOUS,VIEW_YEAR,SH_A|2018,47,,,,,
L10_CONTINUOUS,VIEW_YEAR,SH_A|2019,64,,,,,
L10_CONTINUOUS,VIEW_YEAR,SH_A|2020,68,,,,,
L10_CONTINUOUS,VIEW_YEAR,SH_A|2021,52,,,,,
L10_CONTINUOUS,VIEW_YEAR,SH_A|2022,60,,,,,
L10_CONTINUOUS,VIEW_YEAR,SH_A|2023,58,,,,,
L10_CONTINUOUS,VIEW_YEAR,SZ_A|2018,52,,,,,
L10_CONTINUOUS,VIEW_YEAR,SZ_A|2019,44,,,,,
L10_CONTINUOUS,VIEW_YEAR,SZ_A|2020,63,,,,,
L10_CONTINUOUS,VIEW_YEAR,SZ_A|2021,51,,,,,
L10_CONTINUOUS,VIEW_YEAR,SZ_A|2022,62,,,,,
L10_CONTINUOUS,VIEW_YEAR,SZ_A|2023,83,,,,,
L10_CONTINUOUS,YEAR,2018,213,,,,,
L10_CONTINUOUS,YEAR,2019,216,,,,,
L10_CONTINUOUS,YEAR,2020,247,,,,,
L10_CONTINUOUS,YEAR,2021,259,,,,,
L10_CONTINUOUS,YEAR,2022,236,,,,,
L10_CONTINUOUS,YEAR,2023,274,,,,,
L20_AUCTION,BLOCK,A,477,,,,,
L20_AUCTION,BLOCK,B,491,,,,,
L20_AUCTION,OVERALL,ALL,968,464.0,1.0,503.0,903.0,644.0
L20_AUCTION,VIEW,ALL_A,247,,,,,
L20_AUCTION,VIEW,CHINEXT_BOARD,261,,,,,
L20_AUCTION,VIEW,SH_A,239,,,,,
L20_AUCTION,VIEW,SZ_A,221,,,,,
L20_AUCTION,VIEW_YEAR,ALL_A|2018,41,,,,,
L20_AUCTION,VIEW_YEAR,ALL_A|2019,26,,,,,
L20_AUCTION,VIEW_YEAR,ALL_A|2020,40,,,,,
L20_AUCTION,VIEW_YEAR,ALL_A|2021,67,,,,,
L20_AUCTION,VIEW_YEAR,ALL_A|2022,32,,,,,
L20_AUCTION,VIEW_YEAR,ALL_A|2023,41,,,,,
L20_AUCTION,VIEW_YEAR,CHINEXT_BOARD|2018,47,,,,,
L20_AUCTION,VIEW_YEAR,CHINEXT_BOARD|2019,48,,,,,
L20_AUCTION,VIEW_YEAR,CHINEXT_BOARD|2020,46,,,,,
L20_AUCTION,VIEW_YEAR,CHINEXT_BOARD|2021,48,,,,,
L20_AUCTION,VIEW_YEAR,CHINEXT_BOARD|2022,43,,,,,
L20_AUCTION,VIEW_YEAR,CHINEXT_BOARD|2023,29,,,,,
L20_AUCTION,VIEW_YEAR,SH_A|2018,37,,,,,
L20_AUCTION,VIEW_YEAR,SH_A|2019,40,,,,,
L20_AUCTION,VIEW_YEAR,SH_A|2020,49,,,,,
L20_AUCTION,VIEW_YEAR,SH_A|2021,41,,,,,
L20_AUCTION,VIEW_YEAR,SH_A|2022,41,,,,,
L20_AUCTION,VIEW_YEAR,SH_A|2023,31,,,,,
L20_AUCTION,VIEW_YEAR,SZ_A|2018,37,,,,,
L20_AUCTION,VIEW_YEAR,SZ_A|2019,25,,,,,
L20_AUCTION,VIEW_YEAR,SZ_A|2020,41,,,,,
L20_AUCTION,VIEW_YEAR,SZ_A|2021,29,,,,,
L20_AUCTION,VIEW_YEAR,SZ_A|2022,42,,,,,
L20_AUCTION,VIEW_YEAR,SZ_A|2023,47,,,,,
L20_AUCTION,YEAR,2018,162,,,,,
L20_AUCTION,YEAR,2019,139,,,,,
L20_AUCTION,YEAR,2020,176,,,,,
L20_AUCTION,YEAR,2021,185,,,,,
L20_AUCTION,YEAR,2022,158,,,,,
L20_AUCTION,YEAR,2023,148,,,,,
L20_CONTINUOUS,BLOCK,A,474,,,,,
L20_CONTINUOUS,BLOCK,B,490,,,,,
L20_CONTINUOUS,OVERALL,ALL,964,464.0,1.0,499.0,899.0,641.0
L20_CONTINUOUS,SEQUENCE_CROSS_DAYS,ONE,243,,,,,
L20_CONTINUOUS,SEQUENCE_CROSS_DAYS,TWO_OR_MORE,275,,,,,
L20_CONTINUOUS,SEQUENCE_CROSS_DAYS,ZERO,1402,,,,,
L20_CONTINUOUS,VIEW,ALL_A,246,,,,,
L20_CONTINUOUS,VIEW,CHINEXT_BOARD,261,,,,,
L20_CONTINUOUS,VIEW,SH_A,236,,,,,
L20_CONTINUOUS,VIEW,SZ_A,221,,,,,
L20_CONTINUOUS,VIEW_YEAR,ALL_A|2018,41,,,,,
L20_CONTINUOUS,VIEW_YEAR,ALL_A|2019,26,,,,,
L20_CONTINUOUS,VIEW_YEAR,ALL_A|2020,40,,,,,
L20_CONTINUOUS,VIEW_YEAR,ALL_A|2021,66,,,,,
L20_CONTINUOUS,VIEW_YEAR,ALL_A|2022,32,,,,,
L20_CONTINUOUS,VIEW_YEAR,ALL_A|2023,41,,,,,
L20_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2018,47,,,,,
L20_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2019,48,,,,,
L20_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2020,46,,,,,
L20_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2021,48,,,,,
L20_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2022,43,,,,,
L20_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2023,29,,,,,
L20_CONTINUOUS,VIEW_YEAR,SH_A|2018,37,,,,,
L20_CONTINUOUS,VIEW_YEAR,SH_A|2019,38,,,,,
L20_CONTINUOUS,VIEW_YEAR,SH_A|2020,48,,,,,
L20_CONTINUOUS,VIEW_YEAR,SH_A|2021,41,,,,,
L20_CONTINUOUS,VIEW_YEAR,SH_A|2022,41,,,,,
L20_CONTINUOUS,VIEW_YEAR,SH_A|2023,31,,,,,
