checkpoint,state,period,groups,persistence_fraction,mean_subsequent_payoff,median_subsequent_payoff,mean_final_net_payoff
5,faded,full,818,0,0.01012058141,-0.000305743263,0.003416165123
5,faded,early,379,0,0.0149657995,0.001732420406,0.006583712582
5,faded,late,439,0,0.005937579908,-0.002213351076,0.0006815398677
5,persistent,full,351,1,0.02023674552,0.009236550084,0.04028668263
5,persistent,early,158,1,0.0266257517,0.02166019848,0.05209373179
5,persistent,late,193,1,0.0150063674,0,0.03062080819
10,faded,full,945,0,0.007855793499,-0.0006207886623,0.002105564297
10,faded,early,424,0,0.01240465571,0.00375963488,0.006502029539
10,faded,late,521,0,0.004153840376,-0.005362445027,-0.00147236519
10,persistent,full,224,1,0.01058489224,-0.0006531018112,0.06672004649
10,persistent,early,113,1,0.01534272044,0.003528814824,0.07052368289
10,persistent,late,111,1,0.005741337399,-0.00611047843,0.0628478761
15,faded,full,1048,0,0.002397296488,0,0.006169531226
15,faded,early,479,0,0.004338584786,0.001673962998,0.007830359476
15,faded,late,569,0,0.000763066094,-0.0007590290312,0.004771399887
15,persistent,full,121,1,0.007553464091,-0.002036826143,0.08652380123
15,persistent,early,58,1,0.01638837452,-0.002552063915,0.1202636983
15,persistent,late,63,1,-0.0005802629707,-0.002036826143,0.05546167376
20,faded,full,1102,0,0,0,0.007825392153
20,faded,early,504,0,0,0,0.01294010805
20,faded,late,598,0,0,0,0.003514661702
20,persistent,full,67,1,0,0,0.1240517391
20,persistent,early,33,1,0,0,0.1274006738
20,persistent,late,34,1,0,0,0.1208013025
