year,dimension,group,profit,trades
2018,cohort,2018-09-25,-354229.0587,10
2018,cohort,2018-07-09,-256676.9705,10
2018,cohort,2018-07-23,-208727.1294,10
2018,cohort,2018-10-09,-181269.5467,10
2018,cohort,2018-09-17,-179901.3798,10
2018,cohort,2018-08-27,-164921.3236,10
2018,cohort,2018-12-04,-151095.4595,10
2018,cohort,2018-08-20,-140939.6256,10
2018,cohort,2018-09-10,-137481.661,10
2018,cohort,2018-08-13,-131196.3839,10
2018,security,603619.SH,-130010.9684,2
2018,security,600803.SH,-112785.8698,4
2018,security,300719.SZ,-105813.9966,2
2018,security,603080.SH,-98843.60762,4
2018,security,300699.SZ,-74246.6,2
2018,security,600339.SH,-66361.29522,2
2018,security,600583.SH,-64641.8343,2
2018,security,300696.SZ,-64568.30156,1
2018,security,600739.SH,-54054.77795,2
2018,security,600031.SH,-53703.13601,7
2018,industry,航空装备Ⅱ,-463652.1805,19
2018,industry,燃气Ⅱ,-314619.4562,15
2018,industry,油服工程,-297042.9638,7
2018,industry,工程机械,-253130.7623,26
2018,industry,房地产开发,-244727.8428,16
2018,industry,普钢,-144985.5656,20
2018,industry,生物制品,-93696.37798,4
2018,industry,非白酒,-73435.03815,2
2018,industry,元件,-73383.03668,4
2018,industry,电视广播Ⅱ,-44051.3301,2
2022,cohort,2022-03-30,-1020406.443,10
2022,cohort,2022-04-08,-698105.0495,9
2022,cohort,2022-04-15,-598827.4319,10
2022,cohort,2022-09-01,-572394.3036,10
2022,cohort,2022-02-23,-500750.0737,10
2022,cohort,2022-02-16,-412272.1991,10
2022,cohort,2022-09-08,-329823.8006,10
2022,cohort,2022-08-25,-310044.0558,10
2022,cohort,2022-07-07,-278239.2774,10
2022,cohort,2022-12-02,-264046.3537,10
2022,security,000056.SZ,-592526.3699,4
2022,security,600684.SH,-434226.3052,5
2022,security,600097.SH,-257425.0082,2
2022,security,600467.SH,-208680.4952,3
2022,security,600029.SH,-185838.7293,7
2022,security,002306.SZ,-185596.8519,2
2022,security,600170.SH,-180637.4661,3
2022,security,600108.SH,-167496.5267,3
2022,security,000560.SZ,-146237.8784,2
2022,security,300144.SZ,-140368.0991,4
2022,industry,房地产服务,-1051952.355,16
2022,industry,种植业,-816132.2739,18
2022,industry,渔业,-656587.6241,7
2022,industry,能源金属,-318110.3529,10
2022,industry,酒店餐饮,-277774.1622,29
2022,industry,地面兵装Ⅱ,-219248.0142,7
2022,industry,房屋建设Ⅱ,-168414.0616,4
2022,industry,航海装备Ⅱ,-145738.5715,3
2022,industry,贵金属,-125646.6602,12
2022,industry,冶钢原料,-114721.4234,2
