selection_hash,stratum,symbol,trade_date,market_view,denominator,field,expected_value,observed_value,exact_match
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,adverse_log_excursion_h1,-0.030623828080336417,-0.030623828080336417,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,adverse_log_excursion_h3,-0.0349012559281155,-0.0349012559281155,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,adverse_log_excursion_h5,-0.036740055097772346,-0.036740055097772346,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,coordinate_high,0.72384543673277935,0.72384543673277935,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,own_depth,0.018018018018018056,0.018018018018018056,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,resistance_high20,0.7110340130737921,0.7110340130737921,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,stratum,1,1,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,terminal_log_return_h1,-0.017298373483186892,-0.017298373483186892,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,terminal_log_return_h3,-0.013095425236745237,-0.013095425236745237,True
0000442768ec1ceaeb8508d256970e127de9cbd11ed72fdf08bdf71416dfb5d7,1,300631.SZ,2019-02-25,ALL_A,ALL_STATUS,terminal_log_return_h5,0.00059119126758817473,0.00059119126758817473,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,adverse_log_excursion_h1,-0.013774322464829174,-0.013774322464829174,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,adverse_log_excursion_h3,-0.016552102028731534,-0.016552102028731534,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,adverse_log_excursion_h5,-0.017943890701554194,-0.017943890701554194,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,coordinate_high,1.1181818181818184,1.1181818181818184,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,own_depth,0.0040816326530612734,0.0040816326530612734,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,resistance_high20,1.1136363636363638,1.1136363636363638,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,stratum,1,1,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,terminal_log_return_h1,-0.012388320856952092,-0.012388320856952092,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,terminal_log_return_h3,-0.0082418048951035314,-0.0082418048951035314,True
00007519eef024f37f54266bc1197791ea5ee746e769fbb5a7d50afb72691b3b,1,300021.SZ,2018-05-03,ALL_A,ALL_STATUS,terminal_log_return_h5,-0.013774322464829174,-0.013774322464829174,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,adverse_log_excursion_h1,-0.0042283361095212871,-0.0042283361095212871,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,adverse_log_excursion_h3,-0.0084746269909723448,-0.0084746269909723448,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,adverse_log_excursion_h5,-0.014878064026179451,-0.014878064026179451,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,coordinate_high,0.92991946758635369,0.92991946758635369,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,own_depth,0.0042283298097249844,0.0042283298097249844,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,resistance_high20,0.92600401719651659,0.92600401719651659,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,stratum,1,1,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,terminal_log_return_h1,0.0021074823395645778,0.0021074823395645778,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,terminal_log_return_h3,-0.0042283361095212871,-0.0042283361095212871,True
000081083f93b9257009471458a939503997ce705d394a3ce50c04f89e8d7f6f,1,601398.SH,2022-01-07,SH_A,NON_ST,terminal_log_return_h5,-0.01273902577743005,-0.01273902577743005,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,adverse_log_excursion_h1,-0.014113137476464655,-0.014113137476464655,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,adverse_log_excursion_h3,-0.029458707151125366,-0.029458707151125366,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,adverse_log_excursion_h5,-0.029458707151125366,-0.029458707151125366,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,coordinate_high,1.1306673908615665,1.1306673908615665,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,own_depth,0.00098135426889123245,0.00098135426889123245,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,resistance_high20,1.1295588934195453,1.1295588934195453,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,stratum,1,1,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,terminal_log_return_h1,0.001000500333583622,0.001000500333583622,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,terminal_log_return_h3,-0.0060241146033810132,-0.0060241146033810132,True
0000bbc6ec46806356e0ec17230c8a346edeec2d2585841187da27d401384aee,1,300138.SZ,2020-04-24,CHINEXT_BOARD,ALL_STATUS,terminal_log_return_h5,-2.2204460492503136e-16,-2.2204460492503136e-16,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,adverse_log_excursion_h1,-0.019022312709101111,-0.019022312709101111,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,adverse_log_excursion_h3,-0.038413502023751475,-0.038413502023751475,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,adverse_log_excursion_h5,-0.038413502023751475,-0.038413502023751475,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,coordinate_high,0.65004305784069205,0.65004305784069205,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,own_depth,0.0026845637583889914,0.0026845637583889914,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,resistance_high20,0.64830264804727666,0.64830264804727666,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,stratum,1,1,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,terminal_log_return_h1,-0.016282584967980712,-0.016282584967980712,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,terminal_log_return_h3,0.016021704531265366,0.016021704531265366,True
0000d1721f2bd6ccc745e4182168d4bd151c28bf395465a9170be2bccac5a9c3,1,601111.SH,2020-07-06,SH_A,ALL_STATUS,terminal_log_return_h5,-0.0026954194216724341,-0.0026954194216724341,True
0000157d3c797afb8e44870d7ddc4e31420fe8110530bb7529aac6518940a146,2,300371.SZ,2023-02-02,SZ_A,ALL_STATUS,adverse_log_excursion_h1,-0.01741928447206471,-0.01741928447206471,True
0000157d3c797afb8e44870d7ddc4e31420fe8110530bb7529aac6518940a146,2,300371.SZ,2023-02-02,SZ_A,ALL_STATUS,adverse_log_excursion_h3,-0.01741928447206471,-0.01741928447206471,True
0000157d3c797afb8e44870d7ddc4e31420fe8110530bb7529aac6518940a146,2,300371.SZ,2023-02-02,SZ_A,ALL_STATUS,adverse_log_excursion_h5,-0.01741928447206471,-0.01741928447206471,True
0000157d3c797afb8e44870d7ddc4e31420fe8110530bb7529aac6518940a146,2,300371.SZ,2023-02-02,SZ_A,ALL_STATUS,coordinate_high,0.93669101855365877,0.93669101855365877,True
