family,trade_date,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,industry_rank,liquidity_rank,natural_horizon,entry_status,natural_status,natural_net_return
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000697.SZ,航空装备Ⅱ,0.6666666667,1,1158,64880169.29,,,20,EXECUTABLE,COMPLETE,0.1811131133
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300696.SZ,航空装备Ⅱ,0.6666666667,2,1158,66638269,,,20,EXECUTABLE,COMPLETE,-0.2670718633
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300719.SZ,航空装备Ⅱ,0.6666666667,3,1158,70772518.77,,,20,EXECUTABLE,COMPLETE,-0.2090712737
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600038.SH,航空装备Ⅱ,0.6666666667,4,1158,197623149.9,,,20,EXECUTABLE,COMPLETE,-0.1569106584
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600316.SH,航空装备Ⅱ,0.6666666667,5,1158,66655685.3,,,20,EXECUTABLE,COMPLETE,-0.08667872588
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000738.SZ,航空装备Ⅱ,0.5833333333,6,1158,176928684.2,,,20,EXECUTABLE,COMPLETE,-0.1084497671
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000768.SZ,航空装备Ⅱ,0.5833333333,7,1158,268239872.3,,,20,EXECUTABLE,COMPLETE,-0.1152027234
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,002023.SZ,航空装备Ⅱ,0.5833333333,8,1158,554556816.3,,,20,EXECUTABLE,COMPLETE,-0.117605094
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300699.SZ,航空装备Ⅱ,0.5833333333,9,1158,103518485.8,,,20,EXECUTABLE,COMPLETE,-0.1193731878
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600372.SH,航空装备Ⅱ,0.5833333333,10,1158,83682412.85,,,20,EXECUTABLE,COMPLETE,-0.09440772633
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600391.SH,航空装备Ⅱ,0.5833333333,11,1158,83976448.55,,,20,EXECUTABLE,COMPLETE,-0.1529862964
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600760.SH,航空装备Ⅱ,0.5833333333,12,1158,348523815.6,,,20,EXECUTABLE,COMPLETE,-0.1212301868
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600893.SH,航空装备Ⅱ,0.5833333333,13,1158,156986157.3,,,20,EXECUTABLE,COMPLETE,-0.08768320265
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,000547.SZ,军工电子Ⅱ,0.5714285714,14,1158,89247464.32,,,20,EXECUTABLE,COMPLETE,-0.1295493861
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,002151.SZ,军工电子Ⅱ,0.5714285714,15,1158,124619877.2,,,20,EXECUTABLE,COMPLETE,-0.04086667154
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,002383.SZ,军工电子Ⅱ,0.5714285714,16,1158,128273680,,,20,EXECUTABLE,COMPLETE,-0.01177800742
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,002413.SZ,军工电子Ⅱ,0.5714285714,17,1158,84261327.79,,,20,EXECUTABLE,COMPLETE,0.1298800249
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,300101.SZ,军工电子Ⅱ,0.5714285714,18,1158,173870224.2,,,20,EXECUTABLE,COMPLETE,-0.07477430925
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600855.SH,军工电子Ⅱ,0.5714285714,19,1158,132997688.6,,,20,EXECUTABLE,COMPLETE,-0.09828862984
industry_diffusion_20,2018-07-09,2018-07-09 15:00:00,2018-07-09 15:00:00,600990.SH,军工电子Ⅱ,0.5714285714,20,1158,66250797.05,,,20,EXECUTABLE,COMPLETE,-0.2216444601
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,002223.SZ,医疗器械,0.8947368421,1,1140,206141825.3,,,20,EXECUTABLE,COMPLETE,-0.08878993981
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300642.SZ,医疗器械,0.8947368421,2,1140,52793009.69,,,20,EXECUTABLE,COMPLETE,-0.1501065301
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300653.SZ,医疗器械,0.8947368421,3,1140,152087177.5,,,20,EXECUTABLE,COMPLETE,-0.1499425567
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300142.SZ,生物制品,0.875,4,1140,353527179.1,,,20,EXECUTABLE,COMPLETE,-0.01749563052
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600645.SH,生物制品,0.875,5,1140,296723466.2,,,20,EXECUTABLE,COMPLETE,0.01976682743
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,000547.SZ,军工电子Ⅱ,0.8666666667,6,1140,97399436.43,,,20,EXECUTABLE,COMPLETE,-0.06010514183
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600855.SH,军工电子Ⅱ,0.8666666667,7,1140,99834780.2,,,20,EXECUTABLE,COMPLETE,-0.05421805961
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600990.SH,军工电子Ⅱ,0.8666666667,8,1140,72039921.05,,,20,EXECUTABLE,COMPLETE,-0.1843925632
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,000697.SZ,航空装备Ⅱ,0.8461538462,9,1140,59554448.6,,,20,EXECUTABLE,COMPLETE,0.1665760638
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300696.SZ,航空装备Ⅱ,0.8461538462,10,1140,73796003.13,,,20,EXECUTABLE,COMPLETE,-0.2059628099
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,600765.SH,航空装备Ⅱ,0.8461538462,11,1140,53976150.05,,,20,EXECUTABLE,COMPLETE,0.01659729636
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,002022.SZ,医疗器械,0.8421052632,12,1140,50858606,,,20,EXECUTABLE,COMPLETE,-0.1100338755
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,002030.SZ,医疗器械,0.8421052632,13,1140,56620403.8,,,20,EXECUTABLE,COMPLETE,-0.01367963162
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,002382.SZ,医疗器械,0.8421052632,14,1140,120093743.7,,,20,EXECUTABLE,COMPLETE,-0.08494282203
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300003.SZ,医疗器械,0.8421052632,15,1140,536119922.6,,,20,EXECUTABLE,COMPLETE,-0.1409495017
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300298.SZ,医疗器械,0.8421052632,16,1140,79526859.95,,,20,EXECUTABLE,COMPLETE,-0.2212065231
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300326.SZ,医疗器械,0.8421052632,17,1140,60344002.91,,,20,EXECUTABLE,COMPLETE,0.004883302702
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300439.SZ,医疗器械,0.8421052632,18,1140,68653855.74,,,20,EXECUTABLE,COMPLETE,-0.1691354586
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300463.SZ,医疗器械,0.8421052632,19,1140,88988031.92,,,20,EXECUTABLE,COMPLETE,-0.1257844401
industry_diffusion_20,2018-07-16,2018-07-16 15:00:00,2018-07-16 15:00:00,300482.SZ,医疗器械,0.8421052632,20,1140,94102546.81,,,20,EXECUTABLE,COMPLETE,-0.1855871783
industry_diffusion_20,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000301.SZ,炼化及贸易,1,1,1087,72953890.28,,,20,EXECUTABLE,COMPLETE,0.05576846307
