period,count,h1_mean,h3_mean,h5_mean,remaining_mean,remaining_median,remaining_winner_rate,remaining_severe_fraction,matched_remaining_gap,mae_mean
full,1020,0.003997283082,0.006691387951,0.006859412767,0.0157170716,0.002426470588,0.5156862745,0.03235294118,-0.001874288563,-0.04755836711
early_2018_2021,615,0.004373570548,0.005838649175,0.005298138811,0.01562468706,0.003703703704,0.5235772358,0.04552845528,-0.006110842239,-0.04968115125
late_2022_2023,405,0.003425883596,0.007986287574,0.009230236183,0.01585735923,0.001347708895,0.5037037037,0.01234567901,0.004469843582,-0.04433488006
loser_continuation,1017,0.00398628367,0.006731893697,0.006976480657,0.01571690239,0.0025,0.5162241888,0.03244837758,-0.001997795409,-0.04749294352
winner_giveback,3,0.00772608379,-0.007040059895,-0.03282660177,0.015774432,-0.03917050691,0.3333333333,0,0.0387182946,-0.0697369635
