chart_id,category,attack_id,candidate_id,symbol,board,attack_number,png,pdf
ADMITTED_LOSER-015,ADMITTED_LOSER,603477.SH|2019-11-15|ATTACK_1,603477.SH|2018-10-19|V6CLUSTER003|V6FIRSTRETURN,603477.SH,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER-015.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER.pdf
ADMITTED_LOSER-016,ADMITTED_LOSER,002137.SZ|2020-01-22|ATTACK_1,002137.SZ|2020-01-22|V6CLUSTER005|V6FIRSTRETURN,002137.SZ,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER-016.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER.pdf
ADMITTED_LOSER-017,ADMITTED_LOSER,300555.SZ|2020-04-28|ATTACK_1,300555.SZ|2020-03-30|V6CLUSTER005|V6FIRSTRETURN,300555.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER-017.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER.pdf
ADMITTED_LOSER-018,ADMITTED_LOSER,300184.SZ|2021-01-27|ATTACK_1,300184.SZ|2019-05-06|V6CLUSTER004|V6FIRSTRETURN,300184.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER-018.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER.pdf
ADMITTED_LOSER-019,ADMITTED_LOSER,300543.SZ|2021-07-15|ATTACK_1,300543.SZ|2021-07-15|V6CLUSTER005|V6FIRSTRETURN,300543.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER-019.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER.pdf
ADMITTED_LOSER-020,ADMITTED_LOSER,300490.SZ|2021-09-16|ATTACK_1,300490.SZ|2021-07-28|V6CLUSTER006|V6FIRSTRETURN,300490.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER-020.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_LOSER.pdf
ADMITTED_WINNER-001,ADMITTED_WINNER,002831.SZ|2016-12-26|ATTACK_1,002831.SZ|2016-12-26|V6CLUSTER001|V6FIRSTRETURN,002831.SZ,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-001.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-002,ADMITTED_WINNER,300606.SZ|2017-04-17|ATTACK_1,300606.SZ|2017-04-17|V6CLUSTER001|V6FIRSTRETURN,300606.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-002.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-003,ADMITTED_WINNER,000702.SZ|2017-05-10|ATTACK_1,000702.SZ|2015-08-25|V6CLUSTER002|V6FIRSTRETURN,000702.SZ,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-003.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-004,ADMITTED_WINNER,300667.SZ|2017-07-17|ATTACK_1,300667.SZ|2017-07-10|V6CLUSTER001|V6FIRSTRETURN,300667.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-004.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
