regime,period,decision_dates,trades,mean_cohort_net_payoff,median_cohort_net_payoff,mean_trade_net_payoff,winner_fraction,severe_fraction,profit,net_pnl_share,p10_capacity_cny,mean_quality_candidates
sparse,full,88,879,0.01469561732,0.01061416204,0.01474495957,0.5039817975,0.1626848692,2815770.3,0.2299815122,115945642.8,29.51308305
sparse,early,49,490,0.0269000425,0.007865292489,0.0269000425,0.5183673469,0.1408163265,3472769.439,0.2836427273,106264639.2,29.42857143
sparse,late,39,389,-0.0006381476598,0.01543053986,-0.0005660703516,0.4858611825,0.1902313625,-656999.1396,-0.05366121507,123307956.7,29.61953728
normal,full,88,878,0.02136503171,0.005683909147,0.02153504155,0.5091116173,0.1287015945,6660270.329,0.5439857939,110438078.5,55.84965831
normal,early,42,420,0.02764462257,0.01895811499,0.02764462257,0.5380952381,0.15,3532227.063,0.288499002,112151561.5,55.28571429
normal,late,46,458,0.01563149223,0.004322840021,0.01593236899,0.4825327511,0.1091703057,3128043.266,0.2554867919,110438078.5,56.36681223
rich,full,87,868,0.00826043196,-0.003235336101,0.007910685333,0.4562211982,0.1324884793,2767423.086,0.2260326939,109119940.6,114.3801843
rich,early,31,308,0.004100124456,-0.01237898742,0.003087459888,0.4512987013,0.1980519481,227836.4189,0.01860882053,109119940.6,122.3441558
rich,late,56,560,0.01056345933,-0.002095803497,0.01056345933,0.4589285714,0.09642857143,2539586.667,0.2074238734,109207257.9,110
