role_operator,block,coordinate,market_view,denominator,n,rho_discovery_dynamic,rho_leadership_dynamic,joint_adjusted_rank_r2,gate_pass
formation_participation__acceleration,A,pit_3y_pct,SZ_A,ALL_STATUS,97,0.661634756996,-0.45472596255,0.460286436056,False
formation_participation__acceleration,A,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,97,0.541684199453,-0.41091152956,0.324737189527,False
formation_participation__acceleration,A,pit_3y_pct,ALL_A,NON_ST,97,0.666644750684,-0.459223122239,0.462680436086,False
formation_participation__acceleration,A,pit_3y_pct,SH_A,NON_ST,97,0.616373869135,-0.362941826215,0.391086962679,False
formation_participation__acceleration,A,pit_3y_pct,SZ_A,NON_ST,97,0.665001051967,-0.472872396381,0.464327040583,False
formation_participation__acceleration,A,pit_3y_pct,CHINEXT_BOARD,NON_ST,97,0.540382390069,-0.421418051757,0.3293971969,False
formation_participation__acceleration,A,relative_to_all,SH_A,ALL_STATUS,600,0.28219561721,-0.242082733852,0.125147404154,True
formation_participation__acceleration,A,relative_to_all,SZ_A,ALL_STATUS,600,0.287016630602,-0.254757548598,0.127956474174,True
formation_participation__acceleration,A,relative_to_all,CHINEXT_BOARD,ALL_STATUS,600,0.266196128323,-0.273281648005,0.127031433904,True
formation_participation__acceleration,A,relative_to_all,SH_A,NON_ST,600,0.259599665555,-0.243510932462,0.116809745613,True
formation_participation__acceleration,A,relative_to_all,SZ_A,NON_ST,600,0.265638237884,-0.249516095851,0.118199203218,True
formation_participation__acceleration,A,relative_to_all,CHINEXT_BOARD,NON_ST,600,0.278536995936,-0.276626768408,0.13517437245,True
formation_participation__acceleration,B,absolute,ALL_A,ALL_STATUS,727,0.38583980731,-0.447667188382,0.255251648621,True
formation_participation__acceleration,B,absolute,SH_A,ALL_STATUS,727,0.336259432702,-0.438220588965,0.227479755282,True
formation_participation__acceleration,B,absolute,SZ_A,ALL_STATUS,727,0.407482694872,-0.442205880902,0.267605061521,True
formation_participation__acceleration,B,absolute,CHINEXT_BOARD,ALL_STATUS,727,0.334009890392,-0.408542658459,0.229674557405,True
formation_participation__acceleration,B,absolute,ALL_A,NON_ST,727,0.375783807289,-0.44543876781,0.25126751056,True
formation_participation__acceleration,B,absolute,SH_A,NON_ST,727,0.328676356781,-0.433416683354,0.224494582884,True
formation_participation__acceleration,B,absolute,SZ_A,NON_ST,727,0.397576007836,-0.439055442494,0.261417514404,True
formation_participation__acceleration,B,absolute,CHINEXT_BOARD,NON_ST,727,0.331029020433,-0.405473590861,0.225315685635,True
formation_participation__acceleration,B,pit_3y_pct,ALL_A,ALL_STATUS,727,0.383927895438,-0.440297589247,0.249869726909,True
formation_participation__acceleration,B,pit_3y_pct,SH_A,ALL_STATUS,727,0.333631167006,-0.431144341379,0.222301109074,True
formation_participation__acceleration,B,pit_3y_pct,SZ_A,ALL_STATUS,727,0.402614858404,-0.433796465997,0.259605243119,True
formation_participation__acceleration,B,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,727,0.328598178338,-0.398120378312,0.220581440558,True
formation_participation__acceleration,B,pit_3y_pct,ALL_A,NON_ST,727,0.373873782081,-0.437244308831,0.244897941023,True
formation_participation__acceleration,B,pit_3y_pct,SH_A,NON_ST,727,0.326386374009,-0.42683313937,0.219346215456,True
formation_participation__acceleration,B,pit_3y_pct,SZ_A,NON_ST,727,0.393474545812,-0.43015970173,0.253453962655,True
formation_participation__acceleration,B,pit_3y_pct,CHINEXT_BOARD,NON_ST,727,0.324143180272,-0.394844473415,0.215595725933,True
formation_participation__acceleration,B,relative_to_all,SH_A,ALL_STATUS,727,0.268212436557,-0.133185402818,0.0824935279861,True
formation_participation__acceleration,B,relative_to_all,SZ_A,ALL_STATUS,727,0.267708407636,-0.14325476949,0.0852016531,True
