family,track,period,count,signal_dates,mean_net_return,median_net_return,net_excess_vs_control,severe_loss_fraction,severe_loss_disadvantage,entry_executable_fraction,median_candidate_count,p10_entry_amount_cny
breakout_level_retest,support,early_2018_2020,2316,122,-0.009191044341793946,-0.013064676961977384,-0.007681050314345116,0.12521588946459414,0.07482615216798474,0.9899182042990299,91.0,92003564.22
breakout_level_retest,support,full,5173,267,-0.012790717664212699,-0.019992144225605135,-0.010310646924093878,0.16025517108061085,0.11062093664472411,0.9899182042990299,91.0,106676261.566
breakout_level_retest,support,late_2021_2023,2857,145,-0.0157087587614202,-0.027573513409318462,-0.012442304518835963,0.18865943297164858,0.13963763977672566,0.9899182042990299,91.0,130680059.91000001
confirmed_breakdown,support,early_2018_2020,1519,115,-0.009160557923190137,-0.006798602364308404,-0.007106070051722437,0.08097432521395655,0.0219136551055057,0.997812879708384,74.0,42986746.424
confirmed_breakdown,support,full,4079,260,-0.0065744961591893926,-0.00825529251822743,-0.003442497123056795,0.062025006128953175,0.007738609824389356,0.997812879708384,74.0,48168679.508
confirmed_breakdown,support,late_2021_2023,2560,145,-0.005040032167190513,-0.009157917970103402,-0.0012686817798368301,0.05078125,-0.0006722861842105368,0.997812879708384,74.0,53111561.26
low_downside_beta_120,independent,early_2018_2020,618,31,-0.022386851155367402,-0.022275553879847976,-0.005243046595533266,0.10517799352750809,0.027508090614886724,0.9992537313432835,2470.0,42176547.801
low_downside_beta_120,independent,full,1336,67,-0.017186716259374624,-0.020021287234903484,-0.004529403534088954,0.09206586826347306,0.023912700913961554,0.9992537313432835,2470.0,47079404.545
low_downside_beta_120,independent,late_2021_2023,718,36,-0.012710834134411477,-0.017761412573260305,-0.003915153656689811,0.0807799442896936,0.020818061867761327,0.9992537313432835,2470.0,53060226.506000005
low_return_skewness_60,independent,early_2018_2020,619,31,-0.01570163567720784,-0.013257206517198195,0.001224947449412683,0.07269789983844911,-0.00468497576736672,1.0,2470.0,35449466.83
low_return_skewness_60,independent,full,1338,67,-0.011273899119255169,-0.011636016458072163,0.0012730425642832844,0.052316890881913304,-0.015622295649437491,1.0,2470.0,36475166.13
low_return_skewness_60,independent,late_2021_2023,719,36,-0.0074619812758995275,-0.009850886462369313,0.0013144485115780039,0.03477051460361613,-0.025038430568772425,1.0,2470.0,37470641.652
prior_low_break_reclaim,support,early_2018_2020,1809,119,-0.000554333897300402,-0.004743720106955895,0.0004725844450571842,0.05804311774461028,0.005332984201798029,0.9980519480519481,81.0,37043990.835999995
prior_low_break_reclaim,support,full,4585,264,-0.002915775757894233,-0.008153609216108082,-0.0005768552004136303,0.05997818974918211,0.009627503874189286,0.9980519480519481,81.0,42251305.988
prior_low_break_reclaim,support,late_2021_2023,2776,145,-0.004454626019354694,-0.010899174740731654,-0.001260729954972962,0.061239193083573486,0.01242605794023964,0.9980519480519481,81.0,46443375.285
prior_low_hold,support,early_2018_2020,2116,120,-0.0052470329075258865,-0.005024218813815817,-0.003717632833662056,0.04395085066162571,-0.006688389215003476,0.999000399840064,153.0,33755436.54
prior_low_hold,support,full,4975,265,-0.005024714404240237,-0.007138960625352908,-0.0026686805733580547,0.035979899497487436,-0.013398571806400417,0.999000399840064,153.0,35423993.774
prior_low_hold,support,late_2021_2023,2859,145,-0.004860172273092132,-0.007913307243780143,-0.0018923311564978706,0.030080447708989155,-0.018364904917067063,0.999000399840064,153.0,36405346.04
quiet_support_hold,support,early_2018_2020,2007,121,-0.003931188383538914,-0.004833238927550276,-0.001992207121132279,0.05580468360737419,0.003337004694096979,0.9985590778097982,179.0,33447013.228
quiet_support_hold,support,full,4827,265,-0.004675333065769775,-0.007379798226675893,-0.0021432778371850555,0.05904288377874456,0.009020531440471907,0.9985590778097982,179.0,36461569.366000004
quiet_support_hold,support,late_2021_2023,2820,144,-0.005204942419400037,-0.010110231970590411,-0.0022507951872268723,0.06134751773049645,0.013065509518477035,0.9985590778097982,179.0,40064902.7
relative_support_hold,support,early_2018_2020,939,51,-0.006441926201175179,-0.00524171230938375,-0.005241574685225844,0.08306709265175719,0.017465388711395094,0.998349153941395,276.0,39405072.68
relative_support_hold,support,full,2415,125,-0.006989779361048333,-0.009266033534030105,-0.003949209206007389,0.07412008281573498,0.020952380952380945,0.998349153941395,276.0,43398208.2
relative_support_hold,support,late_2021_2023,1476,74,-0.007338311960723734,-0.012531457003296054,-0.003127033606423288,0.06842818428184282,0.023170731707317066,0.998349153941395,276.0,47836240.3
